"IDRSSD"	RCFD0426	RCFD2150	RCFD2651	RCFD3164	RCFD3190	RCFD4088	RCFD5507	RCFD6164	RCFD6165	RCFDA590	RCFDB026	RCFDB569	RCFDB570	RCFDB571	RCFDF055	RCFDF056	RCFDF057	RCFDF058	RCFDF059	RCFDF060	RCFDF061	RCFDF062	RCFDF063	RCFDF065	RCFDJ461	RCFDJ462	RCFDK178	RCFDK179	RCFDK180	RCFDK181	RCFDK182	RCFDK183	RCFDK184	RCFDK185	RCFDK186	RCFDK192	RCFDK193	RCFDK194	RCFDK273	RCFN5513	RCFNK260	RCFNK290	RCON0426	RCON2150	RCON2651	RCON3164	RCON3190	RCON4088	RCON5507	RCON5508	RCON5509	RCON5510	RCON5511	RCON5512	RCON6164	RCON6165	RCONA590	RCONB026	RCONB569	RCONB570	RCONB571	RCONC979	RCONF055	RCONF056	RCONF057	RCONF058	RCONF059	RCONF060	RCONF061	RCONF062	RCONF063	RCONF064	RCONF065	RCONG463	RCONG464	RCONJ461	RCONJ462	RCONK169	RCONK170	RCONK171	RCONK172	RCONK173	RCONK174	RCONK175	RCONK176	RCONK177	RCONK178	RCONK179	RCONK180	RCONK181	RCONK182	RCONK183	RCONK184	RCONK185	RCONK186	RCONK187	RCONK188	RCONK189	RCONK190	RCONK191	RCONK192	RCONK193	RCONK194	RCONK273	TEXT4087	
1557																																											0	0	0	0	1697	true	0	0	0	0	0	0	7	0	0	0	false	0	0	0	0	0	1576	0	0	121	0	0	0	0	121	true	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	www.fstbanc.com	
1669																																											821	100	0	0	248	true	821	0	0	100	0	0	1272	1	0	0	false	0	248	0	0	0	0	0	0	248	0	0	0	0	0	false	false	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	www.lnbparis.com	
1829																																											449	121	8000	0	24255	true	449	0	0	121	0	0	1967	2	0	0	false	0	0	0	8000	10318	5937	0	0	0	0	0	0	0	0	true	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	http://avbpgh.com	
1856																																											0	0	0	0	54000	false	0	0	0	0	0	0	133	0	0	0	false	0	0	0	0	0	0	54000	0	0	0	0	0	0	0	false	false	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
2040																																											0	5	0	0	20000	true	0	0	0	5	0	0	1029	1	0	0	false	0	0	0	0	13000	2000	5000	5000	0	0	0	0	0	0	true	false	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	http://www.fmnetbank.com	
2161																																											0	22	0	0	0	true	0	22	0	0	0	0	1212	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	http://www.lamarnational.com	
2376																																											0	7119	81800	0	562859	true	0	1910	0	993	1166	3050	40550	2	0	0	false	0	0	0	81800	106500	99185	245000	400000	0	0	30374	0	0	30374	true	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	http://oritani.com	
2554																																											0	0	0	0	0	true	0	0	0	0	0	0	39	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	true	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	http://www.sbmarietta.com	
2732																																											1112	1445	0	0	214	true	1112	715	0	0	0	730	34104	7	0	0	true	0	214	0	0	0	0	0	0	214	0	0	0	0	214	true	true	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	www.albanybank.com	
2750																																											0	176	0	0	5200	true	0	176	0	0	0	0	2729	2	0	0	false	0	0	0	4500	700	0	0	0	0	0	0	0	0	0	true	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	www.genoanationalbank.com	
3252																																											0	0	0	0	3500	true	0	0	0	0	0	0	1051	1	0	0	false	0	0	0	0	1000	0	2500	0	0	0	0	0	0	0	false	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	http://www.fnbgordon.com	
3458																																											0	180	0	0	0	true	0	175	0	5	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	true	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	www.fbgconline.com	
3720																																											0	159	0	0	5273	true	0	0	0	0	0	159	1572	1	0	0	true	0	273	0	0	0	5000	0	0	273	0	0	0	0	273	false	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	wwwbankofclarendon.com	
3953																																											0	2737	1300	0	1595	true	0	0	0	2737	0	0	4430	4	0	0	false	0	0	0	1300	0	0	295	0	0	0	0	0	0	0	false	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	www.fcbanker.com	
4156																																											0	45	4500	0	15000	true	0	0	0	45	0	0	127	0	0	0	true	0	0	0	4500	4500	6000	0	0	0	0	0	0	0	0	false	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	http://www.kanzabank.com	
4231																																											0	3207	0	0	0	false	0	0	0	0	0	3207	2432	1	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	true	false	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	http://www.fmbanksylvania.com	
4437																																											0	2241	444	0	4050	true	0	0	0	2181	0	60	8832	4	0	0	false	0	0	0	444	1252	717	1637	0	0	0	0	0	0	0	true	false	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	www.fnbwvva.com	
4839																																											0	7024	0	0	19000	true	0	1481	0	516	1008	4019	18605	6	0	0	false	0	0	0	0	5750	13250	0	0	0	0	0	0	0	0	true	true	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	http://abcbank.net	
5005																																											656	8435	14500	0	55285	true	656	6037	0	1463	0	935	216	0	0	0	true	0	0	0	14500	21842	4443	14500	25500	0	0	0	0	0	0	true	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	WWW.STONESAV.COM	
5069																																											0	9315	0	0	0	false	0	0	0	0	0	9315	250	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
5135																																											0	403	0	0	20809	true	0	115	0	288	0	0	10424	5	0	0	false	0	0	0	3000	16000	0	1809	0	0	0	0	0	0	0	false	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	http://www.fsbanks.com	
5210																																											0	2729	11000	0	79961	true	0	1246	0	805	413	265	14197	5	0	0	false	0	961	0	21000	31000	17000	10000	10000	961	0	0	0	0	961	false	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	http://www.acnb.com	
5331																																											0	421	30000	0	50187	true	0	245	0	30	146	0	1577	1	0	0	false	0	187	0	30000	20000	0	0	0	187	0	0	0	0	187	true	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	www.hydeparkbank.net	
5461																																											181	763	0	0	15600	true	181	0	0	763	0	0	39	0	0	0	true	0	600	0	0	0	15000	0	0	600	0	0	0	0	600	false	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	www.bankbac.com	
5751																																											0	51	2500	0	2500	true	0	0	0	51	0	0	1673	1	0	0	false	0	0	0	2500	0	0	0	0	0	0	0	0	0	0	true	true	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	www.kearnycountybank.com	
6039																																											0	2283	0	0	0	true	0	1732	0	0	0	551	654	1	0	0	true	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	wwwaebalma.com	
6141																																											0	30	0	0	0	false	0	0	0	0	0	30	96	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
6329																																											0	5975	0	0	0	true	0	2666	0	2594	0	715	582	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	www.abbank.com	
6972																																											250	925	34000	0	34000	true	250	925	0	0	0	0	834	1	0	0	true	0	0	0	34000	0	0	0	0	0	0	0	0	0	0	true	true	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	http://www.firstindy.com	
7009																																											0	0	0	0	0	true	0	0	0	0	0	0	3300	2	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	true	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	http://www.bessemer.com	
7045																																											0	263	0	0	0	true	0	0	0	0	0	263	2278	1	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	true	true	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	http://www.tpbbancorp.com	
7157																																											0	89	0	0	0	true	0	0	0	89	0	0	102	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	statebankbr.com	
7456																																											0	0	0	0	0	true	0	0	0	0	0	0	245	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	true	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	www.bankofhartington.com	
7634																																											0	2783	2000	0	2000	false	0	869	0	741	0	1173	3	0	0	0	false	0	0	0	2000	0	0	0	0	0	0	0	0	0	0	true	false	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	THEFOURCOUNTYBANK.COM	
8033																																											0	0	6992	0	16374	true	0	0	0	0	0	0	2928	1	0	0	true	0	0	0	6992	7382	2000	0	0	0	0	0	0	0	0	false	false	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	WWW.THEFRIENDLYBANK.COM	
8462																																											0	0	0	0	0	true	0	0	0	0	0	0	1358	1	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	http://www.perrytonbank.com	
8631																																											0	452	0	0	0	true	0	0	0	452	0	0	419	1	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	pcbsm.com	
9357																																											2422	0	0	0	0	true	2422	0	0	0	0	0	18	0	0	0	true	0	0	0	0	0	0	0	0	0	0	0	0	0	0	true	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	www.fidelitybankmn.com	
9553																																											0	0	3553	0	11063	true	0	0	0	0	0	0	1957	1	0	0	false	0	1741	0	3553	446	738	4118	0	1741	2	4	461	100	0	true	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	http://adamscountybankonline.com	
9807																																											0	125181	20000	0	305998	true	0	102647	0	4573	11391	6570	7807	3	0	0	true	0	45998	0	20000	0	100000	140000	0	45998	0	0	0	0	0	true	true	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	www.amboybank.com	
9955																																											382	0	0	0	2021	true	382	0	0	0	0	0	2651	1	0	0	false	0	0	0	0	21	0	2000	0	0	0	0	0	0	0	true	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	www.bankkansas.com	
10250																																											0	16891	0	0	0	true	0	3914	0	1370	0	11607	282	0	0	0	true	0	0	0	0	0	0	0	0	0	0	0	0	0	0	true	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	www.thebankofelkriver.com	
10849																																											0	16354	6138	0	10422	true	0	6567	2357	7268	0	162	2914	1	0	0	false	0	0	0	6423	3999	0	0	0	0	0	0	0	0	0	false	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	http://www.firststatebk.com	
10858																																											0	1615	0	0	5876	true	0	476	0	594	0	545	5805	3	0	0	true	0	639	0	0	237	0	5000	0	639	0	0	0	0	639	true	true	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	www.pvsb.com	
11145																																											0	2094	194	0	6506	false	0	0	0	947	0	1147	1909	1	0	0	false	0	0	0	194	728	2500	3084	0	0	0	0	0	0	0	false	false	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
11640																																											0	1207	0	0	20000	true	0	207	0	0	0	1000	9768	1	0	0	false	0	0	0	0	0	0	20000	0	0	0	0	0	0	0	true	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	http://fnbclarksdale.com	
11837																																											0	1625	0	0	7000	true	0	255	700	400	0	270	0	0	0	0	false	0	0	0	0	0	0	7000	0	0	0	0	0	0	0	false	false	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	http://www.farmbk.com	
12030																																											0	4893	0	0	0	true	0	1503	2000	258	0	1132	774	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	http://WWW.fnbalma.com	
12142																																											0	518	0	0	0	true	0	0	0	368	0	150	320	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	true	false	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	www.clevelandstatebank.com	
12245																																											0	549	0	0	2000	true	0	0	0	140	0	409	3320	2	0	0	false	0	0	0	0	2000	0	0	0	0	0	0	0	0	0	true	false	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	www.banknorthwis.com	
12311	393903	53872	4873	202559	1955307	true	191275	291648	9	219645	69	true	3551564	713806	4873	8085	0	8421	0	713806	1069793	115329	35000	1286308	0	0	0	0	0	0	0	0	0	0	0	0	0	12450	0	0	0	0					1955307			10978	990	10066	0	11363								20475										0		true	true			0	0	0	0	0	0	0	0	0										0	0	0	0	0					www.Huntington.com	
12647																																											0	766	0	0	6200	true	0	729	0	37	0	0	5144	2	0	0	false	0	0	0	3550	2650	0	0	0	0	0	0	0	0	0	false	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	http://PORTAGECOUNTYBANK.COM	
12656																																											0	0	0	0	0	true	0	0	0	0	0	0	224	1	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	true	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	http://www.mybankathome.com	
12937																																											0	0	0	0	4204	true	0	0	0	0	0	0	6638	3	0	0	false	0	0	0	0	0	4204	0	0	0	0	0	0	0	0	false	false	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	www.oakbank.com	
12946																																											1195	8397	0	0	12266	true	1195	3333	808	614	0	3642	3389	2	0	0	true	0	658	0	0	10366	0	1242	0	658	0	0	0	0	658	true	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	www.fbtarkansas.com	
12955																																											0	478	0	0	2950	true	0	478	0	0	0	0	1978	1	0	0	false	0	0	0	550	0	2400	0	0	0	0	0	0	0	0	true	false	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	http://www.bankofnebraska.com	
13037																																											894	806	0	0	0	true	894	100	512	162	0	32	2923	2	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	true	false	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	http://www.tradersbanking.com	
13103																																											3952	1231	0	0	107746	true	3952	0	0	1231	0	0	2585	2	0	0	false	0	0	0	0	22000	50000	35746	0	0	0	0	0	0	0	false	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	www.bristolcountysavingsbank.com	
13251																																											0	542	0	0	0	false	0	0	0	394	0	148	157	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	http://elysianbank.com	
