"IDRSSD"	RCFD0426	RCFD2130	RCFD2150	RCFD2651	RCFD3164	RCFD3190	RCFD5372	RCFD5374	RCFD5375	RCFD5507	RCFD6164	RCFD6165	RCFDA590	RCFDB026	RCFDB565	RCFDB566	RCFDB567	RCFDB568	RCFDB569	RCFDB570	RCFDB571	RCFN5513	RCON0426	RCON2130	RCON2150	RCON2651	RCON3164	RCON3190	RCON5372	RCON5374	RCON5375	RCON5507	RCON5508	RCON5509	RCON5510	RCON5511	RCON5512	RCON6164	RCON6165	RCONA590	RCONB026	RCONB565	RCONB566	RCONB567	RCONB568	RCONB569	RCONB570	RCONB571	
	OTHER IDENTIFIABLE INTANGIBLE ASSETS	INVEST. IN UNCONSOLIDATED SUBS & CO.	OTHER REAL ESTATE OWNED	FHLB ADVANCES MATURING <= 1 YEAR	MORTGAGE SERVICING ASSETS	OTHER BORROWED MONEY	DIRECT&INDIRECT INVEST IN RE VENTURE	DIRECT&INDIRECT INVEST IN RE VENTURE	ALL OTHR INVEST IN UNCONSLDTD SUBS	ALL OTHR IDENTIFIABLE INTANGBL ASSET	AGGREG AKT OF EXT OF CREDIT TO EXECS	# OF EXEC OFFCRSEPRIN SHAREHOLDERS	ESTMTD FAIR VAL OF MTG SERVNG ASSETS	PURCD CRD CD RLSHPS&NONMTG SRVG ASTS	FHLB ADVANCES: MATURING 1-3 YEARS	FHLB ADVANCES: MATURING > 3 YEARS	OTHER BORROWINGS MATURING 1-3 YEARS	OTHER BORROWINGS MATURING > 3 YEARS	DOES RPRTNG BANK SELL MUTUAL FUNDS?	ASSETS MANAGED: MUTUAL FUNDS&ANNUITY	OTHER BORR0WINGS MATURING <= 1 YEAR	ALL OTHR RE OWNED IN FOREIGN OFFICES	OTHER IDENTIFIABLE INTANGIBLE ASSETS	INVEST. IN UNCONSOLIDATED SUBS & CO.	OTHER REAL ESTATE OWNED	FHLB ADVANCES MATURING <= 1 YEAR	MORTGAGE SERVICING ASSETS	OTHER BORROWED MONEY	DIRECT&INDIRECT INVEST IN RE VENTURE	DIRECT&INDIRECT INVEST IN RE VENTURE	ALL OTHR INVEST IN UNCONSLDTD SUBS	ALL OTHR IDENTIFIABLE INTANGBL ASSET	CONSTRCTN&LAND DEVLPMNT IN DOMS OFFC	FARMLAND IN DOMESTIC OFFICES	1-4 FMLY RESDTL PROPTS IN DOMS OFFCS	MULTIFMLY RESDTL PROPTS IN DOMS OFFC	NONFRM NONRESDTL PROPTS IN DOMS OFFC	AGGREG AKT OF EXT OF CREDIT TO EXECS	# OF EXEC OFFCRSEPRIN SHAREHOLDERS	ESTMTD FAIR VAL OF MTG SERVNG ASSETS	PURCD CRD CD RLSHPS&NONMTG SRVG ASTS	FHLB ADVANCES: MATURING 1-3 YEARS	FHLB ADVANCES: MATURING > 3 YEARS	OTHER BORROWINGS MATURING 1-3 YEARS	OTHER BORROWINGS MATURING > 3 YEARS	DOES RPRTNG BANK SELL MUTUAL FUNDS?	ASSETS MANAGED: MUTUAL FUNDS&ANNUITY	OTHER BORR0WINGS MATURING <= 1 YEAR	
37																							0	0	40	0	0	0	0	0	0	0	0	0	0	0	40	305	0	0	0	0	0	0	0	false	0	0	
242																							0	0	0	0	0	1200	0	0	0	0	0	0	0	0	0	491	1	0	0	0	1200	0	0	true	0	0	
279																							0	226	122	3500	0	7500	0	0	226	0	0	0	0	0	122	89	0	0	0	2000	2000	0	0	false	0	0	
354																							0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	123	0	0	0	0	0	0	0	false	0	0	
439																							3616	0	0	0	0	0	0	0	0	3616	0	0	0	0	0	2026	1	0	0	0	0	0	0	false	0	0	
457																							0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	false	0	0	
505																							88	20	175	0	0	4000	0	0	20	88	0	0	175	0	0	3373	3	0	0	0	4000	0	0	true	0	0	
1146																							684	0	547	3000	7	4080	0	0	0	677	18	0	389	0	140	1031	1	7	0	1080	0	0	0	true	1526	0	
1155																							0	0	19	0	0	0	0	0	0	0	19	0	0	0	0	5345	3	0	0	0	0	0	0	true	0	0	
