"IDRSSD"	RIAD3123	RIAD4230	RIAD4605	RIAD4815	RIADB522	RIADC079	
	ALLL_AMT	PROVISION FOR CREDIT LOSSES	RECOVERIES CREDITED TO RESERVES	CHG IN ALLOW FOR LN&LS LOSS/ADJUSTMT	BEGIN BALANCE (MOST RECENT) IN ALLL	CHRG-OFFS ON ALLWNCE FOR L&L LOSSES	
37	1070	135	64	0	942	71	
242	123	0	3	0	127	7	
279	279	0	9	0	270	0	
354	131	0	17	0	129	15	
439	873	0	36	0	1233	396	
457	156	3	2	0	164	13	
505	2006	1389	129	0	1281	793	
1146	2551	560	66	0	2396	471	
1155	1211	135	9	0	1133	66	
1351	358	75	6	0	329	52	
1454	841	104	35	0	843	141	
1557	357	0	9	0	350	2	
1632	2036	241	64	0	1961	230	
1669	718	120	49	0	715	166	
1829	1684	340	40	0	1607	303	
1856	137	0	18	0	125	6	
1959	327	0	7	0	324	4	
2040	1191	135	27	0	1105	76	
2161	498	15	7	0	516	40	
2376	5046	270	0	0	4776	0	
2451	101	40	2	0	89	30	
2554	51	18	0	0	42	9	
2732	2172	250	102	0	1902	82	
2750	831	201	29	0	803	202	
2938	2500	378	10	0	2693	581	
2956	850	82	23	0	791	46	
3252	899	150	136	0	874	261	
3458	337	0	14	0	332	9	
3506	6339	590	301	0	6154	706	
3579	1492	198	35	552	804	97	
3720	977	34	26	0	960	43	
3953	695	100	39	0	776	220	
4138	932	132	44	0	935	179	
4147	496	27	1	0	483	15	
4156	633	30	31	0	629	57	
4231	667	45	13	0	629	20	
4437	748	152	15	0	619	38	
4745	54	3	0	0	53	1	
4839	1520	300	60	0	1399	239	
5005	1701	135	1	0	1568	3	
5050	564	110	44	0	549	139	
5069	5049	30	0	0	5019	0	
5135	1069	0	94	0	1125	150	
5210	3778	180	45	0	3695	142	
5247	2199	135	16	0	2112	64	
5274	602	28	50	0	625	101	
5331	917	0	35	0	883	1	
5461	1374	0	251	0	1197	74	
5751	736	135	1	0	605	5	
5939	32779	11350	687	0	33462	12720	
6039	788	215	35	0	853	315	
6057	114	84	5	0	131	106	
6141	438	45	4	0	493	104	
6329	1832	650	112	0	1798	728	
6842	130	28	0	0	115	13	
6972	3738	1060	19	0	2784	125	
7009	0	0	0	0	0	0	
7045	716	135	16	0	617	52	
7157	145	345	6	0	152	358	
7166	3511	515	25	0	3120	149	
7456	428	80	150	0	403	205	
7634	484	70	9	0	463	58	
8033	617	4	51	0	695	133	
8154	498	26	4	0	501	33	
8417	194	-178	0	0	372	0	
8462	348	0	14	0	362	28	
8547	1175	167	19	0	1135	146	
8631	252	82	4	0	272	106	
9115	7269	1211	138	0	6378	458	
9160	1150	125	1	0	1027	3	
9339	3084	262	12	0	2951	141	
9357	2477	525	15	0	2134	197	
9553	430	15	3	0	412	0	
9807	31821	1750	151	0	30056	136	
9955	488	0	15	0	488	15	
10157	574	100	47	0	498	71	
10250	1502	330	38	0	1349	215	
10577	357	0	26	0	345	14	
10849	1433	120	3	0	1325	15	
10858	3841	4836	40	8	3988	5031	
11145	836	174	15	0	741	94	
11350	381	22	9	0	362	12	
11640	1170	300	107	0	1048	285	
11837	1182	0	52	0	1159	29	
12030	4184	1125	704	0	3587	1232	
12058	555	290	59	0	518	312	
12142	1053	80	106	0	1058	191	
12245	688	28	15	0	669	24	
12311	358717	199494	27206	-4651	297175	160507	
12357	81	0	0	0	81	0	
12405	8999	3820	289	0	8145	3255	
12647	401	36	0	0	390	25	
12656	113	13	5	0	95	0	
12937	755	54	0	0	703	2	
12946	3620	403	333	0	3787	903	
12955	869	150	150	0	770	201	
13037	1070	383	21	0	1095	429	
13103	3856	313	61	0	3495	13	
13251	291	0	20	0	277	6	
13309	56905	13724	3305	0	59291	19415	
13457	349	0	8	0	341	0	
14052	553	90	0	0	474	11	
14155	771	266	37	0	620	152	
14258	4475	540	52	0	4224	341	
14409	194391	61553	8960	-1743	158927	33306	
14454	699	40	8	0	681	30	
14650	248	120	29	0	285	186	
14753	496	0	3	0	493	0	
14865	669	31	12	0	667	41	
14931	124	30	8	0	207	121	
14940	790	108	0	0	723	41	
15536	8246	2675	234	0	9443	4106	
15732	2814	435	1	0	2409	31	
16337	1288	375	39	0	1051	177	
16355	510	4	4	0	503	1	
16458	1467	40	17	0	1767	357	
16551	966	225	2	0	759	20	
16748	298	85	5	0	271	63	
16766	4425	1800	0	0	4869	2244	
16944	290	157	23	0	473	363	
16953	120	12	2	0	111	5	
17110	487	117	0	0	370	0	
17147	5345	1325	156	0	4817	953	
17259	129	5	5	0	134	15	
17464	6020	2815	189	0	5020	2004	
17549	2145	1275	97	0	1242	469	
17642	235	217	10	0	222	214	
17839	1894	30	400	0	1684	220	
17950	296	45	0	0	253	2	
18050	1426	225	39	0	1254	92	
18126	7774	750	69	1939	5393	377	
18135	704	135	64	0	607	102	
18368	4937	1150	166	0	5042	1421	
18377	42	0	0	0	42	0	
18827	1173	59	20	0	1154	60	
18836	747	165	56	0	686	160	
18854	185	142	6	0	201	164	
18863	1986	200	47	0	1843	104	
