"IDRSSD"	RIAD0497	RIAD4042	RIAD4136	RIAD4141	RIAD4146	RIAD4461	RIAD4462	RIAD4463	RIAD4464	RIAD4467	RIAD4468	RIAD4486	RIAD4487	RIAD4488	RIAD4489	RIAD4491	RIAD4498	RIAD4499	RIAD4522	RIAD4769	RIAD5523	RIAD6373	RIAD8403	RIADB526	RIADB527	RIADC013	RIADC014	RIADC015	RIADC016	RIADC017	RIADC018	TEXT4461	TEXT4462	TEXT4463	TEXT4464	TEXT4467	TEXT4468	TEXT4487	TEXT4489	TEXT4498	TEXT4499	TEXT4522	TEXT4769	TEXTB526	TEXTB527	
	ADVERTISING & MARKETING EXPENSES	RENT & OTHER INCOME FR OTHR REAL EST	DIRECTORS FEES	LEGAL FEES & EXPENSES	FDIC DEPOSIT INSURANCE ASSESSMENTS	1ST ITEMIZED AMT OV25% OF ITEM 4078	2ND ITEMIZED AMT OV25% OF ITEM 4078	3RD ITEMIZED AMT OV25% OF ITEM 4078	1ST ITEMIZED AMT OV25% OF ITEM 4092	2ND ITEMIZED AMT OV25% OF ITEM 4092	3RD ITEMIZED AMT OV25% OF ITEM 4092	1ST ITEMIZED AMT FOR ITEM 4315	2ND ITEMIZED AMT FOR ITEM 4310	2ND ITEMIZED AMT FOR ITEM 4315	3RD ITEMIZED AMT FOR ITEM 4310	3RD ITEMIZED AMT FOR ITEM 4315	1ST ITMZD TRANSACTIONS OF ITEM 4415	2ND ITMZD TRANSACTIONS OF ITEM 4415	2ND ITEMIZED ADJUSTMTS TO ITEM 4815	OTHER EXPLANATIONS	WRITE DOWN ARISING FRM TRNSFR TO HFS	EFFECT OF ADOPTING FAS 133, ETC	POSTAGE EXPENSE	RESTATEMNTS DUE TO CORRECTIONS (1ST)	RESTATMENTS DUE TO CORRECTIONS (2ND)	INCM&FEES FROM PRNTNG&SALE OF CHECKS	EARNINGS ON CSV OF LIFE INSURANCE	SAFE DEPOSIT BOX RENT	INCM&FEES FRM AUTMTD TELL MACH(ATMS)	DATA PROCESSING EXPENSES	PRINTING, STATIONERY, AND SUPPLIES	1ST ITEMIZED AMT OV25% OF ITEM 4078	2ND ITEMIZED AMT OV25% OF ITEM 4078	3RD ITEMIZED AMT OV25% OF ITEM 4078	1ST ITEMIZED AMT OV25% OF ITEM 4092	2ND ITEMIZED AMT OV25% OF ITEM 4092	3RD ITEMIZED AMT OV25% OF ITEM 4092	2ND ITEMIZED AMT FOR ITEM 4310	3RD ITEMIZED AMT FOR ITEM 4310	1ST ITMZD TRANSACTIONS OF ITEM 4415	2ND ITMZD TRANSACTIONS OF ITEM 4415	2ND ITEMIZED ADJUSTMTS TO ITEM 4815	OTHER EXPLANATIONS	RESTATEMNTS DUE TO CORRECTIONS (1ST)	RESTATMENTS DUE TO CORRECTIONS (2ND)	
37	9	0	32	7	10	12	3	1	0	0	0	0	0	0	0	0	0	0	0	false	0	0	36	0	0	5	0	7	0	81	49	FHLB STOCK & INT                                                                                                                                                                                 	PENALTY EARLY W/D CD S                                                                                                                                                                           													
242	0	0	31	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	6	2	0	0				COMPTROLLER OF CURRENCY ASSESSMENTS                                                                                                                                                              											
279	21	3	52	1	10	0	0	0	49	0	0	0	0	0	0	0	0	0	0	false	0	0	37	0	0	1	0	2	5	165	26				OUTSIDE SERVICES                                                                                                                                                                                 											
354	14	0	8	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	1	0	15	0	Exchange                                                                                                                                                                                         														
439	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	146	0															
457	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	16	0	0	0	12															
505	148	0	0	0	144	0	0	0	253	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	531	0				Loan Servicing Expense                                                                                                                                                                           											
1146	0	0	0	0	0	1217	948	7100	520	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	664	0	CC INTERCHANGE FEES & INC                                                                                                                                                                        	PMC MISC INC                                                                                                                                                                                     	LTC- CLOSING FEES, SEARCH FEES, TITLE INS                                                                                                                                                        	TELEPHONE                                                                                                                                                                                        											
1155	144	0	126	5	14	27	0	0	46	0	0	0	0	0	0	0	0	0	0	false	0	0	57	0	0	14	0	12	51	228	51	Exchange & Commission Fees                                                                                                                                                                       			ATM Expense                                                                                                                                                                                      											
1351	8	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	39	0	0	8	0	8	0	0	22															
1454	232	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	212	0	0	0	0	0	0	0	310															
1557	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0															
1632	124	0	85	42	24	22	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	56	0	0	40	0	30	33	552	46	Travelers Express Net Revenue                                                                                                                                                                    														
1669	37	0	35	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	76	0	0	0	0	31	33	97	66															
1829	0	0	0	227	0	0	0	0	175	230	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	283	0				ATM/Debit Card Network Exp                                                                                                                                                                       	PA Shares Tax                                                                                                                                                                                    										
1856	0	0	0	17	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	12				Fees                                                                                                                                                                                             											
1959	0	0	15	14	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0				Real estate foreclosure costs                                                                                                                                                                    											
2040	57	3	49	14	13	11	22	0	8	12	26	0	0	0	0	0	0	0	0	false	0	0	41	0	0	7	0	12	12	35	65	Debit card fees                                                                                                                                                                                  	Miscellanous customer fees                                                                                                                                                                       		ORE writedown                                                                                                                                                                                    	Auditing expense                                                                                                                                                                                 	ATM/debit card expenses                                                                                                                                                                          									
2161	0	0	97	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	26	0	16	11	78	98															
2376	0	495	0	0	0	1620	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	518	0	Joint venture income                                                                                                                                                                             														
2451	6	0	3	5	2	0	0	0	3	3	11	0	0	0	0	0	0	0	0	false	0	0	9	0	0	0	0	2	0	5	5				Travel Expense                                                                                                                                                                                   	Telephone Expense                                                                                                                                                                                	Subs, Dues, Memberships                                                                                                                                                                          									
2554	0	0	6	0	1	0	0	0	5	3	9	0	0	0	0	0	0	0	0	false	0	0	2	0	0	0	0	2	0	3	3				INSURANCE AND BONDS                                                                                                                                                                              	EXAMS                                                                                                                                                                                            	ACCOUNTING                                                                                                                                                                                       									
2732	0	0	67	50	63	26	30	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	128	0	0	0	0	79	58	537	160	CREDIT CARD FEES                                                                                                                                                                                 	WIRE TRANSFER FEE                                                                                                                                                                                													
2750	0	0	0	73	0	0	0	0	43	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	51	0				OREO                                                                                                                                                                                             											
2938	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	319	0	0	false	0	0	0	0	0	0	0	0	0	768	0									CAPITAL INFUSION                                                                                                                                                                                 						
2956	26	0	36	17	27	0	0	0	82	38	64	0	0	0	0	0	0	0	0	false	0	0	44	0	0	10	0	16	16	168	33				bad debt                                                                                                                                                                                         	telephone                                                                                                                                                                                        	lease & maintance agreements                                                                                                                                                                     									
3252	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0															
3458	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0															
3506	849	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0															
3579	155	0	0	0	0	139	0	0	127	158	0	0	0	0	0	0	0	0	552	false	0	0	0	0	0	0	0	0	0	0	142	Management Income                                                                                                                                                                                			Communications                                                                                                                                                                                   	Tax on Stock                                                                                                                                                                                     						Balance-allowance of merged institution                                                                                                                                                          				
3720	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	85	0															
3953	45	82	48	63	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	26	0	0	7	39	13	4	53	60															
4138	68	0	113	14	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	57	0	0	16	0	20	18	30	101															
4147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0															
4156	0	0	55	0	0	0	0	0	47	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	100	44				Exam and Audit Expense                                                                                                                                                                           											
4231	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	47	0	0	0	0	0	0	89	0															
4437	72	0	64	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	65	0	0	0	0	0	0	213	83															
4745	1	1	15	4	1	0	0	0	3	7	0	0	0	0	0	0	0	0	0	false	0	0	4	0	0	0	0	2	3	9	2				STATE ASSESSMENTS                                                                                                                                                                                	BANK SRVC CHARGES                                                                                                                                                                                										
4839	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	307	0															
5005	183	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	148	0	0	200	0															
5050	0	0	0	0	0	57	0	0	50	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	72	merchant card discount                                                                                                                                                                           			merchant card                                                                                                                                                                                    											
5069	125	8	0	45	33	89	25	3	51	119	36	0	0	0	0	0	0	0	0	false	0	0	15	0	0	0	0	1	0	112	32	FEES LETTERS OF CREDIT                                                                                                                                                                           	DOCUMENTARY COLLECTION FEES                                                                                                                                                                      	WIRE FEE INCOME                                                                                                                                                                                  	TELEPHONE & TELEX                                                                                                                                                                                	AUDIT & OTHER PROFESSIONAL SERVICES                                                                                                                                                              	SERVICE CHARGES CORRESPONDENT BANKS & FED.                                                                                                                                                       									
5135	12	0	18	28	10	0	0	0	95	71	0	0	0	0	0	0	0	0	0	false	0	0	7	0	0	3	0	7	23	191	26				Administrative Fees                                                                                                                                                                              	Audit & Exam Fees                                                                                                                                                                                										
5210	0	0	0	0	0	0	0	0	452	339	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0				Pennsylvania Shares Tax                                                                                                                                                                          	Professional Services                                                                                                                                                                            										
5247	199	0	29	9	92	424	0	0	486	430	0	0	0	0	0	0	0	0	0	false	0	0	406	0	0	198	0	174	60	397	259	Mortgage Loan Processing Income                                                                                                                                                                  			Item Processing                                                                                                                                                                                  	Cash Station Expense                                                                                                                                                                             										
5274	0	0	74	0	0	0	0	0	54	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	161	0				Accounting & Audit Expense                                                                                                                                                                       											
5331	0	0	0	0	0	0	0	0	150	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	146	380	0				ATMPROCESSING FEES                                                                                                                                                                               											
5461	106	19	16	53	23	0	0	0	76	79	163	0	0	0	0	0	0	0	0	false	0	0	55	0	0	52	1001	12	105	164	115				ENTERTAINMENT EXPENSE                                                                                                                                                                            	TELEPHONE SERVICE                                                                                                                                                                                	CUSTOMER SUPPORT                                                                                                                                                                                 									
5751	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	69	0	0	0	0															
5939	0	0	0	0	0	4483	0	0	1540	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	3090	0	GAIN ON SALE OF DEPOSITS                                                                                                                                                                         			LOAN COLLECTION & REPO EXPENSE                                                                                                                                                                   											
6039	0	0	0	0	0	61	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	170	0	MORTGAGE PREPARATION FEES                                                                                                                                                                        														
6057	4	0	0	2	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	6	0	0	0	0	3	0	25	11	Collection Fees                                                                                                                                                                                  														
6141	12	0	32	15	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	27	0	0	6	0	6	0	52	25															
6329	86	0	0	165	43	209	83	0	130	55	38	0	0	0	0	0	0	0	0	false	0	0	118	0	0	0	0	0	112	0	0	Yield Spread Premium                                                                                                                                                                             	Exchange                                                                                                                                                                                         		Telephone                                                                                                                                                                                        	Donation                                                                                                                                                                                         	Miscellaneous expense                                                                                                                                                                            									
6842	8	0	17	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	12	0	0	0	0	4	7	32	12															
6972	435	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0															
7009	0	0	0	0	0	9009	0	0	26325	1050	0	0	0	0	0	0	16	0	0	true	0	0	0	0	0	0	0	0	0	0	0	Trademark royalty fees                                                                                                                                                                           			Investment advisory  other service fees                                                                                                                                                          	Custody fees                                                                                                                                                                                     				See item RI-E7 below for description                                                                                                                                                             						
7045	55	0	42	28	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	53	0	0	8	0	14	23	0	49															
7157	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	23	0	0	0	0	0	0	30	17															
7166	0	0	0	0	0	0	0	0	801	253	0	0	0	0	0	0	1500	0	0	false	0	0	0	0	0	0	0	0	0	1155	0				HOLDING CO MANAGEMENT FEES                                                                                                                                                                       	THIRD PARTY VENDOR EXPENSE                                                                                                                                                                       				INFUSION OF CAPITAL FROM HOLDING COMPANY                                                                                                                                                         						
7456	23	0	0	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0															
7634	0	0	0	0	0	27	0	0	26	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	37	EDP Income                                                                                                                                                                                       			ATM Operation Expense                                                                                                                                                                            											
8033	4	37	59	33	5	13	10	8	39	25	23	0	0	0	0	0	0	0	0	false	0	0	25	0	0	3	0	7	8	71	20	Fees All Other                                                                                                                                                                                   	Rental Income Bank Prem & Property                                                                                                                                                               	Bank Card Income                                                                                                                                                                                 	Taxes Ad Valorem                                                                                                                                                                                 	Services EXternal Auditors                                                                                                                                                                       	Services Analysis Charges                                                                                                                                                                        									
8154	36	0	0	18	0	0	0	0	38	50	9	0	0	0	0	0	0	0	0	false	0	0	0	0	0	4	0	0	0	69	18				Communications (Postage & Telephone)                                                                                                                                                             	Miscellaneous                                                                                                                                                                                    	Education and Seminars                                                                                                                                                                           									
8417	0	0	0	0	0	0	0	0	50990	5714	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	8658	0				Affiliate Related Expense Allocations                                                                                                                                                            	Software                                                                                                                                                                                         										
8462	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	37															
