"IDRSSD"	RIAD0497	RIAD4042	RIAD4136	RIAD4141	RIAD4146	RIAD4461	RIAD4462	RIAD4463	RIAD4464	RIAD4467	RIAD4468	RIAD4469	RIAD4486	RIAD4487	RIAD4488	RIAD4489	RIAD4491	RIAD4498	RIAD4499	RIAD4521	RIAD4522	RIAD4769	RIAD8403	RIADB526	RIADB527	RIADC013	RIADC014	RIADC015	RIADC016	RIADC017	RIADC018	TEXT4461	TEXT4462	TEXT4463	TEXT4464	TEXT4467	TEXT4468	TEXT4469	TEXT4487	TEXT4489	TEXT4498	TEXT4499	TEXT4521	TEXT4522	TEXT4769	TEXTB526	TEXTB527	
	ADVERTISING & MARKETING EXPENSES	RENT & OTHER INCOME FR OTHR REAL EST	DIRECTORS FEES	LEGAL FEES & EXPENSES	FDIC DEPOSIT INSURANCE ASSESSMENTS	1ST ITEMIZED AMT OV25% OF ITEM 4078	2ND ITEMIZED AMT OV25% OF ITEM 4078	3RD ITEMIZED AMT OV25% OF ITEM 4078	1ST ITEMIZED AMT OV25% OF ITEM 4092	2ND ITEMIZED AMT OV25% OF ITEM 4092	3RD ITEMIZED AMT OV25% OF ITEM 4092	1ST ITEMIZED AMT FOR ITEM 4310	1ST ITEMIZED AMT FOR ITEM 4315	2ND ITEMIZED AMT FOR ITEM 4310	2ND ITEMIZED AMT FOR ITEM 4315	3RD ITEMIZED AMT FOR ITEM 4310	3RD ITEMIZED AMT FOR ITEM 4315	1ST ITMZD TRANSACTIONS OF ITEM 4415	2ND ITMZD TRANSACTIONS OF ITEM 4415	1ST ITEMIZED ADJUSTMTS TO ITEM 4815	2ND ITEMIZED ADJUSTMTS TO ITEM 4815	OTHER EXPLANATIONS	POSTAGE EXPENSE	RESTATEMNTS DUE TO CORRECTIONS (1ST)	RESTATMENTS DUE TO CORRECTIONS (2ND)	INCM&FEES FROM PRNTNG&SALE OF CHECKS	EARNINGS ON CSV OF LIFE INSURANCE	SAFE DEPOSIT BOX RENT	INCM&FEES FRM AUTMTD TELL MACH(ATMS)	DATA PROCESSING EXPENSES	PRINTING, STATIONERY, AND SUPPLIES	1ST ITEMIZED AMT OV25% OF ITEM 4078	2ND ITEMIZED AMT OV25% OF ITEM 4078	3RD ITEMIZED AMT OV25% OF ITEM 4078	1ST ITEMIZED AMT OV25% OF ITEM 4092	2ND ITEMIZED AMT OV25% OF ITEM 4092	3RD ITEMIZED AMT OV25% OF ITEM 4092	1ST ITEMIZED AMT FOR ITEM 4310	2ND ITEMIZED AMT FOR ITEM 4310	3RD ITEMIZED AMT FOR ITEM 4310	1ST ITMZD TRANSACTIONS OF ITEM 4415	2ND ITMZD TRANSACTIONS OF ITEM 4415	1ST ITEMIZED ADJUSTMTS TO ITEM 4815	2ND ITEMIZED ADJUSTMTS TO ITEM 4815	OTHER EXPLANATIONS	RESTATEMNTS DUE TO CORRECTIONS (1ST)	RESTATMENTS DUE TO CORRECTIONS (2ND)	
37	4	0	18	7	4	14	4	5	9	15	21	0	0	0	0	0	0	0	0	0	0	false	18	0	0	5	0	7	0	65	28	Exchange	Penalty on CD early w/d	Network fees	Software License Fee	Clearing House Fees	Examination & Audit fees											
242	0	0	28	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	6	0	0	0				CORRESPONDENT BANK CHARGES													
279	32	1	49	14	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	29	0	0	12	0	2	31	101	31																	
354	5	0	5	0	1	0	0	0	6	5	8	0	0	0	0	0	0	0	0	0	0	false	2	0	0	0	0	1	0	10	2				Misc.	Audits	Insurance											
439	0	0	81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	false	0	0	0	0	0	0	0	0	0												Price balance on 01/23/06		Line6a. Purchase price adjustment as of 01/23/06 in accordance with push down accounting.			
457	0	0	11	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	10	0	0	0	10				EXAMINATION, ACCOUNTING AND LEGAL FEES													
505	114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	true	0	0	0	0	0	0	0	342	0																	
1146	673	0	0	370	0	1078	5019	7279	381	0	0	0	0	0	0	0	0	0	0	0	0	true	0	0	0	0	0	0	0	562	382	CC INTERCHANGE, CC INC, CC SERVICNING FEE	DISC GAIN, MISC INC	CLOSING FEE, PROC FEE, SEARCH FEE, TITLE INS INC	TELEPHONE													
1155	189	2	78	16	12	32	56	0	41	0	0	0	0	0	0	0	0	0	0	0	0	false	45	0	0	14	66	9	63	158	52	Exchange	Secondary Market Loan Origination Fees		Macha & Bank Service Charges													
