"IDRSSD"	RCFD0426	RCFD2130	RCFD2150	RCFD2651	RCFD3164	RCFD3190	RCFD4088	RCFD5372	RCFD5374	RCFD5375	RCFD5507	RCFD6164	RCFD6165	RCFDA590	RCFDB026	RCFDB565	RCFDB566	RCFDB567	RCFDB568	RCFDB569	RCFDB570	RCFDB571	RCFN5513	RCON0426	RCON2130	RCON2150	RCON2651	RCON3164	RCON3190	RCON4088	RCON5372	RCON5374	RCON5375	RCON5507	RCON5508	RCON5509	RCON5510	RCON5511	RCON5512	RCON6164	RCON6165	RCONA590	RCONB026	RCONB565	RCONB566	RCONB567	RCONB568	RCONB569	RCONB570	RCONB571	RCONC979	TEXT4087	
	OTHER IDENTIFIABLE INTANGIBLE ASSETS	INVEST. IN UNCONSOLIDATED SUBS & CO.	OTHER REAL ESTATE OWNED	FHLB ADVANCES MATURING <= 1 YEAR	MORTGAGE SERVICING ASSETS	OTHER BORROWED MONEY	IS CU WEB SITE INTERACTIVE?	DIRECT&INDIRECT INVEST IN RE VENTURE	DIRECT&INDIRECT INVEST IN RE VENTURE	ALL OTHR INVEST IN UNCONSLDTD SUBS	ALL OTHR IDENTIFIABLE INTANGBL ASSET	AGGREG AKT OF EXT OF CREDIT TO EXECS	NBR OF EXEC OFFCRSEPRIN SHAREHOLDERS	ESTMTD FAIR VAL OF MTG SERVNG ASSETS	PURCD CRD CD RLSHPS&NONMTG SRVG ASTS	FHLB ADVANCES: MATURING 1-3 YEARS	FHLB ADVANCES: MATURING > 3 YEARS	OTHER BORROWINGS MATURING 1-3 YEARS	OTHER BORROWINGS MATURING > 3 YEARS	DOES RPRTNG BANK SELL MUTUAL FUNDS?	ASSETS MANAGED: MUTUAL FUNDS&ANNUITY	OTHER BORR0WINGS MATURING <= 1 YEAR	ALL OTHR RE OWNED IN FOREIGN OFFICES	OTHER IDENTIFIABLE INTANGIBLE ASSETS	INVEST. IN UNCONSOLIDATED SUBS & CO.	OTHER REAL ESTATE OWNED	FHLB ADVANCES MATURING <= 1 YEAR	MORTGAGE SERVICING ASSETS	OTHER BORROWED MONEY	IS CU WEB SITE INTERACTIVE?	DIRECT&INDIRECT INVEST IN RE VENTURE	DIRECT&INDIRECT INVEST IN RE VENTURE	ALL OTHR INVEST IN UNCONSLDTD SUBS	ALL OTHR IDENTIFIABLE INTANGBL ASSET	CONSTRCTN&LAND DEVLPMNT IN DOMS OFFC	FARMLAND IN DOMESTIC OFFICES	1-4 FMLY RESDTL PROPTS IN DOMS OFFCS	MULTIFMLY RESDTL PROPTS IN DOMS OFFC	NONFRM NONRESDTL PROPTS IN DOMS OFFC	AGGREG AKT OF EXT OF CREDIT TO EXECS	NBR OF EXEC OFFCRSEPRIN SHAREHOLDERS	ESTMTD FAIR VAL OF MTG SERVNG ASSETS	PURCD CRD CD RLSHPS&NONMTG SRVG ASTS	FHLB ADVANCES: MATURING 1-3 YEARS	FHLB ADVANCES: MATURING > 3 YEARS	OTHER BORROWINGS MATURING 1-3 YEARS	OTHER BORROWINGS MATURING > 3 YEARS	DOES RPRTNG BANK SELL MUTUAL FUNDS?	ASSETS MANAGED: MUTUAL FUNDS&ANNUITY	OTHER BORR0WINGS MATURING <= 1 YEAR	FORECLOSED PROPERTIES FROM	URL	
37																								0	0	20	0	0	0	false	0	0	0	0	0	0	20	0	0	726	0	0	0	0	0	0	0	false	0	0	0		
242																								0	0	66	200	0	2612	true	0	0	0	0	0	0	66	0	0	205	0	0	0	812	1600	0	0	true	0	0	0	http://www.fcbxeniaflora.com	
279																								67	250	437	12414	67	28708	true	0	0	250	0	9	0	428	0	0	255	0	67	0	2500	13794	0	0	true	0	0	0	http://www.mineolacb.com	
354																								0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	192	1	0	0	0	0	0	0	false	0	0	0		
439																								4061	0	145	0	0	0	true	0	0	0	4061	0	0	24	0	121	2479	1	0	0	0	0	0	0	false	0	0	0	www.peoplesbankga.net	
457																								0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	390	2	0	0	0	0	0	0	false	0	0	0		
505																								120	0	236	29100	91	42100	true	0	0	0	29	157	0	79	0	0	2589	2	91	0	9000	4000	0	0	true	0	0	0	www.bsnb.com	
1146																								516	0	71	24500	31	42843	true	0	0	0	485	0	0	65	0	6	600	1	31	0	0	18343	0	0	true	0	0	0	www.pulaskibank.com	
1155																								0	0	0	0	0	3000	true	0	0	0	0	0	0	0	0	0	8329	4	0	0	0	3000	0	0	true	0	0	0	http://firststatebankandtrust.com	
1351																								0	0	20	0	0	0	false	0	0	0	0	0	0	0	0	20	894	1	0	0	0	0	0	0	false	0	0	0		
1454																								67	0	0	0	0	0	true	0	0	0	67	0	0	0	0	0	23555	5	0	0	0	0	0	0	true	0	0	0	www.hilltopnationalbank.com	
1557																								0	0	0	0	0	2111	false	0	0	0	0	0	0	0	0	0	0	0	0	0	250	1851	0	0	false	0	10	0		
1632																								0	0	0	6000	0	9000	true	0	0	0	0	0	0	0	0	0	20818	7	0	0	3000	0	0	0	true	0	0	0	www.seaislandbank.com	
1669																								1657	0	48	0	0	107	true	0	0	0	1657	0	0	48	0	0	3188	2	0	0	0	0	0	0	false	0	107	0	www.lnbparis.com	
1829																								0	0	536	3550	0	8550	true	0	0	0	0	0	0	536	0	0	1296	1	0	0	0	5000	0	0	false	0	0	0	http://avbpgh.com	
1856																								0	0	28	88000	0	88000	false	0	0	0	0	0	0	28	0	0	183	0	0	0	0	0	0	0	false	0	0	0		
2040																								0	0	80	5160	0	20968	true	0	0	0	0	0	0	80	0	0	1883	1	0	0	10500	5300	0	0	false	0	8	0	http://www.fmnetbank.com	
2161																								0	0	0	0	0	0	true	0	0	0	0	0	0	0	0	0	1269	0	0	0	0	0	0	0	false	0	0	0	http://www.ffpnet.com	
2376																								212	2764	496	14875	0	169404	true	0	2764	0	212	0	0	0	336	160	20185	2	0	0	10000	144061	0	468	false	0	0	0	http://oritani.com	
2451																								0	0	0	5670	0	6430	true	0	0	0	0	0	0	0	0	0	430	4	0	0	205	555	0	0	false	0	0	0	http://thunderbank.com	
2554																								0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	97	1	0	0	0	0	0	0	false	0	0	0		
