"IDRSSD"	RIAD3123	RIAD4230	RIAD4605	RIAD5523	RIADB522	RIADC079	RIADC233	RIADC389	RIADC390	RIADC435	RIADC781	
	ALLL_AMT	PROVISION FOR CREDIT LOSSES	RECOVERIES CREDITED TO RESERVES	WRITE DOWN ARISING FRM TRNSFR TO HFS	BEGIN BALANCE (MOST RECENT) IN ALLL	CHRG-OFFS ON ALLWNCE FOR L&L LOSSES	ADJUSTMENTS	SEPARATE VAL ALLOW CRED/FIN CHGS	AMT ALLOW LN&LSE LOSS CC/FIN CHGS	ALLOCATED TRANSFER RISK RESERVE	AMT OF ALLOWNCE FOR POST-ACQUISTN LO	
37	1066	90	48	0	962	34	0			0	0	
242	159	0	7	0	158	6	0			0	0	
279	446	0	6	0	454	14	0			0	0	
354	178	0	6	0	188	16	0			0	0	
439	1711	157	1	0	1538	8	23			0	0	
457	401	103	3	0	301	6	0			0	0	
505	2361	90	12	0	2326	67	0			0	0	
1146	4211	0	40	0	4344	173	0			0	0	
1155	1667	180	31	0	1892	436	0			0	0	
1351	1190	80	3	0	1120	13	0	0	0	0	0	
1454	1485	290	27	0	1191	23	0			0	0	
1557	375	0	4	0	377	6	0	0	0	0	0	
1632	6618	1350	156	0	5734	622	0			0	0	
1669	1539	141	99	0	1400	101	0			0	0	
1829	3309	270	103	0	3005	69	0			0	0	
1856	126	30	0	0	118	22	0			0	0	
2040	1972	850	104	0	1790	772	0			0	0	
2161	552	24	24	0	518	14	0			0	0	
2376	7672	700	0	0	6172	0	800			0	0	
2451	195	3	0	0	192	0	0			0	0	
2554	56	12	0	0	44	0	0			0	0	
2732	3609	150	9	0	3458	8	0			0	0	
2750	516	10	1	0	541	36	0			0	0	
2938	5528	1380	154	0	5257	1263	0			0	0	
3252	936	0	185	0	956	205	0			0	0	
3458	385	0	2	0	384	1	0			0	0	
3506	10649	300	61	0	10646	358	0			0	0	
3720	1278	34	6	0	1246	8	0			0	0	
3953	1525	300	54	0	1174	3	0			0	0	
4138	1229	120	12	0	1270	173	0			0	0	
4147	576	60	29	0	722	235	0			0	0	
4156	1366	86	1277	0	1152	1213	64			0	0	
4231	704	42	13	0	664	15	0			0	0	
4437	1824	320	24	0	1940	460	0			0	0	
4839	1821	130	7	0	1695	11	0			0	0	
5005	2018	155	0	0	1863	0	0			0	0	
5069	6684	0	0	0	6684	0	0			0	0	
5135	2519	300	21	0	2270	72	0			0	0	
5210	4915	450	44	0	4456	35	0			0	0	
5274	907	47	10	0	852	2	0			0	0	
5331	888	0	3	0	893	8	0			0	0	
5461	1939	0	4	0	1944	9	0			0	0	
5751	767	0	0	0	767	0	0			0	0	
6039	853	150	12	0	825	134	0			0	0	
6057	192	19	2	0	186	15	0			0	0	
6141	341	30	47	0	275	11	0			0	0	
6329	3140	800	110	0	2890	660	0			0	0	
6972	7987	750	23	0	7418	57	-147			0	0	
7009	0	0	0	0	0	0	0			0	0	
7045	693	55	21	0	673	53	-3	0	0	0	0	
7157	274	0	6	0	270	2	0			0	0	
7456	283	0	0	0	301	18	0	0	0	0	0	
7634	617	95	12	0	581	71	0			0	0	
8033	817	25	25	0	795	28	0			0	0	
8417	713	-522	6	0	1238	9	0			0	0	
8462	379	50	38	0	304	13	0			0	0	
8631	297	2	6	0	296	7	0			0	0	
9357	3606	0	7	0	3601	2	0			0	0	
9553	617	0	3	0	615	1	0			0	0	
9807	49080	3500	14	0	49273	1207	-2500			0	0	
9955	401	0	11	0	411	21	0			0	0	
10157	807	-25	8	0	936	112	0			0	0	
