RCON5562,RCON5563,RCON5564,RCON5565,RCON5566,RCON5567,RCON5568,RCON5569,RCON5570,RCON5571,RCON5572,RCON5573,RCON5574,RCON5575,RCON5576,RCON5577,RCON5578,RCON5579,RCON5580,RCON5581,RCON5582,RCON5583,RCON5584,RCON5585,RCON5586,RCON5587,RCON5588,RCON5589,RCON6860,RCON6999,IDRSSD,RCON9999
103,82,,,,,,,,,,,,,,,5,215,2,229,0,0,3,89,0,0,0,0,false,true,37,2010-06-30
71,103,,,,,,,,,,,,,59,87,,,,,,,,,,,,,true,true,242,2010-06-30
,,36,1591,27,3697,12,4449,103,777,4,432,5,1005,,,2,49,2,218,1,298,27,292,0,0,0,0,false,false,279,2010-06-30
,,0,0,0,0,0,0,7,112,0,0,1,228,,,9,372,5,670,0,0,58,719,0,0,0,0,false,false,354,2010-06-30
,,12,581,6,875,5,1821,43,994,13,1404,11,4064,,,24,933,9,1506,5,1233,48,1176,11,1201,9,2531,false,false,457,2010-06-30
,,18,1037,30,3973,41,18417,94,2993,32,3296,17,4429,,,,,,,,,,,,,,,false,false,505,2010-06-30
,,55,1808,41,5556,43,14036,180,3717,42,4748,48,12826,,,12,490,7,1015,4,1369,40,778,10,952,11,2310,false,false,1155,2010-06-30
,,97,2763,19,2845,11,3772,290,4679,33,3360,14,5286,,,60,2522,24,3174,5,1290,133,2199,11,1260,0,0,false,false,1351,2010-06-30
,,80,2895,77,8873,37,14479,412,7088,46,4753,32,7708,,,14,688,10,1115,3,475,62,1362,4,593,2,527,false,false,1454,2010-06-30
26,68,,,,,,,,,,,,,,,28,1345,14,1993,11,4264,326,5736,31,4526,20,6679,false,true,1557,2010-06-30
,,59,1614,18,2426,9,2449,204,2851,17,1729,12,2727,,,3,46,3,263,0,0,137,1877,0,0,0,0,false,false,1669,2010-06-30
,,61,2253,44,5687,71,26290,157,4311,32,2691,36,8694,,,,,,,,,,,,,,,false,false,1829,2010-06-30
,,13,396,2,256,2,550,47,1352,27,3353,5,1315,,,7,321,3,217,0,0,24,298,2,213,0,0,false,false,1856,2010-06-30
,,50,2484,34,6450,54,24841,104,3001,11,745,11,3339,,,12,605,5,866,5,1461,27,294,3,355,5,1222,false,false,2040,2010-06-30
,,82,1726,6,841,0,0,807,4402,31,4685,7,2912,,,7,75,0,0,0,0,191,1631,3,548,1,478,false,false,2161,2010-06-30
,,5,315,47,8285,228,106059,40,2122,3,465,6,2280,,,,,,,,,,,,,,,false,false,2376,2010-06-30
,,12,489,7,781,3,1093,31,959,3,463,6,2087,,,44,1214,20,2763,3,962,110,1681,4,511,0,0,false,false,2451,2010-06-30
0,38,,,,,,,,,,,,,26,52,0,0,0,0,0,0,0,0,0,0,0,0,true,true,2554,2010-06-30
