"IDRSSD"	RCFD0426	RCFD2130	RCFD2150	RCFD2651	RCFD3164	RCFD3190	RCFD4088	RCFD5372	RCFD5374	RCFD5375	RCFD5507	RCFD6164	RCFD6165	RCFDA590	RCFDB026	RCFDB569	RCFDB570	RCFDB571	RCFDF055	RCFDF056	RCFDF057	RCFDF058	RCFDF059	RCFDF060	RCFDF061	RCFDF062	RCFDF063	RCFDF065	RCFN5513	RCON0426	RCON2130	RCON2150	RCON2651	RCON3164	RCON3190	RCON4088	RCON5372	RCON5374	RCON5375	RCON5507	RCON5508	RCON5509	RCON5510	RCON5511	RCON5512	RCON6164	RCON6165	RCONA590	RCONB026	RCONB569	RCONB570	RCONB571	RCONC979	RCONF055	RCONF056	RCONF057	RCONF058	RCONF059	RCONF060	RCONF061	RCONF062	RCONF063	RCONF064	RCONF065	TEXT4087	
	OTHER IDENTIFIABLE INTANGIBLE ASSETS	INVEST. IN UNCONSOLIDATED SUBS & CO.	OTHER REAL ESTATE OWNED	FHLB ADVANCES MATURING <= 1 YEAR	MORTGAGE SERVICING ASSETS	OTHER BORROWED MONEY	IS CU WEB SITE INTERACTIVE?	DIRECT&INDIRECT INVEST IN RE VENTURE	DIRECT&INDIRECT INVEST IN RE VENTURE	ALL OTHR INVEST IN UNCONSLDTD SUBS	ALL OTHR IDENTIFIABLE INTANGBL ASSET	AGGREG AKT OF EXT OF CREDIT TO EXECS	# OF EXEC OFFCRSEPRIN SHAREHOLDERS	ESTMTD FAIR VAL OF MTG SERVNG ASSETS	PURCD CRD CD RLSHPS&NONMTG SRVG ASTS	DOES RPRTNG BANK SELL MUTUAL FUNDS?	ASSETS MANAGED: MUTUAL FUNDS&ANNUITY	OTHER BORR0WINGS MATURING <= 1 YEAR	FHLB ADVS:RMNG MAT/REPRNG DT 1 YR LE	FHLB ADVS:RMNG MAT/REPRNG DT 1-3 YRS	FHLB ADVS:RMNG MAT/REPRNG DT 3-5 YRS	FHLB ADVS:RMNG MAT/REPRNG DT OVR 5 Y	FHLB ADVANCES: STRUCTURED ADVANCES	OT BRWD MNY:WT RMNG MAT/REPR DT 1 YR	OT BRWD MNY:WT RMNG MAT/REPR DT 1-3 	OT BRWD MNY:WT RMNG MAT/REPR DT 3-5 	OT BRWD MNY:WT RMNG MAT/REPR DT OV 5	SECURED LIBLTIES:AMT OF	ALL OTHR RE OWNED IN FOREIGN OFFICES	OTHER IDENTIFIABLE INTANGIBLE ASSETS	INVEST. IN UNCONSOLIDATED SUBS & CO.	OTHER REAL ESTATE OWNED	FHLB ADVANCES MATURING <= 1 YEAR	MORTGAGE SERVICING ASSETS	OTHER BORROWED MONEY	IS CU WEB SITE INTERACTIVE?	DIRECT&INDIRECT INVEST IN RE VENTURE	DIRECT&INDIRECT INVEST IN RE VENTURE	ALL OTHR INVEST IN UNCONSLDTD SUBS	ALL OTHR IDENTIFIABLE INTANGBL ASSET	CONSTRCTN&LAND DEVLPMNT IN DOMS OFFC	FARMLAND IN DOMESTIC OFFICES	1-4 FMLY RESDTL PROPTS IN DOMS OFFCS	MULTIFMLY RESDTL PROPTS IN DOMS OFFC	NONFRM NONRESDTL PROPTS IN DOMS OFFC	AGGREG AKT OF EXT OF CREDIT TO EXECS	# OF EXEC OFFCRSEPRIN SHAREHOLDERS	ESTMTD FAIR VAL OF MTG SERVNG ASSETS	PURCD CRD CD RLSHPS&NONMTG SRVG ASTS	DOES RPRTNG BANK SELL MUTUAL FUNDS?	ASSETS MANAGED: MUTUAL FUNDS&ANNUITY	OTHER BORR0WINGS MATURING <= 1 YEAR	FORECLOSED PROPERTIES FROM	FHLB ADVS:RMNG MAT/REPRNG DT 1 YR LE	FHLB ADVS:RMNG MAT/REPRNG DT 1-3 YRS	FHLB ADVS:RMNG MAT/REPRNG DT 3-5 YRS	FHLB ADVS:RMNG MAT/REPRNG DT OVR 5 Y	FHLB ADVANCES: STRUCTURED ADVANCES	OT BRWD MNY:WT RMNG MAT/REPR DT 1 YR	OT BRWD MNY:WT RMNG MAT/REPR DT 1-3 	OT BRWD MNY:WT RMNG MAT/REPR DT 3-5 	OT BRWD MNY:WT RMNG MAT/REPR DT OV 5	SECURED LIBLTIES:AMT OF	SECURED LIBLTIES:AMT OF	PRIMARY INTERNET WEB ADDRESS	
37																														0	0	65	0	0	0	false	0	0	0	0	0	0	65	0	0	264	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
242																														0	0	0	612	0	2812	true	0	0	0	0	0	0	0	0	0	195	0	0	0	true	0	0	0	612	1000	500	700	0	0	0	0	0	0	0	http://www.fcbxeniaflora.com	
279																														74	253	428	4000	74	27104	true	0	0	253	0	0	0	428	0	0	281	0	74	0	true	0	0	0	4000	6500	16276	328	0	0	0	0	0	0	0	http://www.mineolacb.com	
354																														0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	194	1	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	56	0		
439																														3712	0	16	0	0	0	true	0	0	0	3712	0	0	16	0	0	2490	1	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	www.peoplesbankga.net	
457																														0	0	80	0	0	0	false	0	0	0	0	0	0	0	0	80	550	1	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	http://www.lowrystate.com	
505																														86	0	157	0	60	23000	true	0	0	0	26	157	0	0	0	0	2532	2	60	0	true	0	0	0	8000	15000	0	0	18000	0	0	0	0	0	0	BSNB.COM	
1146																														10813	0	599	0	0	22276	true	0	0	0	10813	360	0	239	0	0	832	0	0	0	true	0	0	0	9711	0	0	12565	0	0	0	0	0	0	0	http://www.pulaskibank.com	
1155																														0	0	0	5400	0	8400	true	0	0	0	0	0	0	0	0	0	6111	4	0	0	true	0	0	0	5400	3000	0	0	3000	0	0	0	0	0	0	www.firststatebankandtrust.com	
