"IDRSSD"	RIAD0497	RIAD4042	RIAD4136	RIAD4141	RIAD4146	RIAD4461	RIAD4462	RIAD4463	RIAD4464	RIAD4467	RIAD4468	RIAD4469	RIAD4486	RIAD4487	RIAD4488	RIAD4489	RIAD4491	RIAD4498	RIAD4499	RIAD4521	RIAD4522	RIAD4769	RIAD8403	RIADB526	RIADB527	RIADC013	RIADC014	RIADC015	RIADC016	RIADC017	RIADC018	TEXT4461	TEXT4462	TEXT4463	TEXT4464	TEXT4467	TEXT4468	TEXT4469	TEXT4487	TEXT4489	TEXT4498	TEXT4499	TEXT4521	TEXT4522	TEXT4769	TEXTB526	TEXTB527	
	ADVERTISING & MARKETING EXPENSES	RENT & OTHER INCOME FR OTHR REAL EST	DIRECTORS FEES	LEGAL FEES & EXPENSES	FDIC DEPOSIT INSURANCE ASSESSMENTS	1ST ITEMIZED AMT OV25% OF ITEM 4078	2ND ITEMIZED AMT OV25% OF ITEM 4078	3RD ITEMIZED AMT OV25% OF ITEM 4078	1ST ITEMIZED AMT OV25% OF ITEM 4092	2ND ITEMIZED AMT OV25% OF ITEM 4092	3RD ITEMIZED AMT OV25% OF ITEM 4092	1ST ITEMIZED AMT FOR ITEM 4310	1ST ITEMIZED AMT FOR ITEM 4315	2ND ITEMIZED AMT FOR ITEM 4310	2ND ITEMIZED AMT FOR ITEM 4315	3RD ITEMIZED AMT FOR ITEM 4310	3RD ITEMIZED AMT FOR ITEM 4315	1ST ITMZD TRANSACTIONS OF ITEM 4415	2ND ITMZD TRANSACTIONS OF ITEM 4415	1ST ITEMIZED ADJUSTMTS TO ITEM 4815	2ND ITEMIZED ADJUSTMTS TO ITEM 4815	OTHER EXPLANATIONS	POSTAGE EXPENSE	RESTATEMNTS DUE TO CORRECTIONS (1ST)	RESTATMENTS DUE TO CORRECTIONS (2ND)	INCM&FEES FROM PRNTNG&SALE OF CHECKS	EARNINGS ON CSV OF LIFE INSURANCE	SAFE DEPOSIT BOX RENT	INCM&FEES FRM AUTMTD TELL MACH(ATMS)	DATA PROCESSING EXPENSES	PRINTING, STATIONERY, AND SUPPLIES	1ST ITEMIZED AMT OV25% OF ITEM 4078	2ND ITEMIZED AMT OV25% OF ITEM 4078	3RD ITEMIZED AMT OV25% OF ITEM 4078	1ST ITEMIZED AMT OV25% OF ITEM 4092	2ND ITEMIZED AMT OV25% OF ITEM 4092	3RD ITEMIZED AMT OV25% OF ITEM 4092	1ST ITEMIZED AMT FOR ITEM 4310	2ND ITEMIZED AMT FOR ITEM 4310	3RD ITEMIZED AMT FOR ITEM 4310	1ST ITMZD TRANSACTIONS OF ITEM 4415	2ND ITMZD TRANSACTIONS OF ITEM 4415	1ST ITEMIZED ADJUSTMTS TO ITEM 4815	2ND ITEMIZED ADJUSTMTS TO ITEM 4815	OTHER EXPLANATIONS	RESTATEMNTS DUE TO CORRECTIONS (1ST)	RESTATMENTS DUE TO CORRECTIONS (2ND)	
37	3	0	10	4	2	4	1	5	12	15	3	0	0	0	0	0	0	0	0	0	0	false	9	0	0	2	0	4	0	33	25	Other Income                                                                                                                                                                                     	Penaalty C/D early w/d                                                                                                                                                                           	Exchange                                                                                                                                                                                         	Internal audit expense                                                                                                                                                                           	Clearing house fees & sales tax exp                                                                                                                                                              	Other loan fees                                                                                                                                                                                  											
242	4	0	13	0	0				5				0		0		0					false	0			0	0	5	0	0	0				AUDITING                                                                                                                                                                                         													
279	12	0	19	0	3	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0	false	13	0	0	5	0	0	0	47	17				OUTSIDE SERVICES                                                                                                                                                                                 													
354	3	0	2	7	2	0	0	0	6	4	0	0	0	0	0	0	0	0	0	0	0	false	1	0	0	0	0	0	0	2	1				Audits                                                                                                                                                                                           	Miscellaneous                                                                                                                                                                                    												
439	0	0	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	39	0																	
457	5	0	5	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	false	6	0	0	0	5	0	0	0	4				Annual Benfit Expense                                                                                                                                                                            													
505	48	0	43	0	58	0	0	0	46	0	0	0	0	0	0	0	0	0	0	0	0	false	39	0	0	0	0	0	0	197	42				LOAN SERVICING EXPENSE                                                                                                                                                                           													
1146	244	0	0	0	0	147	262	3089	164	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	123	0	282	168	Credit Card Income                                                                                                                                                                               	Misc Income - PBT                                                                                                                                                                                	Closing, Document Prep, Search fees & Title Ins Inc - LT                                                                                                                                         	Telephone                                                                                                                                                                                        													
1155	85	0	33	4	4	18	0	0	29	21	0	0	0	0	0	0	0	0	0	0	0	false	19	0	0	5	0	5	22	78	14	Exchange                                                                                                                                                                                         			Non-Recurring Expense - Loss From Robbery (Insurance Ded                                                                                                                                         	Macha & Bank Service Charges                                                                                                                                                                     												
1351	3	1	5	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	true	13	0	0	0	0	5	3	0	6																	
1454	124	0	41	41	0	50	0	0	71	0	0	0	0	0	0	0	0	0	0	0	0	false	84	0	0	0	0	0	0	71	134	VISA DEBIT CARD INCOME                                                                                                                                                                           			VISA DEBIT CARD EXPENSE                                                                                                                                                                          													
1557	0	0	5	0	0	0	0	0	7	13	6	0	0	0	0	0	0	0	0	0	0	false	6	0	0	0	0	0	0	0	7				Maintenance Contracts                                                                                                                                                                            	Consulting Fees                                                                                                                                                                                  	Insurance and Surety                                                                                                                                                                             											
1632	23	0	26	19	7	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	19	0	0	14	0	8	13	263	21	Travelers/American Express net Revenue                                                                                                                                                           																
1669	21	0	9	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	23	0	0	0	57	17	10	120	35																	
1829	0	0	0	0	0	0	0	0	68	91	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	139	0				ATM/Debit Card Network Expenses                                                                                                                                                                  	PA Shares Tax                                                                                                                                                                                    												
1856	5	1	2	0	1	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	false	2	0	0	0	0	1	0	5	4				Broker CD fees                                                                                                                                                                                   													
2040	19	0	19	6	4	7	12	0	26	13	11	0	0	0	0	0	0	0	0	0	0	false	8	0	0	3	0	5	5	22	20	Debit card fees                                                                                                                                                                                  	Miscellanous fees                                                                                                                                                                                		Advisory & Auditing expense                                                                                                                                                                      	ATM & Debit card expense                                                                                                                                                                         	Correspondent Bank service charges                                                                                                                                                               											
2161	0	0	15	0	0	15	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	false	18	0	0	0	24	0	0	53	21	VISA-MC FEE                                                                                                                                                                                      			DEFERRED COMPENSATION PLAN EXP                                                                                                                                                                   													
2376	78	126	84	28	28	452	0	0	58	46	61	0	0	0	0	0	0	0	0	0	0	false	36	0	0	0	0	3	47	282	59	Income from Joint Ventures                                                                                                                                                                       			Insurance                                                                                                                                                                                        	Correspondent Bank fees                                                                                                                                                                          	Audit and Exams                                                                                                                                                                                  											
2451	2	0	0	1	0	1			1	2	1		0		0		0			60		false	1			0	0	0	0	8	3	Teller Service/Exchange                                                                                                                                                                          			Correspondent Bank Expense                                                                                                                                                                       	Automobile-Expense                                                                                                                                                                               	FHLB fees on LOC s                                                                                                                                                                               						Push down from acquisition of bank stock                                                                                                                                                         					
2554	0	0	3	3	0	0	0	0	5	2	0	0	0	0	0	0	0	0	0	0	0	false	1	0	0	0	0	1	0	2	0				ACCOUNTING                                                                                                                                                                                       	INSURANCE & BONDS                                                                                                                                                                                												
2732	29	0	47	15	39	9	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	40	0	0	0	0	21	0	183	33	master charge                                                                                                                                                                                    	wire trf and electronic banking                                                                                                                                                                  															
2750	6	0	8	12	0	0	0	0	10	6	7	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	15	0	0	14	0				EXAM FEES                                                                                                                                                                                        	CONSULTING FEES                                                                                                                                                                                  	ACCOUNTING FEES                                                                                                                                                                                  											
2938	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	303	0																	
2956	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	17	0	72	0																	
3252	0	0	0	0	0	19	0	0	22	22	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	INCOME-COMM, EXCHG, FEES                                                                                                                                                                         			ACCOUNTING AND PROFESSION                                                                                                                                                                        	COMPUTER EXP- IN HOUSE                                                                                                                                                                           												
3458	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	-30	0	0	0	0	0	0	0															2003 Income Tax Adjustment                                                                                                                                                                       		
3506	387	0	0	209	0	0	0	0	264	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	261	0	0	281	0				Professional fees                                                                                                                                                                                													
