"IDRSSD"	RCFD0010	RCFD1395	RCFD1651	RCFD1754	RCFD1773	RCFD2170	RCFD2221	RCFD3123	RCFD3128	RCFD3210	RCFD3368	RCFD3411	RCFD3429	RCFD3433	RCFD3545	RCFD3792	RCFD3809	RCFD3812	RCFD3821	RCFD3833	RCFD4336	RCFD5306	RCFD5310	RCFD5311	RCFD5320	RCFD5327	RCFD5334	RCFD5339	RCFD5340	RCFD5369	RCFD5610	RCFD7204	RCFD7205	RCFD7206	RCFD7273	RCFD7274	RCFD7275	RCFD8274	RCFD8275	RCFD8434	RCFD8764	RCFD8766	RCFD8767	RCFD8769	RCFD8770	RCFD8771	RCFD8772	RCFD8773	RCFD8774	RCFD8775	RCFD8776	RCFD8777	RCFD8778	RCFD8779	RCFDA000	RCFDA001	RCFDA002	RCFDA167	RCFDA221	RCFDA222	RCFDA223	RCFDA224	RCFDA250	RCFDB503	RCFDB504	RCFDB505	RCFDB520	RCFDB528	RCFDB541	RCFDB542	RCFDB543	RCFDB546	RCFDB547	RCFDB548	RCFDB581	RCFDB582	RCFDB583	RCFDB588	RCFDB589	RCFDB590	RCFDB591	RCFDB592	RCFDB593	RCFDB594	RCFDB595	RCFDB596	RCFDB600	RCFDB601	RCFDB602	RCFDB603	RCFDB604	RCFDB605	RCFDB606	RCFDB607	RCFDB608	RCFDB609	RCFDB610	RCFDB611	RCFDB612	RCFDB617	RCFDB618	RCFDB619	RCFDB620	RCFDB621	RCFDB622	RCFDB623	RCFDB624	RCFDB625	RCFDB626	RCFDB627	RCFDB628	RCFDB629	RCFDB630	RCFDB631	RCFDB639	RCFDB640	RCFDB641	RCFDB642	RCFDB643	RCFDB644	RCFDB650	RCFDB651	RCFDB652	RCFDB653	RCFDB654	RCFDB655	RCFDB656	RCFDB657	RCFDB658	RCFDB659	RCFDB660	RCFDB661	RCFDB662	RCFDB663	RCFDB664	RCFDB665	RCFDB666	RCFDB667	RCFDB668	RCFDB669	RCFDB670	RCFDB671	RCFDB672	RCFDB673	RCFDB675	RCFDB676	RCFDB677	RCFDB678	RCFDB679	RCFDB680	RCFDB681	RCFDB682	RCFDB683	RCFDB684	RCFDB685	RCFDB686	RCFDB687	RCFDB688	RCFDB689	RCFDB690	RCFDB691	RCFDB693	RCFDB694	RCFDB695	RCFDB696	RCFDB697	RCFDB698	RCFDB699	RCFDB700	RCFDB701	RCFDB702	RCFDB703	RCFDB704	RCFDC063	RCFDC064	RCFDC225	RCFDC227	RCFDC228	RCFDC869	RCFDC980	RCFDC981	RCFDC982	RCFDC983	RCFDC984	RCFDC985	RCON0010	RCON1395	RCON1651	RCON1754	RCON1773	RCON2170	RCON2221	RCON3123	RCON3128	RCON3210	RCON3368	RCON3411	RCON3429	RCON3433	RCON3545	RCON3792	RCON3809	RCON3812	RCON3821	RCON3833	RCON4336	RCON5306	RCON5310	RCON5311	RCON5320	RCON5327	RCON5334	RCON5339	RCON5340	RCON5369	RCON5610	RCON7204	RCON7205	RCON7206	RCON7273	RCON7274	RCON7275	RCON8274	RCON8275	RCON8434	RCON8764	RCON8766	RCON8767	RCON8769	RCON8770	RCON8771	RCON8772	RCON8773	RCON8774	RCON8775	RCON8776	RCON8777	RCON8778	RCON8779	RCONA000	
	CASH AND DUE FROM DEPOSITORIES	TIER 3 CPTL ALLOCATD FOR MARKET RISK	MARKET RISK EQUIVALENT ASSETS	HELD-TO-MATURITY SECURITIES	AVAILABLE-FOR-SALE SECURITIES	TOTAL ASSETS	UNREALIZED GAINS ON A-F-S EQUITY SEC	ALLL_AMT	ALLOCATED TRANSFER RISK RESERVES	TOTAL EQUITY CAPITAL	QTLY AVG OF TOTAL ASSETS	COMMERCIAL LETTERS OF CREDIT	PART IN ACCEPT ACQ BY NONACCEPT BK	COMMIT&CONTINGENCIES/SECURITIES LENT	TOTAL TRADING ASSETS	TOTAL RISK-BASED CAPITAL	INT RATE CONTRACTS-MAT 1 YR OR LESS	FGN EXCHG RATE CONTRACTS-MAT 1 YR OR	PERFORMANCE STANDBY LETTERS OF CR	UNUSED COMMITMENTS MAT EXCEED 1 YEAR	ACCMLTD NT GN(LOSS) ON CSH FLW HDGS	QUALIFYING SUBORDINATED DEBT	ALLL INCLUDIBLE IN TIER2 CAPITAL	TIER 2 (SUPPLEMENTARY) CAPITAL	TOTAL ASSETS (0% RISK-WEIGHT)	TOTAL ASSETS (20% RISK-WEIGHT)	TOTAL ASSETS (50% RISK-WEIGHT)	ALL OTHER ASSETS (100% RISK-WEIGHT)	TOTAL ASSETS (100% RISK-WEIGHT)	LOANS AND LEASES HELD FOR SALE	DEFRD TAX ASSETS DISALWD FOR REGLTRY	TIER 1 LEVERAGE CAPITAL RATIO	TOTAL RISK-BASED CAPITAL RATIO	TIER 1 RISK-BASED CAPITAL RATIO	TIER 1 LEVERAGE RATIO	TIER 1 RISK-BASED CAPITAL RATIO	TOTAL RISK-BASED CAPITAL RATIO	TIER 1 CPTL ALLWBL UNDR RISK-BASED	TIER 2 CPTL ALLWBL UNDR RISK-BASED	NET UNRELZD HLDG GAINS(LOSS) ON AVL	NET CURRENT CREDIT EXPOSURE	INT RATE CONTRCTS-MAT OVER1THRU5 YRS	INT RATE CONTRCTS-MAT OVER 5 YEARS	FGN EXCHG RATE CNTRCS-MAT OVR1-5 YRS	FGN EXCHG RATE CNTRCS-MAT OVER 5 YRS	GOLD CONTRACTS-MAT ONE YEAR OR LESS	GOLD CONTRACTS-MAT OVER 1 THRU 5 YRS	GOLD CONTRACTS-MAT OVER 5 YEARS	OTH PRECS METL-MAT ONE YEAR OR LESS	OTH PRECS METL-MAT OVER 1 THRU 5 YRS	OTH PRECS METL-MAT OVER 5 YEARS	OTHR COMMODITY-MAT ONE YEAR OR LESS	OTHR COMMODITY-MAT OVER 1 THRU 5 YRS	OTHR COMMODITY-MAT OVER 5 YEARS	EQUITY CONTRCT-MAT ONE YEAR OR LESS	EQUITY CONTRCT-MAT OVER 1 THRU 5 YRS	EQUITY CONTRCT-MAT OVER 5 YEARS	EQUIV AMT OF OFF-B/S DERIVATIVES	NET UNREAL LOSS ON AFS EQTY SEC	EXCESS ALLOWANCE FOR LN&LEASE LOSSES	RISK-WEIGHTED ASSETS	AVG TOT ASSET NET DEDUCTIONS	AMT OF RETAINED RECOURSE ON SBO'S	ADJSTMNT TO TOTL RSK-BASED CPTL	ADJUSTMENT TO RWA	ADJUSTMENT TO AVERAGE TOTAL ASSETS	FED FNDS SLD&SECS PRCHD UDR AGMT-100	LOANS & LEASES, NET UNEARNED INCOME	RECOURSE & DIRECT CRD SUBS-FACE VALU	RECOURSE&DIRCT CRDT SUBS-CRDT EQ AMT	RECOURSE&DIRECT CRDT SUBSTITS-100%	FINCL STANDBY LTTRS OF CRD-FACE VALU	FINCL STANDBY LETTRS OF CRD-EQVL AMT	FINANCIAL STANDBY LETTRS OF CRDIT-0%	FINANCIAL STANDBY LETTRS OF CRDT-20%	FIANCIAL STANDBY LETTRS OF CRDIT-50%	FINANCIAL STANDBY LETTRS OF CRD-100%	NONQUALIFYING PERPETUAL PREFER STOCK	QUALIFYING MINORITY INT CONSOL SUBS	DISALLOWD GOODWILL&OTH INTANG ASSETS	DISALLOWD SERVICING ASSETS & PCCR'S	OTHER ADDITIONS(DEDUCT) FROM TIER1	CUMULATIVE PERPETUAL PREFERRED STOCK	OTHER TIER 2 CAPITAL COMPONENTS	DEDUCTIONS FOR TOTL RISK-BASED CAPTL	OTHR DEDUCT FR ASSETS FOR LEVRGE CAP	CASH & BAL DUE FROM DI'S: 0% RSK-WGT	CASH & BAL DUE FROM DI'S: 20% RSK-WT	CASH & BAL DUE FROM DI'S:100% RSK-WT	H-T-M SECURITIES-NOT SUBJECT RSK-WT	HELD-TO-MATUR SECURITIES: 0% RSK-WGT	HELD-TO-MATUR SECURITIES: 20%RSK-WGT	HELD-TO-MATUR SECURITIES: 50%RSK-WGT	HELD-TO-MATUR SECURITIES:100%RSK-WGT	A-F-S SECURITES - NOT SUBJECT RSK-WT	AVAIL-FOR-SALE SECUR: 0% RISK-WGT	AVAIL-FOR-SALE SECUR: 20% RISK-WGT	AVAIL-FOR-SALE SECUR: 50% RISK-WGT	AVAIL-FOR-SALE SECUR: 100% RISK-WGT	LOANS&LEASES H-F-S: NOT SUBJ RSK-WGT	LOANS & LEASES H-F-S: 0% RISK-WEIGHT	LOANS & LEASES H-F-S: 20% RISK-WGT	LOANS & LEASES H-F-S:-50% RISK-WGT	LOANS & LEASES H-F-S: 100% RISK-WGT	LOANS & LEASES,NET: NOT SUBJ RSK-WGT	LOANS & LEASES, NET: 0% RISK-WEIGHT	LOANS & LEASES, NET: 20% RISK-WEIGHT	LOANS & LEASES, NET: 50% RISK-WEIGHT	LOANS & LEASES,NET: 100% RISK-WEIGHT	TRADING ASSETS: NOT SUBJ RISK-WGT	TRADING ASSETS: 0% RISK-WEIGHT	TRADING ASSETS: 20% RISK-WEIGHT	TRADING ASSETS: 50% RISK-WEIGHT	TRADING ASSETS: 100% RISK-WEIGHT	OTHER ASSETS - TOTALS	OTHER ASSETS - NOT SUBJ RISK-WGT	OTHER ASSETS: 0% RISK-WEIGHT	OTHER ASSETS: 20% RISK-WEIGHT	OTHER ASSETS: 50% RISK-WEIGHT	TOTAL ASSETS: NOT SUBJ RISK-WGT	PERFORM STANDBY LETRS OF CRDT-EQUIV	PERFORM STANDBY LETRS OF CRDT-0% R/W	PERFORM STANDBY LETRS OF CRDT-20%R/W	PERFORM STANDBY LETRS OF CRDT-50%R/W	PERFORM STANDBY LETRS OF CRDT-100%	CMMRCL&SIMILAR LETTRS OF CRDT-EQUIVL	COMMERCIAL &SIM LETRS OF CRDT-0%	COMMERCIAL &SIM LETRS OF CRDT-20%	COMMERCIAL &SIM LETRS OF CRDT-50%	COMMERCIAL &SIM LETRS OF CRDT-100%	RSK PARTICPTNS IN BKRS ACCPTNCS-EQVL	RISK PARTIC IN BKRS ACCEPT - 0%	RISK PARTIC IN BKRS ACCEPT - 20%	RISK PARTIC IN BKRS ACCEPT - 100%	SECURITIES LENT-CREDIT EQUIVALNT AMT	SECURITIES LENT - 0%	SECURITIES LENT - 20%	SECURITIES LENT - 50%	SECURITIES LENT - 100%	RECOURSE ON SMALL BUS OBLIG - EQUIV	RECOURSE ON SMALL BUS OBLIG - 0%	RECOURSE ON SMALL BUS OBLIG - 20%	RECOURSE ON SMALL BUS OBLIG - 50%	RECOURSE ON SMALL BUS OBLIG - 100%	OTHR FNCL ASSETS SOLD W/RECRS ($AMT)	OTHR FNCL ASSETS SOLD W/RECRS (EQUIV	OTHR FNCL ASSETS SOLD W/RECRS-0%	OTHR FNCL ASSETS SOLD W/RECRS-20%	OTHR FNCL ASSETS SOLD W/RECRS-50%	OTHR FNCL ASSETS SOLD W/RECRS-100%	ALL OTH OFF-BALNCE SHEET LIABILITIES	ALL OTH OFF-BAL SHEET LIABS-CDT EQVL	ALL OTH OFF-BAL SHEET LIABILITIES-0%	ALL OTH OFF-BAL SHEET LIABILTIES-20%	ALL OTH OFF-BAL SHEET LIABILTIES-50%	ALL OTH OFF-BAL SHEET LIABLTIES-100%	CMMTMNTS W/AN ORGNL MAT,ETC-CRD EQVL	CMMTMTS W/AN ORGNL MAT EXCDNG 1YR-0%	CMMTMNTS W/AN ORGNL MAT EXCD 1YR-20%	CMMTMTS W/AN ORGNL MAT EXCDG 1YR-50%	CMMTMTS W/AN ORGNL MAT EXCD 1YR-100%	DERIVATIVE CONTRACTS - 0%	DERIVATIVE CONTRACTS - 20%	DERIVATIVE CONTRACTS - 50%	TOT ASSTS,DERVTVS,&OFF-BAL SHT-0%	TOT ASSTS,DERVTVS,&OFF-BAL SHT - 20%	TOT ASTS,DERVTVS,&OFF-BAL SHT - 50%	TOT ASTS,DERVTVS,&OFF-BAL SHT - 100%	RSK-WGHTD ASTS BY RSK WGHT CTGRY-0%	RSK-WGHTD ASTS BY RSK WGHT CTRY-20%	RSK-WGHTD ASTS BY RSK WGHT CTGRY-50%	RSK-WGHTD ASTS BY RSK WGH CTGRY-100%	RSK-WGHTD ASTS BEFORE DEDCTNS - 100%	FED FNDS SLD&SECS PRCHD UDR AGRMT-0%	FED FNDS SLD&SECS PRCHD UDR AGRMT-20	FED FDS SLD&SECS PURC UDR AGRMTS,ETC	SUBTOTAL	ADJMNT TO TIER 1 CPTL	CSH&BALS DU FRM DEP INSTITS-ITMS NT 	CR DERVT CNTRTS:INVMT GRADE-1 YR OR 	CR DERIVT CNTRTS:INVMT GRADE-OVR 1-5	CR DERVT CNTRTS:INVMT GRADE-OVER 5 Y	CRD DERIVT CNTRTS:SUBINVMT GRADE-1 Y	CR DRVTS CNTRTS:SUBINVMT GRD-OVR 1-5	CR DERIV CNTRTS:SUBINVMT GRADE-OVR 5	CASH AND DUE FROM DEPOSITORIES	TIER 3 CPTL ALLOCATD FOR MARKET RISK	MARKET RISK EQUIVALENT ASSETS	HELD-TO-MATURITY SECURITIES	AVAILABLE-FOR-SALE SECURITIES	TOTAL ASSETS	UNREALIZED GAINS ON A-F-S EQUITY SEC	ALLL_AMT	ALLOCATED TRANSFER RISK RESERVES	TOTAL EQUITY CAPITAL	QTLY AVG OF TOTAL ASSETS	COMMERCIAL LETTERS OF CREDIT	PART IN ACCEPT ACQ BY NONACCEPT BK	COMMIT&CONTINGENCIES/SECURITIES LENT	TOTAL TRADING ASSETS	TOTAL RISK-BASED CAPITAL	INT RATE CONTRACTS-MAT 1 YR OR LESS	FGN EXCHG RATE CONTRACTS-MAT 1 YR OR	PERFORMANCE STANDBY LETTERS OF CR	UNUSED COMMITMENTS MAT EXCEED 1 YEAR	ACCMLTD NT GN(LOSS) ON CSH FLW HDGS	QUALIFYING SUBORDINATED DEBT	ALLL INCLUDIBLE IN TIER2 CAPITAL	TIER 2 (SUPPLEMENTARY) CAPITAL	TOTAL ASSETS (0% RISK-WEIGHT)	TOTAL ASSETS (20% RISK-WEIGHT)	TOTAL ASSETS (50% RISK-WEIGHT)	ALL OTHER ASSETS (100% RISK-WEIGHT)	TOTAL ASSETS (100% RISK-WEIGHT)	LOANS AND LEASES HELD FOR SALE	DEFRD TAX ASSETS DISALWD FOR REGLTRY	TIER 1 LEVERAGE CAPITAL RATIO	TOTAL RISK-BASED CAPITAL RATIO	TIER 1 RISK-BASED CAPITAL RATIO	TIER 1 LEVERAGE RATIO	TIER 1 RISK-BASED CAPITAL RATIO	TOTAL RISK-BASED CAPITAL RATIO	TIER 1 CPTL ALLWBL UNDR RISK-BASED	TIER 2 CPTL ALLWBL UNDR RISK-BASED	NET UNRELZD HLDG GAINS(LOSS) ON AVL	NET CURRENT CREDIT EXPOSURE	INT RATE CONTRCTS-MAT OVER1THRU5 YRS	INT RATE CONTRCTS-MAT OVER 5 YEARS	FGN EXCHG RATE CNTRCS-MAT OVR1-5 YRS	FGN EXCHG RATE CNTRCS-MAT OVER 5 YRS	GOLD CONTRACTS-MAT ONE YEAR OR LESS	GOLD CONTRACTS-MAT OVER 1 THRU 5 YRS	GOLD CONTRACTS-MAT OVER 5 YEARS	OTH PRECS METL-MAT ONE YEAR OR LESS	OTH PRECS METL-MAT OVER 1 THRU 5 YRS	OTH PRECS METL-MAT OVER 5 YEARS	OTHR COMMODITY-MAT ONE YEAR OR LESS	OTHR COMMODITY-MAT OVER 1 THRU 5 YRS	OTHR COMMODITY-MAT OVER 5 YEARS	EQUITY CONTRCT-MAT ONE YEAR OR LESS	
37																																																																																																																																																																																										1855	0	0	0	27432	81127	0	1010	0	14270	80255	0	0	0	0	15117	0	0	0	0	0	0	558	558	599	29593	27323	1660	25060	0	0	0.1814	0.3419	0.3292	0	0	0	14559	558	-289	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
242																																																																																																																																																																																										948	0	0	0	8164	30159	0	158	0	3698	29987	0	0	0	0	3964	0	0	0	0	0	0	158	158	0	0	0	764	30425	0	0	0.1269	0.1303	0.1251	0	0	0	3806	158	-108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
279																																																																																																																																																																																										2320	0	0	49476	23374	128733	0	456	0	19332	123673	0	0	0	0	20213	0	0	0	0	0	0	456	456	1095	71808	32737	4556	24197	0	0	0.1598	0.368	0.3597	0	0	0	19757	456	-432	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
354																																																																																																																																																																																										233	0	0	0	3881	8124	0	191	0	936	8127	0	0	0	0	1054	0	0	0	0	0	0	52	52	198	4083	1551	190	2584	0	0	0.1233	0.261	0.2481	0	0	0	1002	52	-66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
439																																																																																																																																																																																										8251	0	0	0	25468	187824	0	1628	0	27743	181808	1065	0	0	0	15204	0	0	0	0	0	0	1606	1606	2265	41333	24351	5744	107834	0	0	0.081175	0.118349	0.105847	0	0	0	13598	1606	-148	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
457																																																																																																																																																																																										316	0	0	1195	460	27685	0	324	0	2635	28284	291	0	0	0	2935	0	0	0	0	0	0	299	299	138	1952	4876	946	21043	0	0	0.0932	0.1228	0.1103	0	0	0	2636	299	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
505																																																																																																																																																																																										6819	0	0	0	83922	319382	0	2364	0	22097	315006	0	0	0	0	24677	0	0	129	22932	0	0	2444	2444	2774	100725	106398	9813	113114	0	0	0.070948	0.126202	0.113703	0	0	0	22233	2444	-1771	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1146																																																																																																																																																																																										27873	0	0	190	68996	482851	0	4239	0	38488	466608	0	0	0	0	48557	22650	0	0	0	0	6000	4239	10239	36742	76971	79712	36441	294361	31350	0	0.08225	0.13848	0.10928	0.08223	0.109239	0.138393	38318	10239	-568	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1155																																																																																																																																																																																										7996	0	0	3507	33504	175531	0	1992	0	12507	173465	0	0	0	0	13573	0	0	0	0	0	0	1666	1666	2869	39103	21841	9386	113216	738	806	0.068963	0.102079	0.08955	0	0	0	11907	1666	-206	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
