"IDRSSD"	RIAD0497	RIAD4042	RIAD4136	RIAD4141	RIAD4146	RIAD4461	RIAD4462	RIAD4463	RIAD4464	RIAD4467	RIAD4468	RIAD4469	RIAD4486	RIAD4487	RIAD4488	RIAD4489	RIAD4491	RIAD4498	RIAD4499	RIAD4521	RIAD4522	RIAD4769	RIAD8403	RIADB526	RIADB527	RIADC013	RIADC014	RIADC015	RIADC016	RIADC017	RIADC018	TEXT4461	TEXT4462	TEXT4463	TEXT4464	TEXT4467	TEXT4468	TEXT4469	TEXT4487	TEXT4489	TEXT4498	TEXT4499	TEXT4521	TEXT4522	TEXT4769	TEXTB526	TEXTB527	
	ADVERTISING & MARKETING EXPENSES	RENT & OTHER INCOME FR OTHR REAL EST	DIRECTORS FEES	LEGAL FEES & EXPENSES	FDIC DEPOSIT INSURANCE ASSESSMENTS	1ST ITEMIZED AMT OV25% OF ITEM 4078	2ND ITEMIZED AMT OV25% OF ITEM 4078	3RD ITEMIZED AMT OV25% OF ITEM 4078	1ST ITEMIZED AMT OV25% OF ITEM 4092	2ND ITEMIZED AMT OV25% OF ITEM 4092	3RD ITEMIZED AMT OV25% OF ITEM 4092	1ST ITEMIZED AMT FOR ITEM 4310	1ST ITEMIZED AMT FOR ITEM 4315	2ND ITEMIZED AMT FOR ITEM 4310	2ND ITEMIZED AMT FOR ITEM 4315	3RD ITEMIZED AMT FOR ITEM 4310	3RD ITEMIZED AMT FOR ITEM 4315	1ST ITMZD TRANSACTIONS OF ITEM 4415	2ND ITMZD TRANSACTIONS OF ITEM 4415	1ST ITEMIZED ADJUSTMTS TO ITEM 4815	2ND ITEMIZED ADJUSTMTS TO ITEM 4815	OTHER EXPLANATIONS	POSTAGE EXPENSE	RESTATEMNTS DUE TO CORRECTIONS (1ST)	RESTATMENTS DUE TO CORRECTIONS (2ND)	INCM&FEES FROM PRNTNG&SALE OF CHECKS	EARNINGS ON CSV OF LIFE INSURANCE	SAFE DEPOSIT BOX RENT	INCM&FEES FRM AUTMTD TELL MACH(ATMS)	DATA PROCESSING EXPENSES	PRINTING, STATIONERY, AND SUPPLIES	1ST ITEMIZED AMT OV25% OF ITEM 4078	2ND ITEMIZED AMT OV25% OF ITEM 4078	3RD ITEMIZED AMT OV25% OF ITEM 4078	1ST ITEMIZED AMT OV25% OF ITEM 4092	2ND ITEMIZED AMT OV25% OF ITEM 4092	3RD ITEMIZED AMT OV25% OF ITEM 4092	1ST ITEMIZED AMT FOR ITEM 4310	2ND ITEMIZED AMT FOR ITEM 4310	3RD ITEMIZED AMT FOR ITEM 4310	1ST ITMZD TRANSACTIONS OF ITEM 4415	2ND ITMZD TRANSACTIONS OF ITEM 4415	1ST ITEMIZED ADJUSTMTS TO ITEM 4815	2ND ITEMIZED ADJUSTMTS TO ITEM 4815	OTHER EXPLANATIONS	RESTATEMNTS DUE TO CORRECTIONS (1ST)	RESTATMENTS DUE TO CORRECTIONS (2ND)	
37	2	0	9	6	2	13	1	2	9	8	8	0	0	0	0	0	0	0	0	0	0	false	9	0	0	2	0	3	3	35	14	EXCHANGE	PENALTY ON CD EARLY W/D	1031 ESCROW FEES	BANK SEC & PROTECTION	CLEARING HOUSE FEES	EXAMINATION & AUDIT FEES											
242	0	0	14	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	5	0	0	0				CORRESPONDENT BANK CHARGES													
279	15	0	24	4	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	16	0	0	5	0	1	14	49	18																	
354	3	0	3	0	0	0	0	0	5	3	1	0	0	0	0	0	0	0	0	0	0	false	1	0	0	0	0	0	0	3	0				Audits	Misc	Dues											
439	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	false	0	0	0	0	0	0	0	0	0												Price balance on 01/23/06		Line 6a. Purchase price adjustment as of 01/23/06 in accordance with push down accounting.			
457	4	0	6	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	5	0	0	0	5				EXAMINATION, ACCOUNTING AND LEGAL FEES													
505	0	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	true	0	0	0	0	0	0	0	176	0				Accounting & audit fees													
1146	333	0	0	0	0	442	2171	3317	0	0	0	0	0	0	0	0	0	0	0	0	0	true	0	0	0	0	0	0	0	229	204	CC INTERCHANGE FEES, CC INCOME, CC SERVICING FEES	DISC GAIN SALE SERV,MISC INCOME	CLOSING FEE, PROC FEE, SEARCH FEE INC, TITLE INS INCOME														
1155	80	1	39	6	4	18	16	0	20	0	0	0	0	0	0	0	0	0	0	0	0	false	22	0	0	6	33	5	29	87	30	Exchange	Secondary Market Loan Origination Fees		Macha & Bank Service Charges													
