"IDRSSD"	RCFD0426	RCFD2130	RCFD2150	RCFD2651	RCFD3164	RCFD3190	RCFD4088	RCFD5372	RCFD5374	RCFD5375	RCFD5507	RCFD6164	RCFD6165	RCFDA590	RCFDB026	RCFDB565	RCFDB566	RCFDB567	RCFDB568	RCFDB569	RCFDB570	RCFDB571	RCFN5513	RCON0426	RCON2130	RCON2150	RCON2651	RCON3164	RCON3190	RCON4088	RCON5372	RCON5374	RCON5375	RCON5507	RCON5508	RCON5509	RCON5510	RCON5511	RCON5512	RCON6164	RCON6165	RCONA590	RCONB026	RCONB565	RCONB566	RCONB567	RCONB568	RCONB569	RCONB570	RCONB571	TEXT4087	
	OTHER IDENTIFIABLE INTANGIBLE ASSETS	INVEST. IN UNCONSOLIDATED SUBS & CO.	OTHER REAL ESTATE OWNED	FHLB ADVANCES MATURING <= 1 YEAR	MORTGAGE SERVICING ASSETS	OTHER BORROWED MONEY	IS CU WEB SITE INTERACTIVE?	DIRECT&INDIRECT INVEST IN RE VENTURE	DIRECT&INDIRECT INVEST IN RE VENTURE	ALL OTHR INVEST IN UNCONSLDTD SUBS	ALL OTHR IDENTIFIABLE INTANGBL ASSET	AGGREG AKT OF EXT OF CREDIT TO EXECS	NBR OF EXEC OFFCRSEPRIN SHAREHOLDERS	ESTMTD FAIR VAL OF MTG SERVNG ASSETS	PURCD CRD CD RLSHPS&NONMTG SRVG ASTS	FHLB ADVANCES: MATURING 1-3 YEARS	FHLB ADVANCES: MATURING > 3 YEARS	OTHER BORROWINGS MATURING 1-3 YEARS	OTHER BORROWINGS MATURING > 3 YEARS	DOES RPRTNG BANK SELL MUTUAL FUNDS?	ASSETS MANAGED: MUTUAL FUNDS&ANNUITY	OTHER BORR0WINGS MATURING <= 1 YEAR	ALL OTHR RE OWNED IN FOREIGN OFFICES	OTHER IDENTIFIABLE INTANGIBLE ASSETS	INVEST. IN UNCONSOLIDATED SUBS & CO.	OTHER REAL ESTATE OWNED	FHLB ADVANCES MATURING <= 1 YEAR	MORTGAGE SERVICING ASSETS	OTHER BORROWED MONEY	IS CU WEB SITE INTERACTIVE?	DIRECT&INDIRECT INVEST IN RE VENTURE	DIRECT&INDIRECT INVEST IN RE VENTURE	ALL OTHR INVEST IN UNCONSLDTD SUBS	ALL OTHR IDENTIFIABLE INTANGBL ASSET	CONSTRCTN&LAND DEVLPMNT IN DOMS OFFC	FARMLAND IN DOMESTIC OFFICES	1-4 FMLY RESDTL PROPTS IN DOMS OFFCS	MULTIFMLY RESDTL PROPTS IN DOMS OFFC	NONFRM NONRESDTL PROPTS IN DOMS OFFC	AGGREG AKT OF EXT OF CREDIT TO EXECS	NBR OF EXEC OFFCRSEPRIN SHAREHOLDERS	ESTMTD FAIR VAL OF MTG SERVNG ASSETS	PURCD CRD CD RLSHPS&NONMTG SRVG ASTS	FHLB ADVANCES: MATURING 1-3 YEARS	FHLB ADVANCES: MATURING > 3 YEARS	OTHER BORROWINGS MATURING 1-3 YEARS	OTHER BORROWINGS MATURING > 3 YEARS	DOES RPRTNG BANK SELL MUTUAL FUNDS?	ASSETS MANAGED: MUTUAL FUNDS&ANNUITY	OTHER BORR0WINGS MATURING <= 1 YEAR	URL	
37																								0	0	245	0	0	0	false	0	0	0	0	0	175	34	0	36	308	0	0	0	0	0	0	0	false	0	0		
242																								0	0	0	200	0	1632	false	0	0	0	0	0	0	0	0	0	419	1	0	0	1132	300	0	0	true	0	0		
279																								59	241	0	7250	59	31488	false	0	0	241	0	0	0	0	0	0	125	0	59	0	2000	22238	0	0	false	0	0		
354																								0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	318	1	0	0	0	0	0	0	false	0	0		
439																								2991	0	80	0	0	0	false	0	0	0	2991	0	0	80	0	0	2175	1	0	0	0	0	0	0	false	0	0		
457																								0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	419	1	0	0	0	0	0	0	false	0	0		
505																								148	0	0	12500	99	16500	true	0	0	0	49	0	0	0	0	0	3005	2	99	0	0	4000	0	0	true	0	0		
1146																								582	0	979	0	5	12190	true	0	0	0	577	0	0	943	0	36	1296	1	5	0	0	12190	0	0	true	0	0		
1155																								0	0	72	0	0	3000	true	0	0	0	0	0	72	0	0	0	5315	5	0	0	0	3000	0	0	true	0	0		
1351																								0	0	169	0	0	0	false	0	0	0	0	0	0	36	0	133	344	0	0	0	0	0	0	0	false	0	0		
