"IDRSSD"	RCFD2930	RCFD2932	RCFD2938	RCFD3049	RCFD3066	RCFD3552	RCFD3553	RCFD3554	RCFD3646	RCFDB557	RCFDC011	RCFDC012	RCON2930	RCON2932	RCON2938	RCON3049	RCON3066	RCON3552	RCON3553	RCON3554	RCON3645	RCON3646	RCONB557	RCONC011	RCONC012	TEXT3552	TEXT3553	TEXT3554	
	OTHER LIABILITIES, TOTAL	DIVIDENDS DECLARED BUT NOT YET PAYAB	ALL OTHER LIABILITIES	NET DEFERRED TAX LIABILITIES	ACCOUNTS PAYABLE	1ST ITM AMT FOR OTH LB OV25% OF 2930	2ND ITM AMT FOR OTH LB OV25% OF 2930	3RD ITM AMT FOR OTH LB OV25% OF 2930	OTHER EXPENSES ACCRUED & UNPAID	ALL0WANCE FOR CREDIT LOSSES OFF B/S	DEFERRED COMPENSATION LIABILITIES	DERIVATATIVES W/NEGATIVE FAIR VALUE	OTHER LIABILITIES, TOTAL	DIVIDENDS DECLARED BUT NOT YET PAYAB	ALL OTHER LIABILITIES	NET DEFERRED TAX LIABILITIES	ACCOUNTS PAYABLE	1ST ITM AMT FOR OTH LB OV25% OF 2930	2ND ITM AMT FOR OTH LB OV25% OF 2930	3RD ITM AMT FOR OTH LB OV25% OF 2930	INTEREST ACCRUED & UNPAID ON DEPS	OTHER EXPENSES ACCRUED & UNPAID	ALL0WANCE FOR CREDIT LOSSES OFF B/S	DEFERRED COMPENSATION LIABILITIES	DERIVATATIVES W/NEGATIVE FAIR VALUE	1ST ITM AMT FOR OTH LB OV25% OF 2930	2ND ITM AMT FOR OTH LB OV25% OF 2930	3RD ITM AMT FOR OTH LB OV25% OF 2930	
37													429	0	141	0	0	0	0	0	210	78	0	129	0				
242													42	0	0	0	0	0	0	0	42	0	0	0	0				
279													655	0	157	95	0	0	0	0	131	272	0	80	0				
354													25	0	0	0	0	0	0	0	21	4	0	0	0				
457													191	0	0	0	0	0	0	0	54	137	0	0	0				
505													5114	0	2825	0	0	886	1775	0	433	1775	81	0	0	Deferred service fee-FCC	NYSBA pension payable		
1155													1864	0	1133	0	0	0	0	0	403	328	0	1103	0				
1351													738	0	0	0	0	0	0	0	533	205	0	0	0				
1454													1134	0	723	0	216	0	0	0	187	224	0	507	0				
1557													528	0	12	456	0	0	0	0	60	0	0	0	0				
1632													5190	0	388	0	0	0	0	0	3635	1147	20	232	0				
1669													978	0	268	0	0	0	0	0	442	268	0	131	0				
1829													1911	0	254	0	221	0	0	0	1133	524	0	0	0				
1856													247	0	11	0	11	0	0	0	236	0	0	0	0				
2040													2018	0	128	0	0	52	0	0	477	1413	0	0	0	Debit Card Settlement			
2161													1553	0	837	300	0	0	0	0	139	277	0	837	0				
2376													27459	0	6365	0	254	0	0	0	213	20881	0	4968	0				
2451													227	0	8	0	0	0	0	0	58	161	0	0	0				
2554													48	0	0	0	0	0	0	0	48	0	0	0	0				
2732													6656	232	3133	3	12	2597	0	0	1559	1961	0	34	0	Reverse Stock Split Payable to Shareholder			
2750													420	0	154	0	0	0	0	0	98	168	0	154	0				
2938													3398	0	170	0	0	64	0	0	2245	928	55	0	0	Deferred Letter of Credit Fees			
3252													374	0	0	0	0	0	0	0	240	134	0	0	0				
3458													195	0	0	130	0	0	0	0	34	31	0	0	0				
3720													1504	0	0	0	0	0	0	0	222	1282	0	0	0				
3953													980	0	835	0	0	0	0	0	53	92	0	835	0				
4138													339	0	81	0	0	0	0	0	178	74	6	0	0				
4156													1170	0	637	58	375	0	0	0	475	0	0	0	0				
4231													1014	0	0	0	0	0	0	0	694	320	0	0	0				
4437													1131	0	484	0	0	333	0	0	202	445	0	0	0	Post retirement obligation			
4839													1648	0	0	0	0	0	0	0	677	971	0	0	0				
5005													4169	0	1141	0	747	0	0	0	2	3026	0	393	0				
5069													7831	0	1009	0	797	0	0	0	2875	3747	200	0	0				
5135													857	0	210	0	0	0	0	0	315	332	0	209	0				
5210													10337	0	6845	0	0	3453	0	0	2487	1005	0	0	0	Minimum Pension Liability			
5331													2781	0	125	0	0	125	0	0	229	2427	0	0	0	rental security deposits payable to subsidiary			
5461													2801	0	1285	0	0	0	0	0	45	1421	50	1155	0				
5751													634	0	375	56	0	310	0	0	99	104	0	65	0	Post Retirement Benefit Costs			
6039													503	0	0	0	0	0	0	0	384	119	0	0	0				
6141													208	0	0	0	0	0	0	0	176	32	0	0	0				
6329													3191	0	1692	0	310	0	0	0	1200	299	0	1120	0				
6972													11564	0	8335	0	0	0	0	0	609	2220	400	7332	0				
7009													6558	0	1474	27	0	0	0	0	93	4964	0	0	1474				
7045													476	0	0	180	0	0	0	0	134	162	0	0	0				
7157													586	0	0	84	0	0	0	0	162	340	0	0	0				
7456													139	0	0	0	0	0	0	0	83	56	0	0	0				
7634													202	0	0	0	0	0	0	0	158	44	0	0	0				
8033													1501	0	980	207	44	0	0	0	246	68	0	936	0				
8462													310	0	0	0	0	0	0	0	233	77	0	0	0				
8631													286	0	181	0	0	0	0	0	70	35	0	180	0				
9357													1800	0	2	0	0	0	0	0	11	1787	0	0	0				
9553													1040	0	0	558	0	0	0	0	98	384	0	0	0				
9807													11950	0	781	0	0	540	0	0	7774	1895	1500	0	0	REVERSE MORTGAGE INSURANCE			
9955													201	0	0	34	0	0	0	0	95	72	0	0	0				
10157													112	0	53	0	43	0	0	0	58	1	0	0	0				
10250													1811	156	478	0	0	0	0	0	1046	287	0	204	0				
10849													524	0	114	0	43	0	0	0	255	155	0	0	0				
10858													4276	0	628	0	628	0	0	0	492	3120	36	0	0				
11145													603	0	0	0	0	0	0	0	145	458	0	0	0				
11640													3020	0	707	0	0	0	0	0	925	1388	0	707	0				
11837													493	0	20	0	0	0	0	0	74	399	0	0	0				
12030													1883	0	944	0	521	0	0	0	922	17	0	0	0				
12142													2096	0	1424	91	0	0	0	0	518	63	0	998	0				
12245													1071	0	0	328	0	0	0	0	254	489	0	0	0				
12311	650093	0	351335	0	94930	0	0	0	175254	50143	0	0									73361								
12647													522	0	0	0	0	0	0	0	303	219	0	0	0				
12656													58	0	0	0	0	0	0	0	42	16	0	0	0				
12937													1529	0	195	791	134	0	0	0	352	191	0	0	0				
12946													6373	0	4930	0	0	0	0	0	581	862	0	4220	0				
12955													415	0	26	0	0	0	0	0	152	237	0	0	0				
13037													636	0	253	0	0	0	0	0	218	165	0	253	0				
13103													13995	0	10303	0	0	9333	0	0	637	3055	0	0	0	ACCRUED PENSION			
13251													129	0	46	0	0	0	0	0	83	0	0	0	0				
13457													31	0	0	14	0	0	0	0	17	0	0	0	0				
14052													288	0	29	56	0	0	0	0	124	79	0	0	0				
14155													803	0	227	0	3	13	51	0	221	355	0	160	0	CDARS Incoming ratebridge	FDIC Special Assessment		
14454													128	0	15	0	0	0	0	0	93	20	0	0	0				
14650													343	0	152	0	0	0	0	0	10	181	0	152	0				
14753													493	0	0	311	0	0	0	0	161	21	0	0	0				
14865													1123	0	801	0	0	0	0	0	211	86	25	675	0				
14977													207	0	13	0	0	0	0	0	93	101	0	13	0				
15536													34361	0	7594	0	295	0	0	0	14272	11100	1395	0	0				
16337													3505	0	34	0	0	29	0	0	828	2643	0	0	0	Accumulated post-retirement benefit obligation			
