"IDRSSD"	RIAD0497	RIAD4042	RIAD4136	RIAD4141	RIAD4146	RIAD4461	RIAD4462	RIAD4463	RIAD4464	RIAD4467	RIAD4468	RIAD4469	RIAD4486	RIAD4487	RIAD4488	RIAD4489	RIAD4491	RIAD4498	RIAD4499	RIAD4521	RIAD4522	RIAD4769	RIAD8403	RIADB527	RIADC013	RIADC014	RIADC015	RIADC016	RIADC017	RIADC018	RIADF229	RIADF465	RIADF555	RIADF556	RIADF557	RIADF558	RIADF559	TEXT4461	TEXT4462	TEXT4463	TEXT4464	TEXT4467	TEXT4468	TEXT4469	TEXT4487	TEXT4489	TEXT4498	TEXT4499	TEXT4521	TEXT4522	TEXT4769	TEXTB527	
	ADVERTISING & MARKETING EXPENSES	RENT & OTHER INCOME FR OTHR REAL EST	DIRECTORS FEES	LEGAL FEES & EXPENSES	FDIC DEPOSIT INSURANCE ASSESSMENTS	1ST ITEMIZED AMT OV25% OF ITEM 4078	2ND ITEMIZED AMT OV25% OF ITEM 4078	3RD ITEMIZED AMT OV25% OF ITEM 4078	1ST ITEMIZED AMT OV25% OF ITEM 4092	2ND ITEMIZED AMT OV25% OF ITEM 4092	3RD ITEMIZED AMT OV25% OF ITEM 4092	1ST ITEMIZED AMT FOR ITEM 4310	1ST ITEMIZED AMT FOR ITEM 4315	2ND ITEMIZED AMT FOR ITEM 4310	2ND ITEMIZED AMT FOR ITEM 4315	3RD ITEMIZED AMT FOR ITEM 4310	3RD ITEMIZED AMT FOR ITEM 4315	1ST ITMZD TRANSACTIONS OF ITEM 4415	2ND ITMZD TRANSACTIONS OF ITEM 4415	1ST ITEMIZED ADJUSTMTS TO ITEM 4815	2ND ITEMIZED ADJUSTMTS TO ITEM 4815	OTHER EXPLANATIONS	POSTAGE EXPENSE	RESTATMENTS DUE TO CORRECTIONS (2ND)	INCM&FEES FROM PRNTNG&SALE OF CHECKS	EARNINGS ON CSV OF LIFE INSURANCE	SAFE DEPOSIT BOX RENT	INCM&FEES FRM AUTMTD TELL MACH(ATMS)	DATA PROCESSING EXPENSES	PRINTING, STATIONERY, AND SUPPLIES	NET CHANGE FAIR VAL UNDR FAIR VAL OP	RESTATMENTS DUE TO CORRECTIONS 1ST	BK CARD CR CARD INTERCHANGE FEE	ACCOUNTING AND AUDITING EXPENSES	CONSULTING AND ADVISORY EXPENSE	ATM AND INTERCHANGE EXP	TELECOMMUNICATIONS EXP	1ST ITEMIZED AMT OV25% OF ITEM 4078	2ND ITEMIZED AMT OV25% OF ITEM 4078	3RD ITEMIZED AMT OV25% OF ITEM 4078	1ST ITEMIZED AMT OV25% OF ITEM 4092	2ND ITEMIZED AMT OV25% OF ITEM 4092	3RD ITEMIZED AMT OV25% OF ITEM 4092	1ST ITEMIZED AMT FOR ITEM 4310	2ND ITEMIZED AMT FOR ITEM 4310	3RD ITEMIZED AMT FOR ITEM 4310	1ST ITMZD TRANSACTIONS OF ITEM 4415	2ND ITMZD TRANSACTIONS OF ITEM 4415	1ST ITEMIZED ADJUSTMTS TO ITEM 4815	2ND ITEMIZED ADJUSTMTS TO ITEM 4815	OTHER EXPLANATIONS	RESTATMENTS DUE TO CORRECTIONS (2ND)	
37	2	0	14	5	2	0	2	12	5	5	0	0	0	0	0	0	0	0	0	0	0	false	9	0	2	0	4	0	23	12	0	0	6	20	0	5	6		cd early wd	exchange	occ bus lic	dues and mem fees											
242	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	BECAUSE OF SMALL SIZE OF OUR BANK, NO INTEREST INCOME ITEM IS INDIVIDUALLY GREATER THAN $25,000.00			BECAUSE OF THE SMALL SIZE OF OUR BANK, NO NONINTEREST EXPENSE ITEM IS INDIVIDUALLY GREATER THAN	$25,000.00											
279	15	0	29	23	2	0	0	0	0	0	0	0	0	0	0	0	0	-101	0	0	0	false	16	0	8	0	1	30	67	14	0	0	0	12	0	0	0										Funded Parent Co. and Holding Co.						
354	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	1	0	0	0	0	0	6	0	0	0	1	0	0	3	0																
457	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																
505	38	0	44	0	0	0	0	0	33	29	0	0	0	0	0	0	0	0	0	0	0	false	32	0	0	0	0	0	173	27	0	0	63	39	0	0	0				debit card processing	online banking expense											
1155	75	0	39	3	4	14	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	false	20	0	5	38	5	15	80	20	0	0	40	18	0	20	14	Exchange			Macha & Bank Service Charges												
1351	5	0	7	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	13	0	0	0	5	16	0	9	0	0	0	2	0	9	0																
1454	141	0	50	34	0	41	0	0	40	54	0	0	0	0	0	0	0	0	0	0	0	false	86	0	25	44	43	0	97	110	0	0	237	0	0	126	30	HUMAN RESOURCES FEE INCOME			LOAN EXPENSE	OCC ASSESSMENT & EXAM FEES											
