"IDRSSD"	RIAD0497	RIAD4042	RIAD4136	RIAD4141	RIAD4146	RIAD4461	RIAD4462	RIAD4463	RIAD4464	RIAD4467	RIAD4468	RIAD4469	RIAD4486	RIAD4487	RIAD4488	RIAD4489	RIAD4491	RIAD4498	RIAD4499	RIAD4521	RIAD4522	RIAD4769	RIAD8403	RIADB526	RIADB527	RIADC013	RIADC014	RIADC015	RIADC016	RIADC017	RIADC018	TEXT4461	TEXT4462	TEXT4463	TEXT4464	TEXT4467	TEXT4468	TEXT4469	TEXT4487	TEXT4489	TEXT4498	TEXT4499	TEXT4521	TEXT4522	TEXT4769	TEXTB526	TEXTB527	
	ADVERTISING & MARKETING EXPENSES	RENT & OTHER INCOME FR OTHR REAL EST	DIRECTORS FEES	LEGAL FEES & EXPENSES	FDIC DEPOSIT INSURANCE ASSESSMENTS	1ST ITEMIZED AMT OV25% OF ITEM 4078	2ND ITEMIZED AMT OV25% OF ITEM 4078	3RD ITEMIZED AMT OV25% OF ITEM 4078	1ST ITEMIZED AMT OV25% OF ITEM 4092	2ND ITEMIZED AMT OV25% OF ITEM 4092	3RD ITEMIZED AMT OV25% OF ITEM 4092	1ST ITEMIZED AMT FOR ITEM 4310	1ST ITEMIZED AMT FOR ITEM 4315	2ND ITEMIZED AMT FOR ITEM 4310	2ND ITEMIZED AMT FOR ITEM 4315	3RD ITEMIZED AMT FOR ITEM 4310	3RD ITEMIZED AMT FOR ITEM 4315	1ST ITMZD TRANSACTIONS OF ITEM 4415	2ND ITMZD TRANSACTIONS OF ITEM 4415	1ST ITEMIZED ADJUSTMTS TO ITEM 4815	2ND ITEMIZED ADJUSTMTS TO ITEM 4815	OTHER EXPLANATIONS	POSTAGE EXPENSE	RESTATEMNTS DUE TO CORRECTIONS (1ST)	RESTATMENTS DUE TO CORRECTIONS (2ND)	INCM&FEES FROM PRNTNG&SALE OF CHECKS	EARNINGS ON CSV OF LIFE INSURANCE	SAFE DEPOSIT BOX RENT	INCM&FEES FRM AUTMTD TELL MACH(ATMS)	DATA PROCESSING EXPENSES	PRINTING, STATIONERY, AND SUPPLIES	1ST ITEMIZED AMT OV25% OF ITEM 4078	2ND ITEMIZED AMT OV25% OF ITEM 4078	3RD ITEMIZED AMT OV25% OF ITEM 4078	1ST ITEMIZED AMT OV25% OF ITEM 4092	2ND ITEMIZED AMT OV25% OF ITEM 4092	3RD ITEMIZED AMT OV25% OF ITEM 4092	1ST ITEMIZED AMT FOR ITEM 4310	2ND ITEMIZED AMT FOR ITEM 4310	3RD ITEMIZED AMT FOR ITEM 4310	1ST ITMZD TRANSACTIONS OF ITEM 4415	2ND ITMZD TRANSACTIONS OF ITEM 4415	1ST ITEMIZED ADJUSTMTS TO ITEM 4815	2ND ITEMIZED ADJUSTMTS TO ITEM 4815	OTHER EXPLANATIONS	RESTATEMNTS DUE TO CORRECTIONS (1ST)	RESTATMENTS DUE TO CORRECTIONS (2ND)	
37	5	0	32	8	7	7	6	0	38	21	14	0	0	0	0	0	0	0	0	0	0	false	24	0	0	7	0	10	0	100	47	EXCHANGE	PENALTY EW CD		ALL OTHER AUDIT FEES	CLEARING HOUSE FEES	BUSINESS LICENSE								CONF			
242	0	0	42	0	0	3	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	false	9	0	0	0	0	7	3	0	0	OTHER			AUDITING										CONF			
279	40	2	73	85	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	37	0	0	14	0	2	3	172	45														CONF			
354	11	0	8	18	3	0	0	0	11	8	7	0	0	0	0	0	0	0	0	0	0	false	2	0	0	0	0	1	0	17	1				Misc.	Insurance	Audits								CONF			
439	0	0	150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	92	0														CONF			
457	16	0	16	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	false	12	0	0	0	14	0	0	0	14				REIMBURSEABLE/REPOSSESSION/FORECLOSURE										CONF			
505	202	0	147	0	0	0	0	0	246	132	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	521	0				Loan servicing expense	Consulting fees									CONF			
1146	1173	0	0	0	0	1675	7925	11432	585	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	1029	604	CC Income & interchange fees	PMC disc gain sale serv & ret serv, misc income	LTC closing fees, doc prep inc, Search fees, Title inc	Telephone										CONF			
1155	241	7	117	11	12	48	109	0	66	0	0	0	0	0	0	0	0	0	0	0	0	false	59	0	0	18	98	13	92	212	71	Exchange	Secondary Market Loan Origination Fees		Macha & Bank Service Charges										CONF			
1351	13	0	18	14	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	true	33	0	0	0	0	9	24	0	20														CONF			
1454	417	0	0	175	0	257	248	0	264	0	0	0	0	0	0	0	0	0	0	0	0	false	225	0	0	0	0	0	0	227	347	VISA DEBIT CARD INCOME	LETTER OF CREDIT FEE INCOME		VISA DEBIT CARD EXPENSE										CONF			
1557	16	0	0	0	0	0	0	0	34	23	17	0	0	0	0	0	0	0	0	0	0	true	17	0	0	0	0	0	0	0	21	0	0	0	CONSULTING FEES	INSURANCE AND SURETY	MAINTENANCE CONTRACT	0	0	0					CONF			
1632	212	0	94	150	28	33	0	0	0	0	0	0	0	0	0	0	0	117	4859	0	0	false	64	0	0	43	0	37	50	848	71	Travelers/Ame express net revenue									Market value stock option appreciation	Capital Infusion from holding co			CONF			
1669	50	0	31	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	69	0	0	0	208	30	47	342	71														CONF			
1829	0	0	0	0	0	0	0	0	203	298	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	476	0				ATM/Debit Card Network Expenses	PA Shares Tax	4585								CONF			
1856	23	0	11	7	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	9	0	0	0	0	1	5	0	21														CONF			
2040	83	0	55	12	12	29	18	61	38	54	25	0	0	0	0	0	0	0	0	0	0	false	27	0	0	9	35	13	34	94	63	Debit card fees	Pulse ATM Network stock sale	Miscellanous fees	Advisory/Auditing	ATM & Debit Card expense	Correspondent Bank Service Charges								CONF			
2161	0	0	0	0	0	0	0	0	192	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	266	0	0	171	0				Deferred Compensation Plan Expense										CONF			
2376	388	371	347	58	78	1446	84	0	181	197	151	0	0	0	0	0	0	0	0	0	0	false	101	0	0	0	450	16	149	799	175	Joint venture income	debit card interchange		Insurance	Audit & exams	Correspondent bank charges								CONF			
