"IDRSSD"	RCFD0010	RCFD1395	RCFD1651	RCFD1754	RCFD1773	RCFD2170	RCFD2221	RCFD3123	RCFD3128	RCFD3210	RCFD3368	RCFD3411	RCFD3429	RCFD3433	RCFD3545	RCFD3792	RCFD3809	RCFD3812	RCFD3821	RCFD3833	RCFD4336	RCFD5306	RCFD5310	RCFD5311	RCFD5320	RCFD5327	RCFD5334	RCFD5339	RCFD5340	RCFD5369	RCFD5610	RCFD7204	RCFD7205	RCFD7206	RCFD7273	RCFD7274	RCFD7275	RCFD8274	RCFD8275	RCFD8434	RCFD8764	RCFD8766	RCFD8767	RCFD8769	RCFD8770	RCFD8771	RCFD8772	RCFD8773	RCFD8774	RCFD8775	RCFD8776	RCFD8777	RCFD8778	RCFD8779	RCFDA000	RCFDA001	RCFDA002	RCFDA167	RCFDA221	RCFDA222	RCFDA223	RCFDA224	RCFDA250	RCFDB503	RCFDB504	RCFDB505	RCFDB520	RCFDB528	RCFDB541	RCFDB542	RCFDB543	RCFDB546	RCFDB547	RCFDB548	RCFDB581	RCFDB582	RCFDB583	RCFDB588	RCFDB589	RCFDB590	RCFDB591	RCFDB592	RCFDB593	RCFDB594	RCFDB595	RCFDB596	RCFDB600	RCFDB601	RCFDB602	RCFDB603	RCFDB604	RCFDB605	RCFDB606	RCFDB607	RCFDB608	RCFDB609	RCFDB610	RCFDB611	RCFDB612	RCFDB617	RCFDB618	RCFDB619	RCFDB620	RCFDB621	RCFDB622	RCFDB623	RCFDB624	RCFDB625	RCFDB626	RCFDB627	RCFDB628	RCFDB629	RCFDB630	RCFDB631	RCFDB639	RCFDB640	RCFDB641	RCFDB642	RCFDB643	RCFDB644	RCFDB650	RCFDB651	RCFDB652	RCFDB653	RCFDB654	RCFDB655	RCFDB656	RCFDB657	RCFDB658	RCFDB659	RCFDB660	RCFDB661	RCFDB662	RCFDB663	RCFDB664	RCFDB665	RCFDB666	RCFDB667	RCFDB668	RCFDB669	RCFDB670	RCFDB671	RCFDB672	RCFDB673	RCFDB675	RCFDB676	RCFDB677	RCFDB678	RCFDB679	RCFDB680	RCFDB681	RCFDB682	RCFDB683	RCFDB684	RCFDB685	RCFDB686	RCFDB687	RCFDB688	RCFDB689	RCFDB690	RCFDB691	RCFDB693	RCFDB694	RCFDB695	RCFDB696	RCFDB697	RCFDB698	RCFDB699	RCFDB700	RCFDB701	RCFDB702	RCFDB703	RCFDB704	RCFDC063	RCFDC064	RCFDC225	RCFDC227	RCFDC228	RCFDC869	RCON0010	RCON1395	RCON1651	RCON1754	RCON1773	RCON2170	RCON2221	RCON3123	RCON3128	RCON3210	RCON3368	RCON3411	RCON3429	RCON3433	RCON3545	RCON3792	RCON3809	RCON3812	RCON3821	RCON3833	RCON4336	RCON5306	RCON5310	RCON5311	RCON5320	RCON5327	RCON5334	RCON5339	RCON5340	RCON5369	RCON5610	RCON7204	RCON7205	RCON7206	RCON7273	RCON7274	RCON7275	RCON8274	RCON8275	RCON8434	RCON8764	RCON8766	RCON8767	RCON8769	RCON8770	RCON8771	RCON8772	RCON8773	RCON8774	RCON8775	RCON8776	RCON8777	RCON8778	RCON8779	RCONA000	RCONA001	RCONA002	RCONA167	RCONA221	RCONA222	RCONA223	
1351												CONF																																																																																																																																																																								2491	0	0	33470	2903	99847	0	744	0	14201	100593	0	0	0	0	15042	0	0	679	2174	0	0	744	744	1594	27714	18747	2044	52633	0	0	0.1421	0.2181	0.2073	0	0	0	14298	744	-97	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	68977	
1454												CONF																																																																																																																																																																								25221	0	0	0	155776	376432	0	1098	0	29749	377087	0	0	0	0	32383	0	0	0	0	0	0	1098	1098	20626	159562	50746	7111	148132	1037	0	0.082983	0.152629	0.147454	0	0	0	31285	1098	-1618	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	212168	
1557												CONF																																																																																																																																																																								1157	0	0	1220	11029	33377	0	381	0	4553	33921	0	0	0	0	4822	0	0	51	1194	0	0	248	248	169	16515	2313	842	14793	0	0	0.1348	0.2442	0.2317	0	0	0	4574	248	-21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	133	19743	
1632												CONF																																																																																																																																																																								9174	0	0	0	27577	444262	0	5528	0	37166	434363	0	0	0	0	42507	0	0	1294	51726	0	0	5217	5217	2146	39912	53617	13544	354317	0	0	0.08585	0.101932	0.089421	0	0	0	37290	5217	-124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	311	417014	
1669												CONF																																																																																																																																																																								11916	0	0	69539	52089	226598	0	1325	0	40605	225217	22	0	0	0	40476	0	0	0	0	0	0	1166	1166	8290	125899	49252	2660	42692	0	0	0.1759	0.4383	0.4257	0	0	0	39310	1166	-494	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	159	92343	
1829												CONF																																																																																																																																																																								7558	0	0	0	116372	314596	630	3203	0	39632	321011	0	0	0	0	41667	0	0	0	11139	0	0	2365	2995	6739	108396	79845	5506	121995	0	0	0.1205	0.2212	0.2053	0	0	0	38672	2995	960	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	838	188390	
1856												CONF																																																																																																																																																																								567	0	0	100881	97557	220297	0	113	0	14503	220539	0	0	0	0	16086	0	0	0	4	0	0	113	113	142	203172	4382	1957	14184	0	0	0.0725	0.2822	0.2802	0	0	0	15973	113	-1568	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	57011	
2040												CONF																																																																																																																																																																								4314	0	0	0	26195	153989	0	1771	0	16104	150738	0	0	0	0	17277	0	0	0	0	0	0	1432	1432	1011	30963	32431	4985	90963	54	0	0.1051	0.1512	0.1387	0	0	0	15845	1432	259	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	339	114254	
2161												CONF																																																																																																																																																																								6931	0	0	99	27701	97589	0	533	0	10304	100178	0	0	0	0	11017	0	0	0	0	0	0	533	533	1391	35712	38433	4081	22859	0	0	0.1047	0.2238	0.213	0	0	0	10484	533	-180	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49218	
2376												CONF																																																																																																																																																																								10157	0	0	363306	83523	1046988	0	6172	0	121407	1035991	0	0	0	0	127105	0	0	0	0	0	0	6172	6172	30843	433900	358904	43414	228964	0	0	0.1168	0.2567	0.2442	0	0	0	120933	6172	-806	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	947	0	495196	
2451												CONF																																																																																																																																																																								1255	0	0	0	0	24766	0	189	0	2505	22602	0	0	0	0	1944	0	0	95	0	0	0	189	189	270	3456	4386	682	16093	0	0	0.0803	0.1017	0.0918	0	0	0	1755	189	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19122	
2554												CONF																																																																																																																																																																								287	0	0	4	2409	7046	0	62	0	698	7206	0	0	0	0	792	0	0	0	0	0	0	54	54	2	3363	213	223	3570	0	0	0.1024	0.1824	0.17	0	0	0	738	54	-40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	4342	
2732												CONF																																																																																																																																																																								17717	0	0	0	70656	514652	0	3376	0	59446	496822	0	0	0	0	61950	0	0	0	0	0	0	3376	3376	32800	96764	97559	10278	290273	23736	0	0.118215	0.170792	0.161485	0	0	0	58574	3376	-465	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	362722	
2750												CONF																																																																																																																																																																								1548	0	0	0	13443	50599	0	549	0	4761	50481	0	0	0	0	5352	0	0	0	0	0	0	424	424	3239	13107	3436	1993	31533	0	0	0.0976	0.1497	0.1378	0	0	0	4928	424	-167	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	125	35755	
2938												CONF																																																																																																																																																																								13246	0	0	0	46452	361995	0	5184	0	27798	357514	0	0	0	0	31820	0	0	1968	40086	0	0	3877	3877	1918	57598	65934	8807	241965	0	0	0.078159	0.103023	0.090471	0	0	0	27943	3877	-145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1307	308862	
2956												CONF																																																																																																																																																																								3769	0	0	0	37840	106851	0	721	0	10079	106053	0	0	0	0	9499	0	0	0	289	0	0	721	721	1308	40005	19457	4439	46059	0	0	0.0836	0.1486	0.1373	0	0	0	8778	721	279	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	63933	
3252												CONF																																																																																																																																																																								10205	0	0	10904	34591	108304	0	970	0	11746	108424	0	0	0	0	12684	0	0	348	271	0	0	754	754	7618	50822	2809	3715	48303	0	0	0.11	0.2111	0.1985	0	0	0	11930	754	-184	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	216	60092	
3458												CONF																																																																																																																																																																								4570	0	0	2669	7416	24725	0	385	0	2424	24238	0	0	0	0	2712	0	0	0	0	0	0	220	220	1451	6765	1466	485	15533	0	0	0.102814	0.15538	0.142775	0	0	0	2492	220	-68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	165	17454	
3506												CONF																																																																																																																																																																								34647	0	0	34183	317539	1552253	0	10159	0	176967	1538409	0	0	0	0	131220	0	0	3802	96388	0	0	10179	10179	19901	370550	228149	62681	889324	0	0	0.081773	0.118806	0.10959	0	0	0	121041	10179	-2247	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1104492	
