"IDRSSD"	RCONC969	RCONC970	RCONC971	RCONC972	RCONC973	RCONC974	RCONC975	RCONC978	RCONF164	RCONF165	RCONG401	RCONG402	RCONG403	RCONG404	RCONG405	RCONG406	RCONG407	RCONG408	RCONG409	RCONG410	RCONG411	RCONG412	RCONG413	RCONG414	RCONG415	RCONG416	RCONG417	RCONG418	RCONG419	RCONG420	RCONG421	RCONG422	RCONG423	RCONG424	RCONG425	RCONG426	RCONG427	RCONG428	RCONG429	RCONG430	RCONG431	RCONG432	RCONG433	RCONG434	RCONG435	RCONG436	RCONG437	RCONG438	RCONG439	RCONG440	RCONG441	RCONG442	RCONG443	RCONG444	RCONG445	RCONG446	RCONG447	RCONG448	RCONG449	RCONG450	RCONG451	RCONG452	RCONG453	RCONG454	RCONG455	RCONG456	RCONG457	RCONG458	RCONG459	RCONG460	RCONG461	RCONG462	TEXT3555	TEXT3556	TEXT3557	TEXT5592	TEXT5593	TEXT5594	TEXT5595	
1557	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																					
1632	0	0	0	0	0	0	0	0	1253	1761	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																					
1669	0	0	0	0	0	0	0	0	0	1252	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																					
1829	0	0	0	0	0	0	0	0	771	3551	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																					
1856	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																					
2040	0	0	0	0	0	0	0	0	46	5247	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																					
2161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																					
2376	0	0	0	0	0	0	0	0	8624	61683	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																					
2451	0	0	0	0	0	0	0	750	0	392	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																					
2554	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																					
2732	0	0	0	0	0	0	0	0	631	8542	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																					
2750	0	0	0	0	0	0	0	0	407	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																					
2938	0	0	0	0	0	0	0	0	3884	1311	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																					
3252	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																					
3458	0	0	0	0	0	0	0	0	0	230	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																					
3720	0	0	0	0	0	0	0	5000	342	2228	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																					
3953	0	0	0	0	0	0	0	0	28	1317	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																					
4138	0	0	0	0	0	0	0	0	587	88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																					
4156	0	0	0	0	0	0	0	0	4523	2042	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																					
4231	0	0	0	0	0	0	0	0	74	418	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																					
4437	0	0	0	0	0	0	0	0	482	3872	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																					
4839	0	0	0	0	0	0	0	0	1976	16376	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																					
5005	0	0	0	0	0	0	0	0	5563	6728	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																					
5069	0	0	0	0	0	0	0	0	226	4876	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																					
5135	0	0	0	0	0	0	0	0	608	4076	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																					
5210	0	0	0	0	0	0	0	0	12315	48625	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																					
5331	0	0	0	0	0	0	0	0	29	2085	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																					
5461	0	0	0	0	0	0	0	0	577	1992	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																					
5751	0	0	0	0	0	0	0	0	0	131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																					
6039	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																					
6141	0	0	0	0	0	0	0	0	71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																					
6329	0	0	0	0	0	0	0	0	3675	5750	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																					
6972	0	0	0	0	0	0	0	0	8418	18598	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																					
7009	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																					
7045	0	0	0	0	0	0	0	0	18	542	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																					
7157	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																					
7456	0	0	0	0	0	0	0	0	102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																					
7634	0	0	0	0	0	0	0	0	0	138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																					
8033	0	0	0	0	0	0	0	0	4571	1016	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																					
8462	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																					
8631	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																					
9357	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																					
9553	0	0	0	0	0	0	0	0	50	530	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																					
9807	0	0	0	0	0	0	0	25000	265841	56293	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																														N/A	N/A	N/A	N/A	N/A	N/A	N/A	
9955	0	0	0	0	0	0	0	0	0	325	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																					
10157	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																					
10250	0	0	0	0	0	0	0	0	1189	8076	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																					
10849	0	0	0	0	0	0	0	0	3739	3749	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																					
10858	0	0	0	0	0	0	0	24950	792	7489	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																					
11145	0	0	0	0	0	0	0	0	146	5597	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																					
11640	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																					
11837	0	0	0	0	0	0	0	0	0	544	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																					
12030	0	0	0	0	0	0	0	0	210	128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																					
12142	0	0	0	0	0	0	0	0	207	3666	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																					
12245	0	0	0	0	0	0	0	0	241	1593	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																					
12311																																																																																
12647	0	0	0	0	0	0	0	0	969	5879	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																					
12656	0	0	0	0	0	0	0	0	61	63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																					
12937	0	0	0	0	0	0	0	0	33	13187	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																					
12946	0	0	0	0	0	0	0	47500	2635	7601	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																					
12955	0	0	0	0	0	0	0	0	1494	954	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																					
13037	0	0	0	0	0	0	0	0	0	950	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																					
13103	0	0	0	0	0	0	0	0	7113	9331	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																					
13251	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																					
13457	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																					
14052	0	0	0	0	0	0	0	0	0	139	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																					
14155	0	0	0	0	0	0	0	7155	325	111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																					
14454	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																					
14650	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																					
14753	0	0	0	0	0	0	0	0	280	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																					
14865	0	0	0	0	0	0	0	0	537	608	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																					
14977	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																					
16337	0	0	0	0	0	0	0	0	1385	2357	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																					
16458	0	0	0	0	0	0	0	0	752	8414	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																					
16551	0	0	0	0	0	0	0	0	1219	2284	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																					
16748	0	0	0	0	0	0	0	0	315	258	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																					
16944	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																					
16953	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																					
17110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																					
17147	0	0	0	0	0	0	0	0	10680	45864	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0								
17259	0	0	0	0	0	0	0	0	114	59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																					
17464	0	0	0	0	0	0	0	0	113	21912	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																					
17950	0	0	0	0	0	0	0	0	1593	2037	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																					
18050	0	0	0	0	0	0	0	0	1995	9924	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																					
18135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																					
18377	0	0	0	0	0	0	0	0	754	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																					
18827	0	0	0	0	0	0	0	0	628	2266	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																					
18836	0	0	0	0	0	0	0	0	808	693	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																					
18854	0	0	0	0	0	0	0	0	2391	2119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																					
18957	0	0	0	0	0	0	0	1400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																					
19356	0	0	0	0	0	0	0	0	479	1345	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																					
19730	0	0	0	0	0	0	0	0	52483	52624	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																					
19936	0	0	0	0	0	0	0	0	4106	4825	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																					
19972	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																					
20053	0	0	0	0	0	0	0	0	303	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																					
20370	0	0	0	0	0	0	0	0	2586	4605	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																					
20512	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																					
20633	0	0	0	0	0	0	0	0	0	2281	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																					
20857	0	0	0	0	0	0	0	0	0	239	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																					
20866	0	0	0	0	0	0	0	0	2060	2220	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																					
21256	0	0	0	0	0	0	0	750	0	301	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																					
21359	0	0	0	0	0	0	0	0	58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																					
21630	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																					
21658	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																					
22048	0	0	0	0	0	0	0	0	454	4043	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																					
22356	0	0	0	0	0	0	0	18855	2491	3062	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																					
22459	0	0	0	0	0	0	0	0	714	819	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																					
22543	0	0	0	0	0	0	0	0	186	3008	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																					
22552	0	0	0	0	0	0	0	0	166	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																					
22730	0	0	0	0	0	0	0	0	187	1340	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																					
22936	0	0	0	0	0	0	0	0	809	3111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																					
22954	0	0	0	0	0	0	0	0	209	220	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																					
23036	0	0	0	0	0	0	0	0	389	3374	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																														Credit Equivalent amount for Interest Rate SWAPS							
23045	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																					
23241	0	0	0	0	0	0	0	0	6453	82910	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																					
23456	0	0	0	0	0	0	0	0	72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																					
23504	0	0	0	0	0	0	0	0	4419	12644	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																					
23540	0	0	0	0	0	0	0	0	0	337	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																					
23643	0	0	0	0	0	0	0	0	1796	224	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																					
23755	0	0	0	0	0	0	0	0	402	428	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																					
23812	0	0	0	0	0	0	0	0	30819	47102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																					
24006	0	0	0	0	0	0	0	0	1159	18513	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																					
24453	0	0	0	0	0	0	0	0	10993	2783	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																					
24659	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																					
24668	0	0	0	0	0	0	0	0	3129	7745	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																					
24855	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																					
24949	0	0	0	0	0	0	0	0	5563	12296	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																					
25357	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																					
25647	0	0	0	0	0	0	0	0	94	447	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																					
26149	0	0	0	0	0	0	0	0	474	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																					
26242	0	0	0	0	0	0	0	0	7789	10752	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																					
26457	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																					
26765	0	0	0	0	0	0	0	0	3409	5420	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																					
26859	0	0	0	0	0	0	0	0	10543	9167	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																					
26916	0	0	0	0	0	0	0	0	11411	3338	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																					
27548	0	0	0	0	0	0	0	0	2864	6470	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																					
27614	0	0	0	0	0	0	0	0	1101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																					
27847	0	0	0	0	0	0	0	0	0	8101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																					
28152	0	0	0	0	0	0	0	0	105	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																					
28255	0	0	0	0	0	0	0	0	440	8074	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																					
28349	0	0	0	0	0	0	0	0	9399	2094	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																					
28406	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																					
28572	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																					
28732	0	0	0	0	0	0	0	0	598	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																					
29104	0	0	0	0	0	0	0	0	6252	27407	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																					
29636	0	0	0	0	0	0	0	0	2173	9522	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																					
29953	0	0	0	0	0	0	0	0	288	1329	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																					
30052	0	0	0	0	0	0	0	0	1284	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																					
30258	0	0	0	0	0	0	0	0	1586	3538	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																					
30418	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																					
30502	0	0	0	0	0	0	0	0	2850	36086	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																					
30650	0	0	0	0	0	0	0	0	442	1295	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																					
30810																																																																																
31134	0	0	0	0	0	0	0	0	0	1273	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																					
31255	0	0	0	0	0	0	0	0	14467	8221	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																					
31657	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																					
31826	0	0	0	0	0	0	0	0	9382	1837	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																					
31835	0	0	0	0	0	0	0	0	0	79	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																					
32234	0	0	0	0	0	0	0	0	457	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																					
32766	0	0	0	0	0	0	0	0	0	131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																					
33147	0	0	0	0	0	0	0	19000	2453	2621	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																					
33259	0	0	0	0	0	0	0	0	1464	27939	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																					
33268	0	0	0	0	0	0	0	0	613	57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																					
33549	0	0	0	0	0	0	0	0	55	271	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																					
33727	0	0	0	0	0	0	0	0	1139	13575	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																					
33754	0	0	0	0	0	0	0	0	536	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																					
33839	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																					
