"IDRSSD"	RIAD3123	RIAD4230	RIAD4605	RIAD5523	RIADB522	RIADC079	RIADC233	RIADC389	RIADC390	RIADC435	
	ALLL_AMT	PROVISION FOR CREDIT LOSSES	RECOVERIES CREDITED TO RESERVES	WRITE DOWN ARISING FRM TRNSFR TO HFS	BEGIN BALANCE (MOST RECENT) IN ALLL	CHRG-OFFS ON ALLWNCE FOR L&L LOSSES	ADJUSTMENTS	SEPARATE VAL ALLOW CRED/FIN CHGS	AMT ALLOW LN&LSE LOSS CC/FIN CHGS	ALLOCATED TRANSFER RISK RESERVE	
37	1022	90	40	0	970	78	0	0	0	0	
242	164	0	7	0	157	0	0	0	0	0	
279	383	7	1	0	381	6	0	0	0	0	
354	222	0	27	0	195	0	0	0	0	0	
439	1610	210	16	0	1419	35	0	0	0	0	
457	234	22	2	0	225	15	0	0	0	0	
505	2230	0	31	0	2243	44	0	0	0	0	
1146	3104	237	50	0	3041	224	0	0	0	0	
1155	1663	240	19	0	1433	29	0	0	0	0	
1351	422	100	4	0	417	99	0	0	0	0	
1454	794	70	17	0	818	111	0	0	0	0	
1557	378	0	18	0	361	1	0	0	0	0	
1632	3193	420	32	0	2775	34	0	0	0	0	
1669	1201	120	57	0	1183	159	0	0	0	0	
1829	1949	480	184	0	2103	818	0	0	0	0	
1856	93	1	0	0	93	1	0	0	0	0	
2040	1580	180	49	0	1558	207	0	0	0	0	
2161	499	3	15	0	504	23	0	0	0	0	
2376	6172	0	0	0	6172	0	0	0	0	0	
2451	187	0	0	0	147	20	60	0	0	0	
2554	58	12	0	0	47	1	0	0	0	0	
2732	3061	150	21	0	3108	218	0	0	0	0	
2750	611	5	44	0	589	27	0	0	0	0	
2938	4386	1032	99	0	3721	466	0	0	0	0	
2956	703	0	1	0	713	11	0	0	0	0	
3252	1114	430	175	0	1322	813	0	0	0	0	
3458	371	0	9	0	362	0	0	0	0	0	
3506	9788	675	60	0	9641	588	0			0	
3579	2203	201	149	0	2228	375	0	0	0	0	
3720	1137	11	4	0	1146	24	0	0	0	0	
3953	1029	200	20	0	823	14	0	0	0	0	
4138	1322	135	5	0	1207	25	0	0	0	0	
4147	396	60	7	0	543	214	0	0	0	0	
4156	1628	465	63	0	1268	83	-85	0	0	0	
4231	749	30	19	0	711	11	0	0	0	0	
