"IDRSSD"	RCFD2930	RCFD2932	RCFD2938	RCFD3049	RCFD3066	RCFD3552	RCFD3553	RCFD3554	RCFD3646	RCFDB557	RCFDC011	RCFDC012	RCON2930	RCON2932	RCON2938	RCON3049	RCON3066	RCON3552	RCON3553	RCON3554	RCON3645	RCON3646	RCONB557	RCONC011	RCONC012	TEXT3552	TEXT3553	TEXT3554	
	OTHER LIABILITIES, TOTAL	DIVIDENDS DECLARED BUT NOT YET PAYAB	ALL OTHER LIABILITIES	NET DEFERRED TAX LIABILITIES	ACCOUNTS PAYABLE	1ST ITM AMT FOR OTH LB OV25% OF 2930	2ND ITM AMT FOR OTH LB OV25% OF 2930	3RD ITM AMT FOR OTH LB OV25% OF 2930	OTHER EXPENSES ACCRUED & UNPAID	ALL0WANCE FOR CREDIT LOSSES OFF B/S	DEFERRED COMPENSATION LIABILITIES	DERIVATATIVES W/NEGATIVE FAIR VALUE	OTHER LIABILITIES, TOTAL	DIVIDENDS DECLARED BUT NOT YET PAYAB	ALL OTHER LIABILITIES	NET DEFERRED TAX LIABILITIES	ACCOUNTS PAYABLE	1ST ITM AMT FOR OTH LB OV25% OF 2930	2ND ITM AMT FOR OTH LB OV25% OF 2930	3RD ITM AMT FOR OTH LB OV25% OF 2930	INTEREST ACCRUED & UNPAID ON DEPS	OTHER EXPENSES ACCRUED & UNPAID	ALL0WANCE FOR CREDIT LOSSES OFF B/S	DEFERRED COMPENSATION LIABILITIES	DERIVATATIVES W/NEGATIVE FAIR VALUE	1ST ITM AMT FOR OTH LB OV25% OF 2930	2ND ITM AMT FOR OTH LB OV25% OF 2930	3RD ITM AMT FOR OTH LB OV25% OF 2930	
37													347	0	0	0	0	0	0	0	269	78	0	0	0				
242													181	0	0	63	0	0	0	0	95	23	0	0	0				
279													290	0	26	106	0	0	0	0	24	134	0	24	0				
354													75	0	0	10	0	0	0	0	65	0	0	0	0				
439													1571	0	212	0	0	0	0	0	1037	322	0	199	0				
457													328	0	0	0	0	0	0	0	74	254	0	0	0				
505													1791	138	176	0	0	0	0	0	1037	578	0	0	0				
1146													4164	0	688	885	0	255	231	0	828	1763	0	0	0	Deferred CC annual fees                                                                                                                                                                          	PMC-Proc loan fees                                                                                                                                                                               		
1155													721	0	0	0	0	0	0	0	636	85	0	0	0				
1351													1532	0	871	0	0	0	0	0	602	59	0	871	0				
1454													787	0	144	87	144	0	0	0	478	78	0	0	0				
1557													516	0	64	278	0	44	0	0	174	0	0	0	0	Reserve for taxes                                                                                                                                                                                			
1632													2465	0	989	0	138	26	0	0	972	504	0	825	0	Deferred Night Bag & Safe Deposit Box Income                                                                                                                                                     			
1669													1484	0	0	152	0	0	0	0	848	484	0	0	0				
1829													2551	0	96	839	0	66	0	0	1100	516	0	0	0	ATM IN PROCESS                                                                                                                                                                                   			
1856													61	0	0	8	0	0	0	0	53	0	0	0	0				
1959													203	0	0	87	0	0	0	0	68	48	0	0	0				
2040													943	0	12	0	0	0	0	0	563	368	0	0	0				
2161													465	0	0	37	0	0	0	0	266	162	0	0	0				
2376													5675	0	581	0	0	0	0	0	2185	2909	0	257	0				
2451													150	0	8	0	0	0	0	0	136	6	0	0	0				
2554													71	0	0	13	0	0	0	0	58	0	0	0	0				
2732													3158	0	53	256	0	27	0	0	1475	1374	0	0	0	city mortgage participation due                                                                                                                                                                  			
2750													301	0	0	0	0	0	0	0	262	39	0	0	0				
2938													3619	0	0	0	0	0	0	0	2263	1356	0	0	0				
2956													701	0	0	58	0	0	0	0	494	149	0	0	0				
3252													852	0	0	152	0	0	0	0	553	147	0	0	0				
3458													117	0	0	32	0	0	0	0	65	20	0	0	0				
3506													6946	0	2132	0	0	718	0	0	1611	3203	0	0	0	Accrued federal taxes payable                                                                                                                                                                    			
3579													2301	0	3	508	2	0	0	0	593	1197	0	0	0				
3720													1205	0	136	0	0	0	0	0	379	690	0	0	0				
3953													360	0	278	0	20	0	0	0	82	0	0	258	0				
4138													551	0	106	0	31	0	0	0	390	55	0	33	0				
4147													727	0	453	0	0	0	0	0	274	0	0	365	0				
4156													1388	0	300	59	0	300	0	0	295	734	0	0	0	Dividends                                                                                                                                                                                        			
4231													650	0	8	0	0	0	0	0	521	121	0	0	0				
4437													969	0	462	0	0	456	0	0	154	353	0	0	0	ACCRUED POST RETIREMENT BENEFITS                                                                                                                                                                 			
4745													80	0	0	6	0	0	0	0	45	29	0	0	0				
