"IDRSSD"	RIAD3123	RIAD4230	RIAD4605	RIAD4635	RIAD4815	RIADB522	
	ALLL_AMT	PROVISION FOR CREDIT LOSSES	RECOVERIES CREDITED TO RESERVES	LOSSES CHARGED TO RESERVE	CHG IN ALLOW FOR LN&LS LOSS/ADJUSTMT	BEGIN BALANCE (MOST RECENT) IN ALLL	
331375	433	5	1	2	0	429	
331544	658	0	5	0	0	653	
331553	195	0	0	0	0	195	
331647	422103	101850	4664	73985	0	389574	
331656	133	0	1	0	0	132	
331713	1185	0	72	29	0	1142	
332055	281	10	5	12	0	278	
332224	1862	134	3	23	0	1748	
332345	62	0	8	2	0	56	
332402	1025	54	11	0	0	960	
332644	60	4	0	4	0	60	
332756	131	0	0	3	0	134	
332907	90624	3720	1587	4048	0	89365	
332970	88	7	0	0	0	81	
333034	2994	175	130	356	716	2329	
333043	232	0	0	0	0	232	
333052	218	0	1	0	0	217	
333203	1752	0	10	50	0	1792	
333249	1140	44	4	6	208	890	
333650	878	0	9	34	0	903	
333856	252	9	5	36	0	274	
333940	296	8	0	7	0	295	
334059	950	40	1	41	0	950	
334255	59	0	0	2	0	61	
334264	260	6	15	1	0	240	
334648	228	0	2	1	0	227	
334657	291	0	0	0	0	291	
334750	888	75	38	118	0	893	
335243	286	3	0	23	0	306	
335346	792	63	13	48	0	764	
335355	545	180	16	93	0	442	
335757	117	0	2	0	0	115	
336071	188	0	0	3	0	191	
336147	785	0	15	3	0	773	
336352	96	0	0	0	0	96	
336361	569	24	31	30	0	544	
336576	1727	44	11	117	0	1789	
336932	6314	350	14	52	0	6002	
336950	113	0	0	0	0	113	
337050	1136	151	20	141	0	1106	
337247	255	0	22	0	0	233	
337340	674	75	2	0	0	597	
337658	390	12	1	12	0	389	
337733	342	110	77	82	0	237	
337966	72	0	0	0	0	72	
338178	487	0	0	0	0	487	
338646	783	102	35	32	0	678	
338758	1811	71	12	47	0	1775	
338851	830	90	5	11	0	746	
338945	156	9	1	1	0	147	
339054	196	0	6	0	0	190	
339353	1025	0	1	10	0	1034	
339456	928	347	41	473	0	1013	
339607	2531	0	27	0	0	2504	
339773	2210	-10	10	0	0	2210	
339858	67500	5578	839	4977	0	66060	
339951	6687	0	129	13	0	6571	
340135	4201	150	81	31	1	4000	
340144	2536	150	0	21	0	2407	
340256	921	25	0	2	0	898	
340443	384	0	1	1	0	384	
340555	381	19	0	0	0	362	
340649	518	9	0	0	0	509	
340742	8260	497	36	393	0	8120	
340751	1117	5	21	3	0	1094	
341310	431	25	1	22	0	427	
341356	833	25	5	2	0	805	
341646	24397	825	350	1714	0	24936	
341851	378	0	0	1	0	379	
341918	1008	8	7	15	0	1008	
341954	161	0	0	1	0	162	
341972	113	30	0	27	0	110	
342054	1152	11	9	24	0	1156	
342175	2947	112	31	33	0	2837	
342362	426	15	5	4	0	410	
342410	2747	60	1	5	0	2691	
342634	65710	2400	1898	4438	0	65850	
342643	1068	114	31	147	0	1070	
342960	4001	1488	54	192	0	2651	
343051	338	23	11	29	0	333	
343248	122	0	0	8	0	130	
343257	293	0	1	2	0	294	
343314	914	14	6	9	0	903	
343341	1231	21	0	0	0	1210	
343556	618	33	0	4	0	589	
343770	64	6	0	0	0	58	
343903	1268	12	2	16	0	1270	
343958	163	10	0	0	0	153	
344236	634	15	2	3	0	620	
344423	68	0	1	3	0	70	
344647	2036	120	21	56	0	1951	
344674	170	-4	1	12	0	185	
344816	1561	282	47	129	0	1361	
344852	217	0	0	0	0	217	
345149	243	12	0	0	0	231	
345158	1445	0	10	29	0	1464	
345309	5078	0	40	12	0	5050	
345345	1296	150	6	47	0	1187	
345747	1530	25	6	9	0	1508	
345756	1385	0	4	0	0	1381	
346566	199	10	2	25	0	212	
346744	274	0	0	1	0	275	
347022	1079	30	3	23	0	1069	
347639	2263	120	220	226	0	2149	
347657	363	80	4	5	0	284	
347956	740	38	1	0	0	701	
348159	326	24	0	0	0	302	
348207	878	100	2	11	-8	795	
348319	736	0	0	11	0	747	
348458	1147	0	9	11	0	1149	
348542	778	0	1	2	0	779	
348551	1994	126	25	53	0	1896	
348720	3035	100	35	31	0	2931	
348748	641	30	7	6	0	610	
349044	2718	67	51	55	0	2655	
349053	41641	1151	718	1874	0	41646	
349129	596	36	2	28	0	586	
349165	649	30	20	0	0	599	
349343	489	23	15	29	0	480	
349370	2169	400	1	90	0	1858	
350433	531	19	5	27	0	534	
350554	891	215	61	521	0	1136	
350657	96	0	6	20	0	110	
350750	426	39	11	21	0	397	
351122	15778	761	662	862	0	15217	
351131	490	141	0	55	0	404	
351207	3024	40	5	41	0	3020	
351355	446	18	0	16	0	444	
351560	1518	90	0	0	0	1428	
351850	997	195	7	78	0	873	
352035	1215	138	7	61	0	1131	
352558	13151	381	233	624	0	13161	
352651	45	0	0	0	0	45	
352745	480	25	13	8	0	450	
352772	14084	905	6	272	0	13445	
352820	405	3	2	3	0	403	
352857	4583	300	36	193	0	4440	
353023	125	1	0	0	0	124	
353069	362	0	7	10	0	365	
353238	892	95	55	88	0	830	
353322	140	6	10	3	0	127	
353359	359	24	0	0	0	335	
353546	264	12	2	0	0	250	
353555	12834	500	630	1173	0	12877	
353724	1013	60	11	59	0	1001	
353751	999	30	1	3	0	971	
353957	821	0	3	0	0	818	
354057	356	20	4	6	0	338	
354132	461	0	0	0	0	461	
354253	332	6	0	0	0	326	
354310	9799	0	145	139	0	9793	
354552	634	9	0	0	0	625	
354851	199	15	0	0	0	184	
354954	363	0	11	0	0	352	
355120	1487	90	4	14	0	1407	
355559	399	15	5	9	0	388	
355737	64	5	1	0	0	58	
355746	520	36	23	58	0	519	
355821	1147	98	3	63	0	1109	
355858	17100	2740	429	4126	0	18057	
356145	105	9	1	8	0	103	
356239	790	45	3	34	0	776	
356350	1398	90	0	1	0	1309	
356659	707	75	16	9	0	625	
356752	432	15	10	23	0	430	
356930	732	15	1	21	0	737	
356949	535	30	30	45	0	520	
357049	1504	38	6	30	0	1490	
357058	1379	20	2	225	0	1582	
357151	680	0	10	54	0	724	
357375	6927	406	685	895	0	6731	
357432	1071	204	10	208	0	1065	
357526	951	30	0	6	0	927	
357553	835	0	26	46	0	855	
357610	2345	45	110	193	0	2383	
357740	1283	38	0	6	0	1251	
357777	605	30	1	27	0	601	
357834	370	-1	1	0	0	370	
357937	919	30	7	125	0	1007	
358112	634	25	5	41	0	645	
358149	110	0	0	0	0	110	
358233	540	20	3	7	0	524	
358448	875	10	40	22	0	847	
358635	9551	795	138	339	0	8957	
358756	310	60	0	15	0	265	
359070	38	0	0	0	0	38	
359324	109	21	2	20	0	106	
359351	334	2	0	4	0	336	
359360	184	4	23	1	0	158	
359548	997	45	11	31	0	972	
359650	127	0	2	8	0	133	
359744	168	0	1	2	0	169	
359838	325	12	7	4	0	310	
359847	765	45	20	29	0	729	
359856	176	0	65	30	0	141	
359959	234	12	2	9	0	229	
360777	101	0	0	0	0	101	
360834	575	21	0	2	0	556	
360843	278	30	15	0	0	233	
360852	8590	2100	175	3553	0	9868	
360955	140	11	0	19	0	148	
361055	3873	245	169	341	0	3800	
361121	396	0	2	77	0	471	
361167	5435	460	140	198	0	5033	
361279	523	23	0	10	0	510	
361354	668	0	26	17	0	659	
361439	1724	91	2	57	0	1688	
361457	673	0	2	11	0	682	
361541	390	38	1	0	0	351	
361653	349	70	82	42	0	239	
362007	23290	0	346	486	0	23430	
362043	34	0	0	0	0	34	
362052	227	15	3	19	0	228	
362155	372	56	6	17	0	327	
362445	161350	15134	5816	20950	0	161350	
362463	1508	288	15	0	0	1205	
362708	2934	0	120	0	0	2814	
362717	3338	120	35	59	0	3242	
362753	514	30	1	15	0	498	
362856	725	2	75	5	0	653	
362940	437	0	0	0	0	437	
363264	615	120	1	1	0	495	
363415	30319	2597	39	739	0	28422	
363442	73	0	0	0	0	73	
363648	477	0	1	10	0	486	
363657	1506	75	18	28	0	1441	
363844	1402	57	13	44	0	1376	
363956	83094	15793	1233	7232	0	73300	
364056	147	0	6	0	0	141	
364131	776	0	12	15	0	779	
364337	364	12	2	30	0	380	
364430	628	45	6	63	0	640	
364449	12999	4400	259	2260	0	10600	
364850	230	3	6	77	0	298	
364971	118	0	0	0	0	118	
365138	3345	473	85	125	0	2912	
365325	13568	0	418	75	0	13225	
365455	476	24	2	2	0	452	
365558	296	0	15	11	0	292	
365651	1084	-30	11	16	0	1119	
365745	411	8	1	6	0	408	
365848	329	45	0	8	0	292	
365941	450	9	0	7	0	448	
365950	236	3	0	0	0	233	
366078	822	75	13	70	0	804	
366238	2477	150	65	90	0	2352	
366247	460	8	1	8	0	459	
366359	566	45	29	44	0	536	
366434	5161	300	15	15	0	4861	
366658	561	56	5	33	0	533	
366667	2340	680	2	276	0	1934	
366854	158	50	0	111	0	219	
367150	392	46	2	20	0	364	
367208	3964	90	8	2	0	3868	
367244	760	0	0	0	0	760	
367431	911	369	24	355	0	873	
367543	1252	30	3	8	0	1227	
367552	109	0	0	0	0	109	
367673	709	34	37	126	0	764	
367851	493	0	13	23	0	503	
367954	564	0	23	22	0	563	
368054	880	0	18	5	0	867	
368111	202	0	144	1037	-17440	18535	
368344	336	0	0	0	0	336	
368429	1251	0	1	0	0	1250	
368447	3325	45	0	4	0	3284	
368522	943	18	3	47	-13	982	
368755	106	9	0	10	0	107	
368933	364	8	9	18	0	365	
368951	1303	0	484	9	0	828	
369257	525	30	4	26	0	517	
369426	134	17	20	33	0	130	
369435	890	33	1	13	0	869	
369453	447	20	8	14	0	433	
369659	1791	75	15	37	0	1738	
370020	961	30	6	3	0	928	
370150	238	9	8	27	0	248	
370338	1364	0	0	0	0	1364	
370347	295	21	1	1	0	274	
370646	560	0	4	7	0	563	
370721	703	107	1	12	0	607	
370730	462	0	1	0	0	461	
370758	191	0	0	0	0	191	
370833	176	0	6	14	0	184	
370954	163	3	2	6	0	164	
371223	468	22	1	4	0	449	
371232	475	21	1	17	0	470	
371353	471	23	1	8	0	455	
371362	1000	36	19	52	0	997	
371559	312	9	2	0	0	301	
371755	483	25	5	16	0	469	
371849	318	0	5	7	0	320	
371858	664	295	4	7	0	372	
371915	589	24	0	539	0	1104	
371924	2017	90	38	95	0	1984	
371942	288	9	1	0	0	278	
372109	0	0	0	0	0	0	
372248	755	45	11	0	0	699	
372257	96	15	3	0	0	78	
372444	486	15	21	61	0	511	
372538	3535	6	26	82	0	3585	
372556	329	0	1	0	0	328	
372640	400	9	41	24	0	374	
372855	533	0	0	0	0	533	
373058	378	9	0	0	0	369	
373115	3424	193	18	175	0	3388	
373553	375	0	136	6	0	245	
373601	629	0	0	0	0	629	
374130	828	15	3	104	0	914	
374149	99558	5962	1948	7910	0	99558	
374354	227	0	0	0	0	227	
374653	3457	479	40	421	0	3359	
374774	724	21	0	0	0	703	
374934	1180	75	3	69	0	1171	
375034	11713	375	59	120	0	11399	
375043	3346	251	14	109	0	3190	
375155	314	3	7	6	0	310	
375409	7969	60	67	12	0	7854	
375502	1611	0	69	3	0	1545	
375566	776	40	1	0	0	735	
375650	103	3	3	3	0	100	
375735	1221	47	15	63	0	1222	
376068	527	0	2	0	0	525	
376125	1321	45	4	9	0	1281	
376237	266	0	4	0	0	262	
376433	657	112	2	11	0	554	
376442	1015	15	1	0	0	999	
376657	387	0	2	0	0	385	
376947	603	30	47	38	0	564	
377506	576	15	36	54	0	579	
377663	233	21	1	16	0	227	
377823	1417	15	8	18	0	1412	
377850	225	0	4	0	0	221	
377908	6124	375	104	17	0	5662	
378026	1092	30	6	24	0	1080	
378044	121	15	0	0	0	106	
378110	170	7	0	4	0	167	
378259	344	35	13	32	0	328	
378549	550	70	4	33	0	509	
378558	817	38	3	38	0	814	
378642	861	27	8	27	0	853	
378651	1328	30	46	1	0	1253	
378950	1555	60	57	45	0	1483	
379050	288	14	11	0	0	263	
379153	289	0	10	57	0	336	
379359	4373	1395	117	1287	0	4148	
379470	441	0	3	0	0	438	
379573	947	15	11	13	0	934	
379649	723	0	3	0	0	720	
379658	56	0	0	0	0	56	
379920	13707	598	109	672	1309	12363	
380038	0	0	0	0	0	0	
380346	196	0	2	28	0	222	
380458	105	54	1	8	0	58	
380533	147	12	0	3	0	138	
380654	556	6	4	34	0	580	
380841	258	6	0	5	0	257	
380944	498	9	0	0	0	489	
381026	292	12	0	0	0	280	
381259	174	15	6	50	0	203	
381334	573	20	25	65	0	593	
381343	4627	-318	487	178	0	4636	
381727	61	10	0	0	0	51	
381754	99	0	0	0	0	99	
381839	602	30	5	28	0	595	
381857	445	15	0	0	0	430	
381950	1019	30	3	12	0	998	
382050	1411	67	4	0	0	1340	
382069	601	31	3	0	0	567	
382256	258	0	11	0	0	247	
382443	558	0	3	0	0	555	
382537	550	77	5	32	0	500	
382649	791	75	19	61	0	758	
382658	514	4	14	6	0	502	
382667	5224	700	16	460	0	4968	
382733	300	0	0	0	0	300	
382742	571	18	3	11	0	561	
382751	552	9	2	6	0	547	
382854	672	114	0	65	0	623	
383253	222	5	2	0	0	215	
383534	2067	117	23	151	0	2078	
384018	2259	0	314	0	0	1945	
384335	777	75	14	1	0	689	
384353	50	0	3	0	0	47	
384540	509	0	49	118	0	578	
384652	2037	225	6	191	0	1997	
384830	474	12	2	24	0	484	
385350	353	15	5	0	0	333	
385547	457	12	3	5	0	447	
385631	158	0	0	0	0	158	
385976	241	6	0	10	0	245	
386049	277	3	0	0	0	274	
386142	406	7	0	5	0	404	
386357	74	6	0	7	0	75	
386432	546	30	25	57	0	548	
386731	673	44	18	43	0	654	
386825	346	12	3	2	0	333	
386852	897	46	0	11	0	862	
387000	5593	300	65	340	0	5568	
387055	177	18	2	2	0	159	
387336	769	0	2	6	0	773	
387345	436	0	2	0	0	434	
387457	234	15	1	170	0	388	
388155	1738	12	5	3	0	1724	
388258	271	85	0	67	0	253	
388557	35	0	0	0	0	35	
388744	1644	96	29	126	0	1645	
388753	211	0	0	0	0	211	
388931	525	44	2	27	0	506	
388940	284	15	1	0	0	268	
389059	352	0	22	2	0	332	
389358	19	0	0	0	0	19	
389657	166	0	13	1	0	154	
389826	95	0	0	0	0	95	
390167	0	0	0	0	0	0	
390336	1675	125	17	138	0	1671	
390457	546	28	1	49	0	566	
390505	6071	110	19	77	0	6019	
390765	548	52	0	0	0	496	
390840	1451	48	7	4	0	1400	
390859	6231	212	70	288	0	6237	
390925	6500	223	69	103	0	6311	
391137	2907	225	39	30	0	2673	
391249	886	60	0	0	0	826	
391418	1369	202	35	254	0	1386	
391557	249	6	1	2	0	244	
391650	837	19	1	3	0	820	
391838	3016	185	6	49	0	2874	
391856	201	3	1	0	0	197	
391959	423	0	0	0	0	423	
391977	1912	45	0	49	0	1916	
392031	408	18	0	3	0	393	
392152	203	0	28	2	0	177	
392228	51630	3292	540	2646	0	50444	
392255	314	15	9	58	0	348	
392358	490	18	50	57	0	479	
392451	262	30	3	18	0	247	
392620	812835	115385	17765	127496	0	807181	
392778	276	-7	6	0	0	277	
392844	103	5	4	0	0	94	
393252	836	0	1	0	0	835	
393355	384	100	15	12	0	281	
393757	468	0	18	3	0	453	
393850	581	55	1	63	0	588	
393953	665	44	4	44	0	661	
394053	517	128	8	155	0	536	
394156	355	0	10	4	0	349	
394259	1887	105	28	14	0	1768	
394352	100	0	2	0	0	98	
394932	179	7	1	5	0	176	
395238	25219	4465	368	5180	0	25566	
395256	366	0	0	0	0	366	
395377	2791	150	29	250	0	2862	
395452	317	0	1	0	0	316	
395555	2704	105	6	104	0	2697	
395836	2337	425	88	715	1655	884	
396057	205	2	1	0	0	203	
396244	2517	1842	328	4	0	351	
396253	521	70	2	26	0	475	
396271	1971	90	0	0	0	1881	
396356	338	67	0	0	0	271	
396879	588	15	0	1	0	574	
396954	393	36	11	13	0	359	
397447	969	72	15	6	0	888	
397456	307	0	5	3	0	305	
397531	4961	525	56	869	0	5249	
397540	4186	500	369	131	0	3448	
397559	81	2	0	0	0	79	
397652	32	3	0	0	0	29	
397755	203	9	1	1	0	194	
397858	400	10	4	14	0	400	
398051	249	3	0	0	0	246	
398248	1241	0	2	4	0	1243	
398350	12167	825	120	903	0	12125	
398631	432	5	10	23	0	440	
398668	0	0	0	0	0	0	
398837	680	21	9	30	0	680	
399067	621	75	22	26	0	550	
399142	10149	765	16	549	0	9917	
399151	462	215	7	154	0	394	
399357	501	60	0	91	0	532	
399517	4002	270	46	193	0	3879	
399656	692	0	3	0	0	689	
399731	407	22	5	0	0	380	
400057	1161	140	10	111	0	1122	
400141	1256	150	32	160	0	1234	
400253	8942	630	36	89	-385	8750	
400356	603	0	51	11	0	563	
400365	1279	125	15	158	0	1297	
400552	125	0	2	0	0	123	
400758	592	41	60	0	0	491	
400767	372	0	10	38	0	400	
400945	1162	14	11	23	0	1160	
401148	4199	169	47	49	0	4032	
401447	191	3	0	1	0	189	
401559	546	0	5	0	0	541	
401755	411	70	2	76	0	415	
401906	2925	60	36	293	0	3122	
401951	111	15	6	38	0	128	
402462	105	0	0	0	0	105	
402837	511	34	9	59	0	527	
402846	203	40	0	40	0	203	
402949	756	30	2	41	0	765	
403058	761	0	0	3	0	764	
403067	1120	0	45	0	0	1075	
403106	1036	63	0	0	0	973	
403151	2907	44	15	31	250	2629	
403254	260	0	1	4	0	263	
403348	359	0	8	1	0	352	
403357	242	3	0	0	0	239	
403441	2923	2545	82	2552	0	2848	
403553	873	0	3	6	0	876	
403656	341	18	11	0	0	312	
403937	240	24	0	10	0	226	
403946	1915	75	3	0	0	1837	
404653	102	0	2	0	0	100	
404747	73104	15031	2899	8630	0	63804	
404774	47	0	0	0	0	47	
404943	588	15	19	53	0	607	
405061	569	0	1	0	0	568	
405641	985	120	10	99	0	954	
405744	2281	90	8	35	0	2218	
405959	8435	300	83	123	0	8175	
406022	1016	45	8	6	0	969	
406059	418	18	20	8	0	388	
406255	604	0	0	0	0	604	
406349	1622	60	10	88	0	1640	
406554	125	0	0	0	0	125	
406666	607	15	16	99	0	675	
406974	1099	0	4	25	0	1120	
407168	524	0	1	6	0	529	
407252	290	6	0	0	0	284	
407373	1981	180	0	0	0	1801	
407506	2805	0	24	23	0	2804	
407645	1083	70	4	8	0	1017	
407850	488	0	0	0	0	488	
408147	287	0	0	0	0	287	
408307	1677	60	2	0	0	1615	
408473	648	57	0	0	0	591	
408642	1453	150	0	0	0	1303	
409265	149	0	13	19	0	155	
409555	759	19	13	24	0	751	
409649	252	0	0	0	0	252	
410056	408	30	0	2	0	380	
410159	143	0	1	0	0	142	
410337	443	20	0	0	0	423	
410560	683	30	8	7	0	652	
410748	1784	50	2	0	0	1732	
410917	1965	60	29	81	0	1957	
410944	237	0	3	5	0	239	
411053	244	0	1	0	0	243	
411062	98	8	4	12	0	98	
411231	600	38	3	7	0	566	
411240	457	-150	9	14	0	612	
411464	1121	390	15	173	0	889	
411512	561	0	10	0	0	551	
411549	275	0	3	3	0	275	
411576	78	0	0	0	0	78	
411624	623	24	4	12	0	607	
411651	630	94	0	101	0	637	
412135	31079	2075	181	745	0	29568	
412153	753	0	2	1	0	752	
412452	114	0	0	0	0	114	
412546	5615	234	53	762	0	6090	
412555	298	0	1	0	0	297	
412667	290	25	0	5	0	270	
412751	5993	300	31	20	0	5682	
412845	1365	0	15	23	0	1373	
413141	9603	1320	48	679	701	8213	
413208	526704	47552	6719	27526	725	499234	
413347	108	0	1	0	0	107	
413543	475	9	1	0	0	465	
413570	197	0	2	3	0	198	
413646	542	90	3	17	0	466	
413730	122	0	0	0	0	122	
413758	676	150	10	5	0	521	
413851	314	0	1	0	0	313	
414102	1073	30	118	138	0	1063	
414652	600	0	8	11	0	603	
414728	125	0	5	0	0	120	
414764	1226	177	9	93	0	1133	
414858	510	90	13	43	0	450	
415051	96	8	0	0	0	88	
415444	170	0	20	21	0	171	
415855	109	0	0	0	0	109	
416245	10103	300	32	58	0	9829	
416339	268	80	2	24	0	210	
416348	2268	120	9	73	0	2212	
416357	163	0	0	0	0	163	
416656	1272	23	17	9	0	1241	
416674	489	0	0	0	0	489	
417149	980	17	3	19	0	979	
417158	442	20	9	15	0	428	
417251	305	0	2	1	0	304	
417448	31876	7445	695	8423	10000	22159	
417626	3000	378	21	399	0	3000	
417635	760	60	3	19	0	716	
417710	236	24	15	0	0	197	
417738	0	294	11	197	-615	507	
417859	1292	135	30	221	0	1348	
417943	1015	45	3	131	0	1098	
417952	380	3	1	29	0	405	
418034	565	5	10	16	0	566	
418100	2381	15	1	21	0	2386	
418249	6270	75	14	13	0	6194	
418342	482	93	1	1	0	389	
418436	93	0	1	0	0	92	
418753	94	0	2	0	0	92	
418847	1541	45	7	20	0	1509	
418856	199	3	1	1	0	196	
419152	12020	850	210	511	38	11433	
419255	531	50	6	84	0	559	
419406	13106	1127	259	1293	0	13013	
419460	906	44	63	30	0	829	
419675	3486	747	87	604	0	3256	
419947	215	8	0	15	0	222	
420233	132	0	3	0	0	129	
420457	3199	225	19	36	0	2991	
420644	494	3	0	0	0	491	
420653	363	10	2	6	-1	358	
420868	4921	240	0	0	0	4681	
420934	127	9	0	1	0	119	
421155	41	0	0	0	0	41	
421203	2536	75	7	49	0	2503	
421445	967	91	27	73	0	922	
421539	1002	288	15	471	0	1170	
421838	845	120	1	72	0	796	
422059	78	0	0	0	0	78	
422116	666	49	16	93	0	694	
422358	312	0	1	4	0	315	
422433	3845	245	44	239	580	3215	
422657	601	0	2	7	0	606	
422750	1261	58	0	18	0	1221	
423065	1208	209	0	284	0	1283	
423159	1139	130	14	82	0	1077	
423355	333209	25130	13485	35966	-1380	331940	
423449	4147	210	186	212	0	3963	
423458	1630	100	37	67	0	1560	
423636	305	15	15	10	0	285	
423739	1207	51	10	0	0	1146	
423841	123	7	0	4	0	120	
424035	4804	120	52	167	0	4799	
424156	1106	40	3	3	0	1066	
424240	1502	0	39	0	0	1463	
424343	346	5	0	0	0	341	
424352	246	6	2	14	0	252	
424437	130	0	0	0	0	130	
424633	313	30	5	50	0	328	
425050	133	0	7	0	0	126	
425108	380	0	1	50	0	429	
425135	1649	0	42	12	0	1619	
425818	942	55	9	80	0	958	
425845	332	15	6	0	0	311	
425911	2283	60	4	3	0	2222	
425957	120	0	5	1	0	116	
425975	726	39	3	8	0	692	
426057	235	0	18	1	0	218	
426141	78	0	0	0	0	78	
426347	161	0	3	10	0	168	
426534	4232	150	2	4	0	4084	
426758	375	25	10	57	0	397	
426945	378	15	25	0	0	338	
427241	894	70	10	25	0	839	
427353	914	45	30	55	0	894	
427447	23532	975	71	735	0	23221	
427456	205	6	1	1	0	199	
427719	60343	14465	345	14740	0	60273	
427858	449	26	3	12	0	432	
427915	1088	22	3	7	0	1070	
427933	1206	92	19	161	0	1256	
427960	285	0	0	16	0	301	
428033	450	15	3	129	0	561	
428060	2077	90	27	51	0	2011	
428462	857	170	6	142	0	823	
428547	1555	120	6	14	0	1443	
428631	792	0	7	1	0	786	
428659	275	0	0	0	0	275	
428752	75493	20011	622	4226	0	59086	
428855	791	70	2	11	0	730	
428958	158	8	2	4	0	152	
429021	1794	45	106	54	0	1697	
429526	5376	300	371	231	0	4936	
429535	323	15	4	7	0	311	
429759	637	10	94	203	0	736	
430036	1261	85	37	34	0	1173	
430054	424	5	1	0	0	418	
430157	659	45	6	2	0	610	
430344	339	0	0	0	0	339	
430670	1887	202	0	167	0	1852	
430858	128	0	2	8	0	134	
431323	791	15	15	29	0	790	
431350	265	20	0	24	0	269	
431743	2791	25	2	4	0	2768	
431846	124	0	0	0	0	124	
431958	123	6	6	5	0	116	
432012	70	0	0	0	0	70	
432058	240	21	0	32	0	252	
432348	120	0	1	7	0	126	
432432	614	28	2	3	0	587	
433158	31	0	3	3	0	31	
433354	511	79	10	32	0	454	
433439	317	30	2	2	0	287	
433505	2030	57	1	11	0	1983	
433550	914	45	94	42	0	817	
433608	5454	-10	411	126	0	5179	
433859	487	-5	5	15	0	502	
433943	1106	54	2	6	0	1056	
434203	1210	104	52	386	0	1440	
434539	892	60	9	46	0	869	
435059	653	40	5	5	0	613	
435152	299	32	0	1	0	268	
435255	738	10	13	0	0	715	
435349	2793	90	9	13	0	2707	
435358	358	15	2	4	0	345	
435451	1053	0	25	18	0	1046	
435666	700	0	8	21	0	713	
435750	1206	80	27	39	0	1138	
436131	1372	81	52	157	60	1336	
436159	7481	1168	80	1061	1558	5736	
436252	785	105	16	52	0	716	
436467	3481	120	0	18	0	3379	
436542	679	10	164	22	0	527	
436711	5165	350	1	2	0	4816	
436739	419	18	0	13	0	414	
436823	1705	75	15	43	0	1658	
436953	1459	90	12	26	0	1383	
436971	1033	60	2	0	0	971	
437044	134	0	14	0	0	120	
437053	1042	148	60	208	0	1042	
437138	439	0	3	22	0	458	
437156	1787	422	75	114	0	1404	
437231	480	17	0	2	0	465	
437455	571	16	0	1	0	556	
437521	39307	8175	388	7630	0	38374	
438050	507	39	22	43	0	489	
438238	3305	140	309	392	0	3248	
438265	240	0	9	43	0	274	
438368	167566	7500	4775	3342	0	158633	
438434	939	0	33	138	0	1044	
438715	3967	20	72	108	0	3983	
439132	1015	45	128	167	0	1009	
439141	223	9	1	3	0	216	
439338	2162	135	9	162	0	2180	
439356	1454	0	45	8	0	1417	
439404	2357	195	20	159	0	2301	
439459	193	0	0	0	0	193	
439730	340	0	2	0	0	338	
439833	1668	45	20	22	0	1625	
439860	246	12	1	4	-4	241	
440110	253	5	10	2	0	240	
440174	400	0	0	0	0	400	
440259	1810	275	10	466	0	1991	
440352	3091	1006	36	854	0	2903	
440446	226	24	3	34	0	233	
440857	153	12	14	0	0	127	
441050	129	0	52	8	0	85	
441078	306	11	4	15	0	306	
441135	211	23	10	26	0	204	
441256	2939	0	49	89	0	2979	
441359	777	45	4	24	0	752	
441434	1347	94	43	86	0	1296	
441630	485	9	6	0	0	470	
442039	1546	45	0	0	0	1501	
442057	41	0	0	0	0	41	
442244	319	3	0	0	0	316	
442253	931	262	107	479	0	1041	
442356	520	23	32	42	0	507	
442534	55	0	0	0	0	55	
442655	263	21	8	29	0	263	
442749	300	0	3	35	0	332	
442758	417	20	2	0	0	395	
442776	1221	20	0	143	0	1344	
442806	1229	28	30	9	0	1180	
443036	4246	8	406	348	0	4180	
443148	393	12	3	7	0	385	
443205	6840	125	384	0	0	6331	
443353	470	9	2	0	0	459	
443447	416	0	0	0	0	416	
443625	679	15	1	41	0	704	
443634	321	20	12	23	0	312	
443951	58	3	0	2	0	57	
444051	391	48	5	36	0	374	
444172	1764	5	4	4	0	1759	
444257	521	60	9	51	0	503	
444350	278	12	1	0	0	265	
444556	395	3	1	0	0	391	
444677	21	0	0	0	0	21	
444958	284	1	1	0	0	282	
445339	388181	23103	3610	35413	0	396881	
445843	171403	3981	3575	11840	-21523	197210	
445852	407	0	7	4	0	404	
445955	1231	245	45	189	0	1130	
446130	525	50	3	22	0	494	
446149	144	11	4	12	0	141	
446336	2999	333	8	243	0	2901	
446877	577	45	1	26	0	557	
447034	763	30	4	32	0	761	
447070	609	30	0	0	0	579	
447100	833	15	20	66	0	864	
447342	1761	-109	89	4	0	1785	
447351	572	60	2	52	0	562	
447557	127	0	0	0	0	127	
447744	508	30	18	46	0	506	
447874	1270	30	8	18	0	1250	
448040	3372	120	36	108	0	3324	
448554	713	45	39	14	0	643	
449038	0	0	0	0	0	0	
449122	47787	3000	1301	3896	0	47382	
449430	844	0	63	71	0	852	
449458	591	69	22	39	0	539	
449832	621	40	18	59	0	622	
449841	593	0	3	43	0	633	
449850	95	0	2	6	0	99	
449926	690	75	20	22	0	617	
449953	884	36	60	64	0	852	
450034	391	100	23	33	0	301	
450632	961	75	18	11	0	879	
450641	3987	30	70	67	0	3954	
450650	86	0	18	0	0	68	
450669	370	0	0	0	-209	579	
450753	225	6	0	0	0	219	
450856	10019	508	18	396	0	9889	
450959	998	33	6	1	0	960	
