"IDRSSD"	RCON9999	RSSD9017	RSSD9050	RSSD9130	RSSD9200	RSSD9220	
	MICR9999REPORT DATE	NM_LGL	ID_FDIC_CERT	CITY	STATE_ABBR_NM	ZIP CODE	
37	20080630	BANK OF HANCOCK COUNTY	10057	SPARTA	GA	31087	
242	20080630	First Community  Bank, Xenia-Flora	3850	Xenia	IL	62899	
279	20080630	MINEOLA COMMUNITY BANK S. S. B.	28868	MINEOLA	TX	75773	
354	20080630	Bison State Bank	14083	Bison	KS	675200328	
457	20080630	LOWRY STATE BANK	10202	LOWRY	MN	563490123	
505	20080630	BALLSTON SPA NATIONAL BANK	6959	BALLSTON SPA	NY	12020	
1155	20080630	FIRST STATE BANK & TRUST COMPANY	17639	FREMONT	NE	680260549	
1351	20080630	Bank of Grandin	9392	Grandin	MO	63943	
1454	20080630	Hilltop National Bank	19184	Casper	WY	82602	
1557	20080630	THE FIRST STATE BANK	15328	KIOWA	KS	67070	
1632	20080630	Sea Island Bank	5707	Statesboro	GA	30458	
1669	20080630	The Liberty National Bank in Paris	3384	Paris	TX	754610919	
1829	20080630	Allegheny Valley Bank of Pittsburgh	6058	Pittsburgh	PA	15201	
1856	20080630	Washita State Bank	22430	Burns Flat	OK	73624	
2040	20080630	Farmers and Merchants Bank	13046	Tomah	WI	54660	
2161	20080630	LAMAR NATIONAL BANK	23597	PARIS	TX	75460	
2376	20080630	Oritani Savings Bank	28866	Twp of Washington	NJ	76761329	
2451	20080630	Thunder Bank	10506	Sylvan Grove	KS	67481	
2554	20080630	STATE BANK OF MARIETTA	18525	MARIETTA	MN	56257	
2732	20080630	Albany Bank & Trust Co., N.A.	17230	Chicago	IL	60625	
2750	20080630	GENOA NATIONAL BANK	5408	GENOA	NE	68640	
2938	20080630	Security Bank & Trust Company of Albany	20246	Albany	GA	31701	
3252	20080630	FIRST NATIONAL BANK OF GORDON	5410	GORDON	NE	69343	
3458	20080630	FARMERS BANK OF GREEN CITY	16103	GREEN CITY	MO	63545	
3720	20080630	Bank of Clarendon	15671	Manning	SC	29102	
3953	20080630	First Capital Bank	416	Guthrie	OK	730440520	
4138	20080630	First National Bank of LaFollette	4944	LaFollette	TN	37766	
4156	20080630	KANZA Bank	13157	Kingman	KS	67068	
4231	20080630	FARMERS AND MERCHANTS BANK	16440	SYLVANIA	GA	30467	
4437	20080630	First National Bank	6795	Ronceverte	WV	24970	
4839	20080630	Austin Bank of Chicago	11694	Chicago	IL	606441997	
5005	20080630	STONEHAM SAVINGS BANK	90286	STONEHAM	MA	02180	
5069	20080630	First Credit Bank	24332	West Hollywood	CA	90069	
5135	20080630	First State Bank of Blakely	15496	Blakely	GA	39823	
5210	20080630	Adams County National Bank	7506	Gettysburg	PA	173250000	
5331	20080630	Hyde Park Bank and Trust Company	10448	Chicago	IL	60615	
5461	20080630	BANK OF AGRICULTURE AND COMMERCE	19434	STOCKTON	CA	95207	
5751	20080630	The Kearny County Bank	15194	Lakin	KS	678600067	
6039	20080630	ALMA EXCHANGE BANK & TRUST	15699	ALMA	GA	31510	
6141	20080630	TALLAHATCHIE COUNTY BANK	16567	CHARLESTON	MS	38921	
6329	20080630	ANDERSON BROTHERS BANK	9923	MULLINS	SC	295740310	
6972	20080630	FIRST INDEPENDENT BANK	1500	VANCOUVER	WA	986688904	
7009	20080630	Bessemer Trust Company	20015	Woodbridge	NJ	70951191	
7045	20080630	The Peoples Bank	5779	Brownstown	IN	47220	
7157	20080630	THE STATE BANK OF BLUE RAPIDS	15057	BLUE RAPIDS	KS	664110157	
7456	20080630	Bank of Hartington	13962	Hartington	NE	687390077	
7634	20080630	THE FOUR COUNTY BANK	15904	ALLENTOWN	GA	31003	
8033	20080630	Peoples Bank & Trust Company of Pointe Coupee Parish	23090	New Roads	LA	70760	
8462	20080630	Perryton National Bank	3388	Perryton	TX	79070	
8631	20080630	Pleasants County Bank	847	St. Marys	WV	261700240	
9357	20080630	Fidelity Bank	20268	Edina	MN	55435	
9553	20080630	ADAMS COUNTY BANK	14311	KENESAW	NE	689560149	
9807	20080630	Amboy Bank	6423	Old Bridge	NJ	8857	
9955	20080630	First State Bank & Trust Co	15899	Larned	KS	67550	
10157	20080630	First National Bank & Trust Company in Larned	4709	Larned	KS	675500029	
10250	20080630	The Bank of Elk River	1607	Elk River	MN	55330	
10849	20080630	FIRST STATE BANK	15050	LONOKE	AR	72086	
10858	20080630	Platte Valley State Bank and Trust Company	16112	Kearney	NE	68847	
11145	20080630	Lake-Osceola State Bank	8172	Baldwin	MI	49304	
11640	20080630	First National Bank of Clarksdale	19070	Clarksdale	MS	38614	
11837	20080630	THE FARMERS BANK	5709	Greensboro	GA	30642	
12030	20080630	First National Bank South	17011	ALMA	GA	31510	
12058	20080630	Bank of Holden	8297	Holden	MO	64040	
