"IDRSSD"	RIAD0497	RIAD4042	RIAD4136	RIAD4141	RIAD4146	RIAD4461	RIAD4462	RIAD4463	RIAD4464	RIAD4467	RIAD4468	RIAD4469	RIAD4486	RIAD4487	RIAD4488	RIAD4489	RIAD4491	RIAD4498	RIAD4499	RIAD4521	RIAD4522	RIAD4769	RIAD8403	RIADB527	RIADC013	RIADC014	RIADC015	RIADC016	RIADC017	RIADC018	RIADF229	RIADF465	RIADF555	RIADF556	RIADF557	RIADF558	RIADF559	TEXT4461	TEXT4462	TEXT4463	TEXT4464	TEXT4467	TEXT4468	TEXT4469	TEXT4487	TEXT4489	TEXT4498	TEXT4499	TEXT4521	TEXT4522	TEXT4769	TEXTB527	
	ADVERTISING & MARKETING EXPENSES	RENT & OTHER INCOME FR OTHR REAL EST	DIRECTORS FEES	LEGAL FEES & EXPENSES	FDIC DEPOSIT INSURANCE ASSESSMENTS	1ST ITEMIZED AMT OV25% OF ITEM 4078	2ND ITEMIZED AMT OV25% OF ITEM 4078	3RD ITEMIZED AMT OV25% OF ITEM 4078	1ST ITEMIZED AMT OV25% OF ITEM 4092	2ND ITEMIZED AMT OV25% OF ITEM 4092	3RD ITEMIZED AMT OV25% OF ITEM 4092	1ST ITEMIZED AMT FOR ITEM 4310	1ST ITEMIZED AMT FOR ITEM 4315	2ND ITEMIZED AMT FOR ITEM 4310	2ND ITEMIZED AMT FOR ITEM 4315	3RD ITEMIZED AMT FOR ITEM 4310	3RD ITEMIZED AMT FOR ITEM 4315	1ST ITMZD TRANSACTIONS OF ITEM 4415	2ND ITMZD TRANSACTIONS OF ITEM 4415	1ST ITEMIZED ADJUSTMTS TO ITEM 4815	2ND ITEMIZED ADJUSTMTS TO ITEM 4815	OTHER EXPLANATIONS	POSTAGE EXPENSE	RESTATMENTS DUE TO CORRECTIONS (2ND)	INCM&FEES FROM PRNTNG&SALE OF CHECKS	EARNINGS ON CSV OF LIFE INSURANCE	SAFE DEPOSIT BOX RENT	INCM&FEES FRM AUTMTD TELL MACH(ATMS)	DATA PROCESSING EXPENSES	PRINTING, STATIONERY, AND SUPPLIES	NET CHANGE FAIR VAL UNDR FAIR VAL OP	RESTATMENTS DUE TO CORRECTIONS 1ST	BK CARD CR CARD INTERCHANGE FEE	ACCOUNTING AND AUDITING EXPENSES	CONSULTING AND ADVISORY EXPENSE	ATM AND INTERCHANGE EXP	TELECOMMUNICATIONS EXP	1ST ITEMIZED AMT OV25% OF ITEM 4078	2ND ITEMIZED AMT OV25% OF ITEM 4078	3RD ITEMIZED AMT OV25% OF ITEM 4078	1ST ITEMIZED AMT OV25% OF ITEM 4092	2ND ITEMIZED AMT OV25% OF ITEM 4092	3RD ITEMIZED AMT OV25% OF ITEM 4092	1ST ITEMIZED AMT FOR ITEM 4310	2ND ITEMIZED AMT FOR ITEM 4310	3RD ITEMIZED AMT FOR ITEM 4310	1ST ITMZD TRANSACTIONS OF ITEM 4415	2ND ITMZD TRANSACTIONS OF ITEM 4415	1ST ITEMIZED ADJUSTMTS TO ITEM 4815	2ND ITEMIZED ADJUSTMTS TO ITEM 4815	OTHER EXPLANATIONS	RESTATMENTS DUE TO CORRECTIONS (2ND)	
37	3	0	28	8	3	0	3	15	11	8	0	0	0	0	0	0	0	0	0	0	0	false	18	0	4	0	7	0	57	33	0	0	14	40	0	14	14		cd early w/d	exchange	occ bus lic	dues & membership fees											
242	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																
279	30	1	59	23	5	0	0	0	0	0	0	0	0	0	0	0	0	-101	0	0	0	false	35	0	15	0	4	64	135	31	0	0	0	23	0	0	0										Funded Parent Co. and Holding Co.						
354	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																
457	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																
505	101	0	87	0	0	0	0	0	63	72	60	0	0	0	0	0	0	0	0	0	0	false	58	-19	0	0	0	27	338	47	0	0	128	79	41	43	0				FDIC deposit insurance & OCC assessments	Debit card processing	Online banking expense									Change in measurement date upon adoption of FAS158	
1155	182	0	78	10	7	26	0	0	46	0	0	0	0	0	0	0	0	0	0	0	0	false	41	0	11	78	9	30	157	37	0	0	86	35	0	42	29	Exchange			Macha & Bank Service Charges												
1351	11	0	17	5	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	26	0	0	0	6	35	0	16	0	0	0	5	0	18	0																
1454	256	0	102	0	0	67	45	43	76	0	0	0	0	0	0	0	0	0	0	0	0	false	169	0	50	89	56	29	181	204	0	0	498	0	0	253	0	HUMAN RESOURCES FEE INCOME	MERCHANT DISCOUNT INCOME	ONLINE BANKING FEE INCOME	LOAN EXPENSE												
1557	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				BUILDING AND DEPRECIATION												
1632	267	0	0	0	209	130	25	104	202	383	0	0	0	0	0	0	0	2340	0	0	0	false	0	0	0	42	0	55	1166	99	0	0	251	0	0	0	0	Income Letters of Credit	Financial Planning Fees	Customer Swap Dealer Fees	Business Development	Open Commitment Reserve Expense					Capital Infusions						
1669	29	0	18	2	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	48	-184	19	313	27	55	251	58	0	0	77	35	0	24	21															EITF Issue 06-04 & 06-10 Posteretirement split-dollar accounting treatment	
1829	96	0	74	0	0	28	0	0	86	230	0	0	0	0	0	0	0	0	0	0	0	false	96	0	35	0	0	0	349	0	0	0	144	0	0	161	0	Misc Income			Other Professional Fees	PA Shares Tax											
1856	12	0	18	0	63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	5	0	0	0	2	12	0	11	0	0	0	0	0	0	0																
2040	101	0	38	43	8	0	0	0	0	0	0	-2	0	0	0	0	0	0	0	0	0	false	37	0	7	52	8	5	155	30	0	0	57	2	52	40	14							Prior Year Inocme Adjustment on Generation Title Dividend									
2161	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	28	0	13	52	12	28	139	48	0	0	76	25	0	108	0																
2376	195	541	316	164	45	401	142	0	119	86	263	0	0	0	0	0	0	1164	0	0	0	false	68	0	0	537	0	95	361	117	0	0	62	574	0	109	29	Joint Venture	Miscellaneous Fees		Insurance	Bank Service Charges	Miscellaneous expenses				ESOP Transactions						
2451	6	0	7	1	12	1	0	0	12	15	6	0	0	0	0	0	0	0	0	0	0	false	3	0	1	0	2	0	64	6	0	0	4	8	0	8	0	Teller Servicess/Exchange			Bond and D&O	Education,Meetings	Correspondent Bank Expense										
2554	1	0	6	1	0	2	0	0	5	4	2	0	0	0	0	0	0	100	0	0	0	false	1	0	0	0	1	0	6	2	0	0	0	0	0	0	0	Loan Administration Fee			Exams	Software	Insurance & bonds				additional capital investment surplus						
2732	41	0	93	30	30	90	0	0	64	0	0	0	0	0	0	0	0	0	0	0	0	false	98	0	0	0	38	0	428	67	0	0	0	31	0	0	46	license fee income			OCC Assessment												
2750	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	10	5	10	85	0	0	0	0	0	0	0	0																
2938	119	0	0	0	0	68	0	0	101	337	306	0	0	0	0	0	0	1180	0	0	0	false	0	0	0	0	0	56	813	0	0	0	174	0	0	0	0	Other Service Charges			Donations	Loss on sale of fixed assets	ORE, REPO, and other misc expense				Capital Infusion						
3252	0	0	0	0	30	0	0	0	33	111	26	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				Accounting and Professional fees	Computer Expense- In House	Insurance and Bonds										
3458	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0															YEAR-END ADJUSTMENT	
3720	136	0	29	0	0	35	92	0	26	43	40	0	0	0	0	0	0	0	0	0	0	false	38	0	0	38	0	36	111	42	0	0	0	36	0	0	39	CHECK CARD INCOME	DISCOUNT BROKERAGE INCOME		TRAINING & EDUCATION	OD CHARGED OFF	CORRESPONDENT BANK CHARGES										
3953	242	0	38	-123	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	29	0	3	26	14	8	22	45	0	0	61	7	26	53	21																
4138	76	0	71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	44	0	0	0	0	118	124	72	0	0	0	79	0	75	45																
