"IDRSSD"	RCFD2930	RCFD2932	RCFD2938	RCFD3049	RCFD3066	RCFD3552	RCFD3553	RCFD3554	RCFD3646	RCFDB557	RCFDC011	RCFDC012	RCON2930	RCON2932	RCON2938	RCON3049	RCON3066	RCON3552	RCON3553	RCON3554	RCON3645	RCON3646	RCONB557	RCONC011	RCONC012	TEXT3552	TEXT3553	TEXT3554	
	OTHER LIABILITIES, TOTAL	DIVIDENDS DECLARED BUT NOT YET PAYAB	ALL OTHER LIABILITIES	NET DEFERRED TAX LIABILITIES	ACCOUNTS PAYABLE	1ST ITM AMT FOR OTH LB OV25% OF 2930	2ND ITM AMT FOR OTH LB OV25% OF 2930	3RD ITM AMT FOR OTH LB OV25% OF 2930	OTHER EXPENSES ACCRUED & UNPAID	ALL0WANCE FOR CREDIT LOSSES OFF B/S	DEFERRED COMPENSATION LIABILITIES	DERIVATATIVES W/NEGATIVE FAIR VALUE	OTHER LIABILITIES, TOTAL	DIVIDENDS DECLARED BUT NOT YET PAYAB	ALL OTHER LIABILITIES	NET DEFERRED TAX LIABILITIES	ACCOUNTS PAYABLE	1ST ITM AMT FOR OTH LB OV25% OF 2930	2ND ITM AMT FOR OTH LB OV25% OF 2930	3RD ITM AMT FOR OTH LB OV25% OF 2930	INTEREST ACCRUED & UNPAID ON DEPS	OTHER EXPENSES ACCRUED & UNPAID	ALL0WANCE FOR CREDIT LOSSES OFF B/S	DEFERRED COMPENSATION LIABILITIES	DERIVATATIVES W/NEGATIVE FAIR VALUE	1ST ITM AMT FOR OTH LB OV25% OF 2930	2ND ITM AMT FOR OTH LB OV25% OF 2930	3RD ITM AMT FOR OTH LB OV25% OF 2930	
37													450	0	164	0	0	0	0	0	227	59	0	136	0				
242													67	0	0	0	0	0	0	0	67	0	0	0	0				
279													501	0	167	0	0	28	0	0	175	159	0	71	0	Elan Transfer Bonus			
354													37	0	0	0	0	0	0	0	37	0	0	0	0				
457													224	0	0	0	0	0	0	0	75	149	0	0	0				
505													2486	0	30	0	0	0	0	0	485	1890	81	0	0				
1155													1832	0	1127	0	0	0	0	0	459	246	0	1044	0				
1351													831	0	0	0	0	0	0	0	655	176	0	0	0				
1454													1138	0	603	0	238	0	0	0	389	146	0	365	0				
1557													504	0	13	405	0	0	0	0	86	0	0	0	0				
1632													6460	0	524	0	0	0	0	0	4070	1483	383	355	0				
1669													1362	0	190	0	0	0	0	0	844	328	0	190	0				
1829													1913	0	359	0	327	0	0	0	1073	481	0	0	0				
1856													327	0	0	0	0	0	0	0	327	0	0	0	0				
