"IDRSSD"	RCFD0426	RCFD2130	RCFD2150	RCFD2651	RCFD3164	RCFD3190	RCFD4088	RCFD5372	RCFD5374	RCFD5375	RCFD5507	RCFD6164	RCFD6165	RCFDA590	RCFDB026	RCFDB569	RCFDB570	RCFDB571	RCFDF055	RCFDF056	RCFDF057	RCFDF058	RCFDF059	RCFDF060	RCFDF061	RCFDF062	RCFDF063	RCFDF065	RCFN5513	RCON0426	RCON2130	RCON2150	RCON2651	RCON3164	RCON3190	RCON4088	RCON5372	RCON5374	RCON5375	RCON5507	RCON5508	RCON5509	RCON5510	RCON5511	RCON5512	RCON6164	RCON6165	RCONA590	RCONB026	RCONB569	RCONB570	RCONB571	RCONC979	RCONF055	RCONF056	RCONF057	RCONF058	RCONF059	RCONF060	RCONF061	RCONF062	RCONF063	RCONF064	RCONF065	TEXT4087	
	OTHER IDENTIFIABLE INTANGIBLE ASSETS	INVEST. IN UNCONSOLIDATED SUBS & CO.	OTHER REAL ESTATE OWNED	FHLB ADVANCES MATURING <= 1 YEAR	MORTGAGE SERVICING ASSETS	OTHER BORROWED MONEY	IS CU WEB SITE INTERACTIVE?	DIRECT&INDIRECT INVEST IN RE VENTURE	DIRECT&INDIRECT INVEST IN RE VENTURE	ALL OTHR INVEST IN UNCONSLDTD SUBS	ALL OTHR IDENTIFIABLE INTANGBL ASSET	AGGREG AKT OF EXT OF CREDIT TO EXECS	NBR OF EXEC OFFCRSEPRIN SHAREHOLDERS	ESTMTD FAIR VAL OF MTG SERVNG ASSETS	PURCD CRD CD RLSHPS&NONMTG SRVG ASTS	DOES RPRTNG BANK SELL MUTUAL FUNDS?	ASSETS MANAGED: MUTUAL FUNDS&ANNUITY	OTHER BORR0WINGS MATURING <= 1 YEAR	FHLB ADVS:RMNG MAT/REPRNG DT 1 YR LE	FHLB ADVS:RMNG MAT/REPRNG DT 1-3 YRS	FHLB ADVS:RMNG MAT/REPRNG DT 3-5 YRS	FHLB ADVS:RMNG MAT/REPRNG DT OVR 5 Y	FHLB ADVANCES: STRUCTURED ADVANCES	OT BRWD MNY:WT RMNG MAT/REPR DT 1 YR	OT BRWD MNY:WT RMNG MAT/REPR DT 1-3 	OT BRWD MNY:WT RMNG MAT/REPR DT 3-5 	OT BRWD MNY:WT RMNG MAT/REPR DT OV 5	SECURED LIBLTIES:AMT OF	ALL OTHR RE OWNED IN FOREIGN OFFICES	OTHER IDENTIFIABLE INTANGIBLE ASSETS	INVEST. IN UNCONSOLIDATED SUBS & CO.	OTHER REAL ESTATE OWNED	FHLB ADVANCES MATURING <= 1 YEAR	MORTGAGE SERVICING ASSETS	OTHER BORROWED MONEY	IS CU WEB SITE INTERACTIVE?	DIRECT&INDIRECT INVEST IN RE VENTURE	DIRECT&INDIRECT INVEST IN RE VENTURE	ALL OTHR INVEST IN UNCONSLDTD SUBS	ALL OTHR IDENTIFIABLE INTANGBL ASSET	CONSTRCTN&LAND DEVLPMNT IN DOMS OFFC	FARMLAND IN DOMESTIC OFFICES	1-4 FMLY RESDTL PROPTS IN DOMS OFFCS	MULTIFMLY RESDTL PROPTS IN DOMS OFFC	NONFRM NONRESDTL PROPTS IN DOMS OFFC	AGGREG AKT OF EXT OF CREDIT TO EXECS	NBR OF EXEC OFFCRSEPRIN SHAREHOLDERS	ESTMTD FAIR VAL OF MTG SERVNG ASSETS	PURCD CRD CD RLSHPS&NONMTG SRVG ASTS	DOES RPRTNG BANK SELL MUTUAL FUNDS?	ASSETS MANAGED: MUTUAL FUNDS&ANNUITY	OTHER BORR0WINGS MATURING <= 1 YEAR	FORECLOSED PROPERTIES FROM	FHLB ADVS:RMNG MAT/REPRNG DT 1 YR LE	FHLB ADVS:RMNG MAT/REPRNG DT 1-3 YRS	FHLB ADVS:RMNG MAT/REPRNG DT 3-5 YRS	FHLB ADVS:RMNG MAT/REPRNG DT OVR 5 Y	FHLB ADVANCES: STRUCTURED ADVANCES	OT BRWD MNY:WT RMNG MAT/REPR DT 1 YR	OT BRWD MNY:WT RMNG MAT/REPR DT 1-3 	OT BRWD MNY:WT RMNG MAT/REPR DT 3-5 	OT BRWD MNY:WT RMNG MAT/REPR DT OV 5	SECURED LIBLTIES:AMT OF	SECURED LIBLTIES:AMT OF	URL	
37																														0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	276	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
242																														0	0	0	200	0	3500	true	0	0	0	0	0	0	0	0	0	208	0	0	0	true	0	0	0	200	1500	0	1800	0	0	0	0	0	0	0	http://www.fcbxeniaflora.com	
279																														72	258	79	2650	72	29473	true	0	0	258	0	0	0	79	0	0	479	0	72	0	true	0	0	0	2650	19218	7605	0	0	0	0	0	0	0	0	http://www.mineolacb.com	
354																														0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	215	1	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
457																														0	0	123	0	0	2000	true	0	0	0	0	0	0	43	0	80	1046	2	0	0	false	0	0	0	0	2000	0	0	0	0	0	0	0	0	0	http://www.lowrystate.com	
505																														20	0	157	31250	0	67750	true	0	0	0	20	157	0	0	0	0	2588	2	0	0	true	0	0	0	31250	9000	27500	0	30500	0	0	0	0	0	0	www.bsnb.com	
1155																														0	0	0	0	0	3000	true	0	0	0	0	0	0	0	0	0	5903	4	0	0	true	0	0	0	3000	0	0	0	3000	0	0	0	0	0	0	www.firststatebankandtrust.com	
1351																														0	0	180	0	0	0	true	0	0	0	0	0	0	0	0	180	1100	1	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	bankofgrandin.net	
1454																														27	0	0	0	0	0	true	0	0	0	27	0	0	0	0	0	7609	4	0	0	true	0	0	0	0	0	0	0	0	0	0	0	0	0	0	WWW.HILLTOPNATIONALBANK.COM	
1557																														0	0	0	0	0	2136	false	0	0	0	0	0	0	0	0	0	10	0	0	0	false	0	0	0	250	1125	125	549	0	87	0	0	0	0	0		
1632																														0	0	575	27000	0	57000	true	0	0	0	0	126	0	449	0	0	23416	8	0	0	true	0	0	0	57000	0	0	0	0	0	0	0	0	0	0	www.seaislandbank.com	
1669																														1305	0	5	0	0	889	true	0	0	0	1305	0	0	5	0	0	2629	2	0	0	false	0	889	0	0	0	0	0	0	889	0	0	0	0	0	www.lnbparis.com	
1829																														832	0	0	6146	0	42045	true	0	0	0	832	0	0	0	0	0	1447	1	0	0	false	0	0	0	6146	9000	21000	5899	0	0	0	0	0	0	0	http://avbpgh.com	
1856																														0	0	0	0	0	54000	false	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	54000	0	0	0	0	0	0	0		
2040																														0	0	0	2325	0	22892	true	0	0	0	0	0	0	0	0	0	647	1	0	0	false	0	0	0	2325	3567	12000	5000	15000	0	0	0	0	0	0	http://www.fmnetbank.com	
2161																														0	0	0	0	0	0	true	0	0	0	0	0	0	0	0	0	1475	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	http://www.ffpnet.com	
2376																														0	3817	1280	0	0	448773	true	0	3817	0	0	0	0	0	1134	146	34765	2	0	0	false	0	0	0	700	18404	60000	354185	410000	15484	0	0	0	0	15484	http://oritani.com	
2451																														378	0	149	0	378	8125	true	0	0	0	0	0	9	75	65	0	1154	3	378	0	false	0	0	0	7425	84	332	284	0	0	0	0	0	0	0	http://thunderbank.com	
2554																														0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
2732																														1112	0	0	0	0	363	true	0	0	0	1112	0	0	0	0	0	26077	7	0	0	true	0	0	0	0	0	0	0	0	363	0	0	0	0	363	www.albanybank.com	
2750																														0	0	0	1800	0	7000	true	0	0	0	0	0	0	0	0	0	2238	3	0	0	false	0	0	0	6300	0	700	0	0	0	0	0	0	0	0	www.genoanationalbank.com	
2938																														0	0	3116	0	0	29000	true	0	0	0	0	2516	0	600	0	0	33107	9	0	0	true	0	0	0	29000	0	0	0	0	0	0	0	0	0	0	www.securitybank-albany.com	
3252																														0	0	0	0	0	2600	true	0	0	0	0	0	0	0	0	0	855	0	0	0	false	0	0	0	0	1000	1000	500	0	100	0	0	0	0	0	http://www.fnbgordon.com	
3458																														0	0	0	0	0	0	true	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	www.fbgconline.com	
3720																														0	0	23	0	0	6112	true	0	0	0	0	0	0	18	0	5	1382	1	0	0	true	0	1112	0	0	0	5000	0	0	1112	0	0	0	0	1112	wwwbankofclarendon.com	
3953																														0	0	0	3650	0	3997	true	0	0	0	0	0	0	0	0	0	4622	4	0	0	false	0	0	0	3650	0	0	347	347	0	0	0	0	0	0	http://www.fcbanker.com	
4138																														0	23	714	0	0	2022	true	0	23	0	0	148	0	387	0	179	5078	2	0	0	true	0	0	0	283	480	389	870	0	0	0	0	0	0	0	www.fnblafollette.com	
4156																														0	0	0	0	0	35250	true	0	0	0	0	0	0	0	0	0	664	1	0	0	true	0	0	0	16750	11500	5000	2000	0	0	0	0	0	0	0	http://www.kanzabank.com	
4231																														0	0	174	0	0	0	false	0	0	0	0	0	0	0	0	174	4210	2	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	http://www.fmbanksylvania.com	
4437																														0	0	0	400	0	9767	true	0	0	0	0	0	0	0	0	0	9595	5	0	0	false	0	0	0	400	5426	914	3027	0	0	0	0	0	0	0	www.fnbwv.com	
4839																														0	90	177	5500	0	40900	true	0	0	90	0	0	0	177	0	0	16782	5	0	0	false	0	0	0	5500	30400	4000	1000	0	0	0	0	0	0	0	http://abcbank.net	
5005																														769	0	5350	3752	0	64673	true	0	0	0	769	5350	0	0	0	0	1044	1	0	0	true	0	0	0	3752	24077	16249	20595	33500	0	0	0	0	0	0	WWW.STONESAV.COM	
5069																														0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	150	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
5135																														0	0	13	1500	0	21500	true	0	0	0	0	0	0	13	0	0	8133	4	0	0	false	0	0	0	1500	20000	0	0	0	0	0	0	0	0	0	http://www.fsbanks.com	
5210																														12	0	0	45000	0	101037	true	0	0	0	12	0	0	0	0	0	2457	1	0	0	false	0	1037	0	55000	35000	10000	0	10000	1037	0	0	0	0	1037	http://www.acnb.com	
5331																														0	0	1024	0	0	100	true	0	0	0	0	864	0	0	160	0	3235	2	0	0	false	0	100	0	0	0	0	0	0	100	0	0	0	0	100	WWW.HYDEPARKBANK.NET	
5461																														608	776	276	33985	0	34614	true	0	776	0	608	0	0	276	0	0	73	0	0	0	true	0	629	0	33985	0	0	0	0	629	0	0	0	0	0	www.bankbac.com	
5751																														0	0	70	0	0	0	true	0	0	0	0	0	0	70	0	0	768	1	0	0	true	0	0	0	0	0	0	0	0	0	0	0	0	0	0	http://www.kearnycountybank.com	
6039																														0	0	130	0	0	0	true	0	0	0	0	0	0	0	0	130	458	0	0	0	true	0	0	0	0	0	0	0	0	0	0	0	0	0	0	wwwaeb.com	
6141																														0	0	30	0	0	0	false	0	0	0	0	0	0	0	0	30	102	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
6329																														0	0	1518	0	0	0	true	0	0	0	0	36	0	1257	0	225	434	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	www.abbank.com	
6972																														237	0	0	47000	0	88500	true	0	0	0	237	0	0	0	0	0	2816	2	0	0	false	0	0	0	47000	0	0	41500	0	0	0	0	0	0	0	http://www.firstindy.com	
7009																														0	0	0	0	0	0	true	0	0	0	0	0	0	0	0	0	1300	1	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	http://www.bessemer.com	
7045																														0	0	0	0	0	0	true	0	0	0	0	0	0	0	0	0	2373	1	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	http://www.tpbbancorp.com	
7157																														0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	189	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
7456																														0	0	37	0	0	0	true	0	0	0	0	0	0	0	0	37	190	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	www.bankofhartington.com	
7634																														0	0	5	0	0	2000	false	0	0	0	0	5	0	0	0	0	661	0	0	0	false	0	0	0	2000	0	0	0	0	0	0	0	0	0	0		
