"IDRSSD"	RIAD3123	RIAD4230	RIAD4605	RIAD5523	RIADB522	RIADC079	RIADC233	RIADC389	RIADC390	RIADC435	RIADC781	
	ALLL_AMT	PROVISION FOR CREDIT LOSSES	RECOVERIES CREDITED TO RESERVES	WRITE DOWN ARISING FRM TRNSFR TO HFS	BEGIN BALANCE (MOST RECENT) IN ALLL	CHRG-OFFS ON ALLWNCE FOR L&L LOSSES	ADJUSTMENTS	SEPARATE VAL ALLOW CRED/FIN CHGS	AMT ALLOW LN&LSE LOSS CC/FIN CHGS	ALLOCATED TRANSFER RISK RESERVE	AMT OF ALLOWNCE FOR POST-ACQUISTN LO	
37	1202	90	38	0	1090	16	0			0	0	
242	171	0	10	0	161	0	0			0	0	
279	350	25	6	0	340	21	0			0	0	
354	201	0	9	0	208	16	0			0	0	
457	165	10	1	0	269	115	0			0	0	
505	3183	330	31	0	2936	114	0			0	0	
1155	1833	180	333	0	1695	375	0			0	0	
1351	1147	60	20	0	1120	53	0	0	0	0	0	
1454	2118	38	25	0	2093	38	0			0	0	
1557	381	0	1	0	381	1	0	0	0	0	0	
1632	12384	4710	408	0	7843	577	0			0	0	
1669	1811	134	48	0	1698	69	0			0	0	
1829	4002	130	32	0	3918	78	0			0	0	
1856	188	6	8	0	176	2	0			0	0	
2040	3617	1707	19	0	1952	61	0			0	0	
2161	567	9	22	0	584	48	0			0	0	
2376	13532	3350	0	0	10182	0	0			0	0	
2451	379	50	0	0	347	18	0			0	0	
2554	20	7	1	0	38	26	0			0	0	
2732	3907	150	25	0	3754	22	0			0	0	
2750	347	15	18	0	341	27	0			0	0	
2938	7331	2298	158	0	5594	719	0			0	0	
3252	996	130	165	0	962	261	0			0	0	
3458	289	0	0	0	294	5	0			0	0	
3720	1421	27	0	0	1397	3	0			0	0	
3953	1484	250	110	0	1269	145	0			0	0	
4138	1377	415	62	0	1220	320	0			0	0	
4156	1399	4	174	0	1608	387	0			0	0	
4231	787	82	30	0	712	37	0			0	0	
4437	2098	270	24	0	1882	78	0			0	0	
4839	2483	190	10	0	2389	106	0			0	0	
5005	2774	165	0	0	2609	0	0			0	0	
5069	8204	0	0	0	8204	0	0			0	0	
5135	3477	300	8	0	3287	118	0			0	0	
5210	6337	670	21	0	5848	202	0			0	0	
5331	1364	1400	0	0	1632	1668	0			0	0	
5461	2777	0	2	0	2876	101	0			0	0	
