"IDRSSD"	RIAD0497	RIAD4042	RIAD4136	RIAD4141	RIAD4146	RIAD4461	RIAD4462	RIAD4463	RIAD4464	RIAD4467	RIAD4468	RIAD4469	RIAD4486	RIAD4487	RIAD4488	RIAD4489	RIAD4491	RIAD4498	RIAD4499	RIAD4521	RIAD4522	RIAD4769	RIAD5523	RIAD8403	RIADB526	RIADB527	RIADC013	RIADC014	RIADC015	RIADC016	RIADC017	RIADC018	TEXT4461	TEXT4462	TEXT4463	TEXT4464	TEXT4467	TEXT4468	TEXT4469	TEXT4487	TEXT4489	TEXT4498	TEXT4499	TEXT4521	TEXT4522	TEXT4769	TEXTB526	TEXTB527	
	ADVERTISING & MARKETING EXPENSES	RENT & OTHER INCOME FR OTHR REAL EST	DIRECTORS FEES	LEGAL FEES & EXPENSES	FDIC DEPOSIT INSURANCE ASSESSMENTS	1ST ITEMIZED AMT OV25% OF ITEM 4078	2ND ITEMIZED AMT OV25% OF ITEM 4078	3RD ITEMIZED AMT OV25% OF ITEM 4078	1ST ITEMIZED AMT OV25% OF ITEM 4092	2ND ITEMIZED AMT OV25% OF ITEM 4092	3RD ITEMIZED AMT OV25% OF ITEM 4092	1ST ITEMIZED AMT FOR ITEM 4310	1ST ITEMIZED AMT FOR ITEM 4315	2ND ITEMIZED AMT FOR ITEM 4310	2ND ITEMIZED AMT FOR ITEM 4315	3RD ITEMIZED AMT FOR ITEM 4310	3RD ITEMIZED AMT FOR ITEM 4315	1ST ITMZD TRANSACTIONS OF ITEM 4415	2ND ITMZD TRANSACTIONS OF ITEM 4415	1ST ITEMIZED ADJUSTMTS TO ITEM 4815	2ND ITEMIZED ADJUSTMTS TO ITEM 4815	OTHER EXPLANATIONS	WRITE DOWN ARISING FRM TRNSFR TO HFS	POSTAGE EXPENSE	RESTATEMNTS DUE TO CORRECTIONS (1ST)	RESTATMENTS DUE TO CORRECTIONS (2ND)	INCM&FEES FROM PRNTNG&SALE OF CHECKS	EARNINGS ON CSV OF LIFE INSURANCE	SAFE DEPOSIT BOX RENT	INCM&FEES FRM AUTMTD TELL MACH(ATMS)	DATA PROCESSING EXPENSES	PRINTING, STATIONERY, AND SUPPLIES	1ST ITEMIZED AMT OV25% OF ITEM 4078	2ND ITEMIZED AMT OV25% OF ITEM 4078	3RD ITEMIZED AMT OV25% OF ITEM 4078	1ST ITEMIZED AMT OV25% OF ITEM 4092	2ND ITEMIZED AMT OV25% OF ITEM 4092	3RD ITEMIZED AMT OV25% OF ITEM 4092	1ST ITEMIZED AMT FOR ITEM 4310	2ND ITEMIZED AMT FOR ITEM 4310	3RD ITEMIZED AMT FOR ITEM 4310	1ST ITMZD TRANSACTIONS OF ITEM 4415	2ND ITMZD TRANSACTIONS OF ITEM 4415	1ST ITEMIZED ADJUSTMTS TO ITEM 4815	2ND ITEMIZED ADJUSTMTS TO ITEM 4815	OTHER EXPLANATIONS	RESTATEMNTS DUE TO CORRECTIONS (1ST)	RESTATMENTS DUE TO CORRECTIONS (2ND)	
37	3	0	21	4	5	6	2	6	23	13	7	0	0	0	0	0	0	0	0	0	0	false	0	18	0	0	4	0	7	0	57	36	FHLB dividends                                                                                                                                                                                   	Penalty early w/d cds                                                                                                                                                                            	Exchange                                                                                                                                                                                         	Internal audit expense                                                                                                                                                                           	Clearing house fees                                                                                                                                                                              	Other loan fees                                                                                                                                                                                  											
242	0	0	24	0	0								0		0		0					false	0	7			0	0	7	0	11	0																	
279	15	1	35	10	6	0	0	0	63	0	0	0	0	0	0	0	0	0	0	0	0	false	0	30	0	0	0	0	2	1	92	22				OUTSIDE SERVICES                                                                                                                                                                                 													
354	7	0	5	7	1	3	0	0	7	6	3	0	0	0	0	0	0	0	0	0	0	false	0	2	0	0	0	0	1	0	9	2	EXCHANGE                                                                                                                                                                                         			INSURANCE                                                                                                                                                                                        	AUDITS                                                                                                                                                                                           	TELEPHONE                                                                                                                                                                                        											
439	0	0	69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	89	0																	
457	0	0	9	0	0	0	0	0	10	10	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	11	0	0	0	12				ANNUAL BENEFIT EXPENSE                                                                                                                                                                           	MISCELLANEOUS EXPENSE                                                                                                                                                                            												
505	99	0	96	0	110	0	0	0	207	0	0	0	0	0	0	0	0	4173	0	0	0	false	0	0	0	0	0	0	0	83	331	0				Loan servicing expense                                                                                                                                                                           						paid in capital through issuance of Trust Preferred secu                                                                                                                                         							
1146	534	0	0	0	0	358	7187	6991	353	0	0	0	0	0	0	0	0	225	0	0	0	false	0	0	0	0	0	0	0	0	424	404	PBT-CC INTERCHANGE FEES                                                                                                                                                                          	PMC-DISC GAIN SALE OF SERVICING                                                                                                                                                                  	LTC-CLOSING FEE,SERACH FEE,TITLE INS INC                                                                                                                                                         	TELEPHONE                                                                                                                                                                                        						PURCH OF MUNFORD BANK CHARTER                                                                                                                                                                    							
1155	158	0	93	7	9	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	44	0	0	10	0	9	42	115	36	Exchange                                                                                                                                                                                         																
