"IDRSSD"	RIAD3123	RIAD4230	RIAD4605	RIAD5523	RIADB522	RIADC079	RIADC233	RIADC389	RIADC390	RIADC435	RIADC781	
	ALLL_AMT	PROVISION FOR CREDIT LOSSES	RECOVERIES CREDITED TO RESERVES	WRITE DOWN ARISING FRM TRNSFR TO HFS	BEGIN BALANCE (MOST RECENT) IN ALLL	CHRG-OFFS ON ALLWNCE FOR L&L LOSSES	ADJUSTMENTS	SEPARATE VAL ALLOW CRED/FIN CHGS	AMT ALLOW LN&LSE LOSS CC/FIN CHGS	ALLOCATED TRANSFER RISK RESERVE	AMT OF ALLOWNCE FOR POST-ACQUISTN LO	
37	1082	180	76	0	962	136	0			0	0	
242	160	21	8	0	158	27	0			0	0	
279	349	-97	9	0	454	17	0			0	0	
354	190	0	18	0	188	16	0			0	0	
439	1820	277	5	0	1538	23	23			0	0	
457	348	285	4	0	301	242	0			0	0	
505	2627	310	75	0	2326	84	0			0	0	
1146	4711	750	64	0	4344	447	0			0	0	
1155	1709	300	67	0	1892	550	0			0	0	
1351	1120	426	25	0	1120	451	0	0	0	0	0	
1454	1740	590	43	0	1191	84	0			0	0	
1557	377	0	8	0	377	8	0	0	0	0	0	
1632	7059	1900	425	0	5734	1000	0			0	0	
1669	1609	282	149	0	1400	222	0			0	0	
1829	4196	855	135	0	3005	376	577			0	0	
1856	150	25	0	0	118	25	32			0	0	
2040	1641	1168	293	0	1790	1610	0			0	0	
2161	552	76	24	0	519	67	0			0	0	
2376	8097	1125	0	0	6172	0	800			0	0	
2451	201	12	0	0	192	3	0			0	0	
2554	25	-19	0	0	44	0	0			0	0	
2732	3758	300	15	0	3458	15	0			0	0	
2750	380	100	79	0	541	340	0			0	0	
2938	5871	2590	474	0	5257	2450	0			0	0	
3252	944	180	312	0	956	504	0			0	0	
3458	331	0	3	0	385	57	0			0	0	
3506	11567	1844	135	0	10646	1058	0			0	0	
3720	1323	78	12	0	1246	13	0			0	0	
3953	1084	1350	311	0	1174	1751	0			0	0	
4138	1201	252	95	0	1270	416	0			0	0	
4156	1412	110	1331	0	1152	1383	202			0	0	
4231	736	84	36	0	664	48	0			0	0	
4437	1632	635	41	0	1940	984	0			0	0	
4839	1837	150	20	0	1695	28	0			0	0	
5005	2283	420	0	0	1863	0	0			0	0	
5069	6704	0	20	0	6684	0	0			0	0	
5135	2791	588	56	0	2270	123	0			0	0	
5210	5375	870	86	0	4456	37	0			0	0	
5331	886	0	4	0	893	11	0			0	0	
5461	1943	60	8	0	1944	69	0			0	0	
5751	766	0	0	0	767	1	0			0	0	
6039	899	510	57	0	825	493	0			0	0	
6057	199	50	5	0	186	42	0			0	0	
6141	406	123	65	0	275	57	0			0	0	
6329	3656	2050	413	0	2890	1697	0			0	0	
6972	8989	1500	330	0	7418	74	-185			0	0	
7009	0	0	0	0	0	0	0			0	0	
7045	702	120	37	0	673	125	-3	0	0	0	0	
7157	275	0	8	0	270	3	0			0	0	
7456	233	-50	0	0	301	18	0	0	0	0	0	
7634	694	200	34	0	581	121	0			0	0	
8033	843	51	45	0	795	48	0			0	0	
8462	349	60	51	0	304	66	0			0	0	
8631	324	44	9	0	296	25	0			0	0	
9357	3385	300	84	0	3601	600	0			0	0	
9553	616	0	3	0	615	2	0			0	0	
9807	59828	14000	377	0	49273	1322	-2500			0	0	
9955	452	63	20	0	411	42	0			0	0	
10157	788	-25	36	0	936	159	0			0	0	
10250	3457	606	62	0	2923	134	0			0	0	
10849	2816	502	103	0	2552	341	0			0	0	
10858	3336	2731	169	0	3273	2837	0			0	0	
11145	1626	240	70	0	1569	253	0			0	0	
11640	1527	221	335	0	1401	430	0			0	0	
11837	1085	0	55	0	1034	4	0			0	0	
12030	6664	3000	4601	0	4873	5810	0			0	0	
12058	705	29	74	0	728	126	0	0	0	0	0	
12142	1193	205	199	0	1196	407	0			0	0	
12245	825	60	5	0	776	16	0			0	0	
12311	263736	58616	37316	1629	261026	115379	23786			0	0	
12647	506	19	6	0	495	14	0			0	0	
12656	182	0	15	0	191	24	0			0	0	
12937	1072	72	0	0	1000	0	0			0	0	
12946	4156	519	333	0	4294	990	0			0	0	
12955	849	181	39	0	927	298	0			0	0	
13037	2066	105	100	0	3201	1340	0			0	0	
13103	7247	1181	95	0	6148	177	0			0	0	
13251	398	0	21	0	350	23	50			0	0	
13457	129	0	0	0	141	13	1			0	0	
14052	694	30	9	0	683	28	0			0	0	
14155	1071	201	102	0	955	187	0			0	0	
14258	8983	1290	96	0	7782	185	0			0	0	
14409	178270	69328	29807	0	197371	117419	-817	0	2050	0	0	
14454	329	45	1	0	288	5	0			0	0	
14650	286	0	41	0	324	79	0			0	0	
14753	523	0	3	0	524	4	0			0	0	
14865	1446	254	9	0	1196	13	0			0	0	
15536	40042	0	446	0	14043	1534	27087			0	0	
16337	3966	900	141	0	3196	271	0			0	0	
16458	2027	150	104	0	1935	162	0			0	0	
16551	2422	0	89	0	2300	228	261			0	0	
16748	405	213	41	0	314	163	0			0	0	
16944	231	0	3	0	240	12	0			0	0	
16953	151	28	3	0	137	17	0			0	0	
17110	856	0	0	0	856	0	0			0	0	
17147	7416	1565	295	0	6141	1336	751			0	0	
17259	141	20	35	0	136	50	0			0	0	
17464	23586	5540	690	0	11935	1971	7392			0	0	
17839	1805	335	50	0	1787	367	0			0	0	
17950	1189	230	33	0	1023	97	0			0	0	
18050	2378	120	43	0	2358	143	0			0	0	
18135	1120	60	31	0	1036	7	0			0	0	
18377	102	0	0	0	102	0	0			0	0	
18827	1288	120	3	0	1256	73	-18			0	0	
18836	1407	142	125	0	1331	191	0			0	0	
18854	203	64	6	0	194	61	0			0	0	
18957	526	120	6	0	485	85	0			0	0	
19356	874	50	63	0	920	159	0			0	0	
19730	20985	3700	253	0	18423	1391	0			0	0	
19936	1970	400	49	0	1665	144	0			0	0	
19972	95	0	0	0	85	0	10	0	0	0	0	
20053	299	24	34	0	294	53	0			0	0	
20147	388	100	5	0	321	38	0			0	0	
20259	253	732	60	0	367	533	-373			0	0	
20370	1547	85	54	0	1521	113	0	0	0	0	0	
20512	493	42	60	0	573	182	0			0	0	
20633	2251	315	46	0	1970	80	0			0	0	
20839	2110	1125	5	0	1338	358	0			0	0	
20857	195	10	13	0	172	0	0			0	0	
20866	1142	178	21	0	990	47	0			0	0	
21256	30	0	5	0	25	0	0			0	0	
21359	127	0	1	0	129	3	0			0	0	
21630	261	-100	0	0	383	22	0			0	0	
21658	1003	225	50	0	1399	671	0			0	0	
22048	2906	6	448	0	5644	3192	0			0	0	
22235	3575	1152	396	0	3372	1345	0			0	0	
22356	2000	476	84	0	1779	339	0			0	0	
22459	963	0	22	0	993	52	0			0	0	
22543	507	35	11	0	513	52	0			0	0	
22552	551	50	34	0	479	12	0			0	0	
22730	693	0	67	0	690	64	0			0	0	
22936	2849	432	84	0	2621	288	0			0	0	
22954	853	138	18	0	792	95	0	0	0	0	0	
23036	5073	376	22	0	4811	136	0			0	0	
23045	231	0	2	0	232	3	0			0	0	
23241	21155	20294	1810	0	24392	25341	0			0	0	
23456	936	240	15	0	726	45	0			0	0	
23504	2512	85	127	0	2383	83	0			0	0	
23540	393	30	10	0	400	47	0			0	0	
23643	1133	300	91	0	1399	657	0			0	0	
23755	790	120	11	0	677	18	0			0	0	
23812	8186	3	359	0	8549	173	-552			0	0	
24006	2942	240	10	0	2715	23	0			0	0	
24266	11870	0	524	0	11896	550	0			0	0	
24453	946	640	13	0	304	11	0			0	0	
24659	222	108	13	0	222	121	0			0	0	
24668	1265	300	117	0	981	133	0			0	0	
24855	36	10	1	0	25	0	0			0	0	
24949	6047	369	116	0	6371	809	0			0	0	
25357	280	61	24	0	281	86	0			0	0	
25647	650	-94	17	0	1464	164	-573			0	0	
25852	3957	-1352	1633	0	4317	641	0			0	0	
26149	335	0	13	0	341	19	0			0	0	
26233	3867	-1009	3320	0	4066	2510	0			0	0	
26242	3102	0	416	0	3302	616	0			0	0	
26457	203	0	0	0	203	0	0			0	0	
26765	121	15	20	0	141	55	0			0	0	
26859	4032	1435	101	0	2990	494	0			0	0	
26916	2435	300	55	0	2316	236	0			0	0	
27548	2291	407	181	0	2364	661	0			0	0	
27614	1204	135	11	0	1334	276	0			0	0	
27838	2745	510	20	0	2216	1	0			0	0	
27847	1942	464	22	0	1701	245	0			0	0	
28013	5063	268	0	0	4795	0	0			0	0	
28152	352	51	0	0	303	2	0			0	0	
28255	517	92	36	0	445	56	0			0	0	
28349	766	50	77	0	713	74	0			0	0	
28406	1773	32	0	0	1743	2	0			0	0	
28572	442	61	8	0	513	140	0	0	0	0	0	
28732	504	290	16	0	385	187	0			0	0	
29104	4960	57	45	0	4937	79	0			0	0	
29252	1139	110	55	0	981	7	0			0	0	
29636	3712	-361	291	0	4562	780	0			0	0	
29850	305	65	4	0	303	67	0			0	0	
29944	1101	429	12	0	827	167	0			0	0	
29953	852	120	5	0	749	22	0			0	0	
