"IDRSSD"	RCFD0426	RCFD2130	RCFD2150	RCFD2651	RCFD3164	RCFD3190	RCFD4088	RCFD5372	RCFD5374	RCFD5375	RCFD5507	RCFD6164	RCFD6165	RCFDA590	RCFDB026	RCFDB569	RCFDB570	RCFDB571	RCFDF055	RCFDF056	RCFDF057	RCFDF058	RCFDF059	RCFDF060	RCFDF061	RCFDF062	RCFDF063	RCFDF065	RCFN5513	RCON0426	RCON2130	RCON2150	RCON2651	RCON3164	RCON3190	RCON4088	RCON5372	RCON5374	RCON5375	RCON5507	RCON5508	RCON5509	RCON5510	RCON5511	RCON5512	RCON6164	RCON6165	RCONA590	RCONB026	RCONB569	RCONB570	RCONB571	RCONC979	RCONF055	RCONF056	RCONF057	RCONF058	RCONF059	RCONF060	RCONF061	RCONF062	RCONF063	RCONF064	RCONF065	TEXT4087	
	OTHER IDENTIFIABLE INTANGIBLE ASSETS	INVEST. IN UNCONSOLIDATED SUBS & CO.	OTHER REAL ESTATE OWNED	FHLB ADVANCES MATURING <= 1 YEAR	MORTGAGE SERVICING ASSETS	OTHER BORROWED MONEY	IS CU WEB SITE INTERACTIVE?	DIRECT&INDIRECT INVEST IN RE VENTURE	DIRECT&INDIRECT INVEST IN RE VENTURE	ALL OTHR INVEST IN UNCONSLDTD SUBS	ALL OTHR IDENTIFIABLE INTANGBL ASSET	AGGREG AKT OF EXT OF CREDIT TO EXECS	NBR OF EXEC OFFCRSEPRIN SHAREHOLDERS	ESTMTD FAIR VAL OF MTG SERVNG ASSETS	PURCD CRD CD RLSHPS&NONMTG SRVG ASTS	DOES RPRTNG BANK SELL MUTUAL FUNDS?	ASSETS MANAGED: MUTUAL FUNDS&ANNUITY	OTHER BORR0WINGS MATURING <= 1 YEAR	FHLB ADVS:RMNG MAT/REPRNG DT 1 YR LE	FHLB ADVS:RMNG MAT/REPRNG DT 1-3 YRS	FHLB ADVS:RMNG MAT/REPRNG DT 3-5 YRS	FHLB ADVS:RMNG MAT/REPRNG DT OVR 5 Y	FHLB ADVANCES: STRUCTURED ADVANCES	OT BRWD MNY:WT RMNG MAT/REPR DT 1 YR	OT BRWD MNY:WT RMNG MAT/REPR DT 1-3 	OT BRWD MNY:WT RMNG MAT/REPR DT 3-5 	OT BRWD MNY:WT RMNG MAT/REPR DT OV 5	SECURED LIBLTIES:AMT OF	ALL OTHR RE OWNED IN FOREIGN OFFICES	OTHER IDENTIFIABLE INTANGIBLE ASSETS	INVEST. IN UNCONSOLIDATED SUBS & CO.	OTHER REAL ESTATE OWNED	FHLB ADVANCES MATURING <= 1 YEAR	MORTGAGE SERVICING ASSETS	OTHER BORROWED MONEY	IS CU WEB SITE INTERACTIVE?	DIRECT&INDIRECT INVEST IN RE VENTURE	DIRECT&INDIRECT INVEST IN RE VENTURE	ALL OTHR INVEST IN UNCONSLDTD SUBS	ALL OTHR IDENTIFIABLE INTANGBL ASSET	CONSTRCTN&LAND DEVLPMNT IN DOMS OFFC	FARMLAND IN DOMESTIC OFFICES	1-4 FMLY RESDTL PROPTS IN DOMS OFFCS	MULTIFMLY RESDTL PROPTS IN DOMS OFFC	NONFRM NONRESDTL PROPTS IN DOMS OFFC	AGGREG AKT OF EXT OF CREDIT TO EXECS	NBR OF EXEC OFFCRSEPRIN SHAREHOLDERS	ESTMTD FAIR VAL OF MTG SERVNG ASSETS	PURCD CRD CD RLSHPS&NONMTG SRVG ASTS	DOES RPRTNG BANK SELL MUTUAL FUNDS?	ASSETS MANAGED: MUTUAL FUNDS&ANNUITY	OTHER BORR0WINGS MATURING <= 1 YEAR	FORECLOSED PROPERTIES FROM	FHLB ADVS:RMNG MAT/REPRNG DT 1 YR LE	FHLB ADVS:RMNG MAT/REPRNG DT 1-3 YRS	FHLB ADVS:RMNG MAT/REPRNG DT 3-5 YRS	FHLB ADVS:RMNG MAT/REPRNG DT OVR 5 Y	FHLB ADVANCES: STRUCTURED ADVANCES	OT BRWD MNY:WT RMNG MAT/REPR DT 1 YR	OT BRWD MNY:WT RMNG MAT/REPR DT 1-3 	OT BRWD MNY:WT RMNG MAT/REPR DT 3-5 	OT BRWD MNY:WT RMNG MAT/REPR DT OV 5	SECURED LIBLTIES:AMT OF	SECURED LIBLTIES:AMT OF	URL	
37																														0	0	65	0	0	0	false	0	0	0	0	0	0	65	0	0	322	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
242																														0	0	0	612	0	2812	true	0	0	0	0	0	0	0	0	0	222	0	0	0	true	0	0	0	612	400	1100	700	0	0	0	0	0	0	0	http://www.fcbxeniaflora.com	
279																														75	252	428	6357	75	26743	true	0	0	252	0	0	0	428	0	0	294	0	75	0	true	0	0	0	6357	7500	3457	9429	0	0	0	0	0	0	0	http://www.mineolacb.com	
354																														0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	179	1	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	541	0		
439																														3835	0	16	0	0	0	true	0	0	0	3835	0	0	16	0	0	2371	1	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	www.peoplesbankga.net	
457																														0	0	80	0	0	0	false	0	0	0	0	0	0	0	0	80	390	1	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
505																														100	0	157	8660	73	21660	true	0	0	0	27	157	0	0	0	0	2551	2	73	0	true	0	0	0	16660	5000	0	0	8000	0	0	0	0	0	0	BSNB.COM	
1146																														479	0	572	0	22	24653	true	0	0	0	457	572	0	0	0	0	838	1	22	0	true	0	0	0	8500	0	0	16153	0	0	0	0	0	0	0	www.pulaskibank.com	
1155																														0	0	0	0	0	3000	true	0	0	0	0	0	0	0	0	0	7736	4	0	0	true	0	0	0	0	3000	0	0	3000	0	0	0	0	0	0	www.firststatebankandtrust.com	
1351																														0	0	160	0	0	0	false	0	0	0	0	0	0	160	0	0	587	1	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
1454																														57	0	0	0	0	0	true	0	0	0	57	0	0	0	0	0	7694	4	0	0	true	0	0	0	0	0	0	0	0	0	0	0	0	0	0	WWW.HILLTOPNATIONALBANK.COM	
1557																														0	0	0	0	0	2125	false	0	0	0	0	0	0	0	0	0	9	0	0	0	false	0	0	0	0	875	625	586	0	39	0	0	0	0	0		
1632																														0	0	0	3000	0	3000	true	0	0	0	0	0	0	0	0	0	25135	8	0	0	true	0	0	0	3000	0	0	0	0	0	0	0	0	0	0	www.seaislandbank.com	
1669																														1569	0	0	0	0	716	true	0	0	0	1569	0	0	0	0	0	2522	2	0	0	false	0	716	0	0	0	0	0	0	716	0	0	0	0	0	www.lnbparis.com	
1829																														781	0	381	10454	0	21818	true	0	0	0	781	0	0	381	0	0	1172	1	0	0	false	0	0	0	10454	503	0	10861	0	0	0	0	0	0	0	http://avbpgh.com	
1856																														0	0	0	0	0	83000	false	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	83000	0	0	0	0	0	0	0	0	0	0		
2040																														0	0	0	13160	0	21909	true	0	0	0	0	0	0	0	0	0	2021	1	0	0	false	0	0	0	13160	3449	3300	2000	0	0	0	0	0	0	0	http://www.fmnetbank.com	
2161																														0	0	0	0	0	0	true	0	0	0	0	0	0	0	0	0	1196	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	http://www.ffpnet.com	
2376																														126	4161	1314	10000	0	233197	true	0	4161	0	126	0	0	0	1158	156	28846	2	0	0	false	0	0	0	10000	10000	12681	200000	0	0	0	0	516	0	516	http://oritani.com	
2451																														96	0	0	7427	96	7978	true	0	0	0	0	0	0	0	0	0	545	2	96	0	false	0	0	0	7427	0	140	411	0	0	0	0	0	0	0	http://thunderbank.com	
2554																														0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	75	1	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
2732																														1212	0	0	0	0	461	true	0	0	0	1212	0	0	0	0	0	21792	5	0	0	true	0	0	0	0	0	0	0	0	461	0	0	0	0	461	www.albanybank.com	
2750																														0	0	29	500	0	6400	true	0	0	0	0	0	0	29	0	0	1207	3	0	0	false	0	0	0	4500	1200	0	700	0	0	0	0	0	0	0	genoanationalbank.com	
2938																														0	0	0	15500	0	15500	true	0	0	0	0	0	0	0	0	0	29031	7	0	0	true	313	0	0	15500	0	0	0	0	0	0	0	0	0	0	www.securitybank-albany.com	
3252																														0	0	146	0	0	2367	false	0	0	0	0	0	0	0	0	146	569	0	0	0	false	0	0	0	600	667	0	1000	0	100	0	0	0	0	0		
3458																														0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
3506																														5316	0	0	20000	600	110326	true	0	0	0	4716	0	0	0	0	0	14885	4	600	0	true	0	0	0	20000	0	15000	75000	0	0	0	0	326	0	0	www.interchangebank.com	
3720																														0	0	2	0	0	4330	true	0	0	0	0	0	0	0	0	2	591	1	0	0	true	0	0	0	2000	2000	0	0	0	330	0	0	0	0	330	www.bankofclarendon.com	
3953																														0	0	896	0	0	392	true	0	0	0	0	0	853	0	0	43	3958	3	0	0	false	0	0	0	0	0	0	392	0	0	0	0	0	0	0	http://www.fcbanker.com	
4138																														0	23	913	299	0	2437	true	0	0	23	0	15	0	213	685	0	4794	3	0	0	true	0	0	0	299	515	473	1150	0	0	0	0	0	0	0	www.fnblafollette.com	
4156																														0	0	132	23105	0	30105	true	0	0	0	0	0	0	132	0	0	50	0	0	0	true	0	0	0	23105	1000	6000	0	0	0	0	0	0	0	0	http://www.kanzabank.com	
4231																														0	0	147	0	0	0	false	0	0	0	0	0	0	0	0	147	899	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
4437																														0	0	0	3550	0	9993	true	0	0	0	0	0	0	0	0	0	6087	6	0	0	false	0	0	0	3550	1863	861	3719	0	0	0	0	0	0	0	https://www.fnbwv.com	
4839																														0	78	0	7000	0	27900	true	0	0	78	0	0	0	0	0	0	12246	4	0	0	false	0	0	0	7000	15900	5000	0	0	0	0	0	0	0	0	http://abcbank.net	
5005																														0	0	0	5275	0	39303	true	0	0	0	0	0	0	0	0	0	523	0	0	0	true	0	0	0	5275	7978	12002	14048	20750	0	0	0	0	0	0	WWW.STONESAV.COM	
5069																														0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	150	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
5135																														0	0	15	0	0	8000	false	0	0	0	0	5	0	10	0	0	10689	5	0	0	false	0	0	0	5000	3000	0	0	5000	0	0	0	0	0	0	http://www.fsbanks.com	
5210																														64	0	0	109614	0	180064	true	0	0	0	64	0	0	0	0	0	898	0	0	0	false	0	450	0	119614	50000	0	10000	10000	450	0	0	0	0	450	http://www.acnb.com	
5331																														0	0	0	4750	0	18438	true	0	0	0	0	0	0	0	0	0	3013	2	0	0	false	0	1188	0	4750	12500	0	0	0	1188	0	0	0	0	1188	www.hydeparkbank.net	
5461																														841	743	0	27500	0	28221	true	0	743	0	841	0	0	0	0	0	92	0	0	0	false	0	721	0	27500	0	0	0	0	721	0	0	0	0	721	www.bankbac.com	
5751																														0	0	0	0	0	0	true	0	0	0	0	0	0	0	0	0	202	0	0	0	true	0	0	0	0	0	0	0	0	0	0	0	0	0	0	http://www.kearnycountybank.com	
6039																														0	0	508	0	0	0	false	0	0	0	0	0	0	0	0	508	532	0	0	0	true	0	0	0	0	0	0	0	0	0	0	0	0	0	0	www.aebalma.com	
6057																														0	0	147	0	0	500	true	0	0	0	0	0	0	51	0	96	33	0	0	0	false	0	0	0	0	500	0	0	0	0	0	0	0	0	0	http://www.bankhale.com	
6141																														0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	113	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
6329																														0	0	262	0	0	5000	true	0	0	0	0	50	0	212	0	0	802	1	0	0	false	0	0	0	5000	0	0	0	0	0	0	0	0	0	0	WWW.ABBANK.COM	
6972																														0	0	0	23300	0	37800	true	0	0	0	0	0	0	0	0	0	3176	2	0	0	false	0	13000	0	23300	0	0	1500	0	13000	0	0	0	0	13000	http://www.firstindy.com	
7009																														0	0	0	0	0	0	true	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	http://www.bessemer.com	
7045																														0	0	0	0	0	0	true	0	0	0	0	0	0	0	0	0	1560	1	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	www.tpbbancorp.com	
7157																														0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	285	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
7456																														0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	222	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	897	0	www.bankofhartington.com	
