"IDRSSD"	RIAD0497	RIAD4042	RIAD4136	RIAD4141	RIAD4146	RIAD4461	RIAD4462	RIAD4463	RIAD4464	RIAD4467	RIAD4468	RIAD4469	RIAD4486	RIAD4487	RIAD4488	RIAD4489	RIAD4491	RIAD4498	RIAD4499	RIAD4521	RIAD4522	RIAD4769	RIAD8403	RIADB527	RIADC013	RIADC014	RIADC015	RIADC016	RIADC017	RIADC018	RIADF229	RIADF465	TEXT4461	TEXT4462	TEXT4463	TEXT4464	TEXT4467	TEXT4468	TEXT4469	TEXT4487	TEXT4489	TEXT4498	TEXT4499	TEXT4521	TEXT4522	TEXT4769	TEXTB527	
	ADVERTISING & MARKETING EXPENSES	RENT & OTHER INCOME FR OTHR REAL EST	DIRECTORS FEES	LEGAL FEES & EXPENSES	FDIC DEPOSIT INSURANCE ASSESSMENTS	1ST ITEMIZED AMT OV25% OF ITEM 4078	2ND ITEMIZED AMT OV25% OF ITEM 4078	3RD ITEMIZED AMT OV25% OF ITEM 4078	1ST ITEMIZED AMT OV25% OF ITEM 4092	2ND ITEMIZED AMT OV25% OF ITEM 4092	3RD ITEMIZED AMT OV25% OF ITEM 4092	1ST ITEMIZED AMT FOR ITEM 4310	1ST ITEMIZED AMT FOR ITEM 4315	2ND ITEMIZED AMT FOR ITEM 4310	2ND ITEMIZED AMT FOR ITEM 4315	3RD ITEMIZED AMT FOR ITEM 4310	3RD ITEMIZED AMT FOR ITEM 4315	1ST ITMZD TRANSACTIONS OF ITEM 4415	2ND ITMZD TRANSACTIONS OF ITEM 4415	1ST ITEMIZED ADJUSTMTS TO ITEM 4815	2ND ITEMIZED ADJUSTMTS TO ITEM 4815	OTHER EXPLANATIONS	POSTAGE EXPENSE	RESTATMENTS DUE TO CORRECTIONS (2ND)	INCM&FEES FROM PRNTNG&SALE OF CHECKS	EARNINGS ON CSV OF LIFE INSURANCE	SAFE DEPOSIT BOX RENT	INCM&FEES FRM AUTMTD TELL MACH(ATMS)	DATA PROCESSING EXPENSES	PRINTING, STATIONERY, AND SUPPLIES	NET CHANGE FAIR VAL UNDR FAIR VAL OP	RESTATMENTS DUE TO CORRECTIONS 1ST	1ST ITEMIZED AMT OV25% OF ITEM 4078	2ND ITEMIZED AMT OV25% OF ITEM 4078	3RD ITEMIZED AMT OV25% OF ITEM 4078	1ST ITEMIZED AMT OV25% OF ITEM 4092	2ND ITEMIZED AMT OV25% OF ITEM 4092	3RD ITEMIZED AMT OV25% OF ITEM 4092	1ST ITEMIZED AMT FOR ITEM 4310	2ND ITEMIZED AMT FOR ITEM 4310	3RD ITEMIZED AMT FOR ITEM 4310	1ST ITMZD TRANSACTIONS OF ITEM 4415	2ND ITMZD TRANSACTIONS OF ITEM 4415	1ST ITEMIZED ADJUSTMTS TO ITEM 4815	2ND ITEMIZED ADJUSTMTS TO ITEM 4815	OTHER EXPLANATIONS	RESTATMENTS DUE TO CORRECTIONS (2ND)	
37	6	0	26	14	4	11	6	4	40	13	12	0	0	0	0	0	0	0	0	0	0	false	18	0	4	0	6	0	68	37	0	0	exchange	network fees	cd penalty on early withdrawal	examination fees (internal audits)	clearing house fees	telephone										
242	0	0	31	0	0	0	0	0	11	10	8	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	6	2	0	0	0	0				ACCOUNTING AND AUDITING	CORRESPONDENT BANK CHARGES	OBRE ASSESSMENTS										
279	21	1	51	33	5	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	false	26	0	13	0	3	47	113	29	0	0				AUDITING EXPENSES												
354	4	0	5	0	1	0	0	0	27	8	5	0	0	0	0	0	0	0	0	0	0	false	2	0	0	0	1	0	28	3	0	0				MISC.	INSURANCE	AUDITS										
439	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0																
457	15	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	10	0	0	0	10	0	0																
505	103	0	0	0	0	105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	338	0	0	0	DEBIT CARD INTERCHANGE INCOME															
1155	183	0	73	12	8	26	0	0	43	0	0	0	0	0	0	0	0	1000	0	0	0	false	42	0	12	76	9	75	152	48	0	0	Exchange			Macha & Bank Service Charges						Capital Injection From Parent Holding Company to Paid-In-Surplus						
1351	12	0	18	6	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	23	0	0	0	6	24	0	13	0	0																
