"IDRSSD"	RCFD1578	RCFD1752	RCFD2148	RCFD2160	RCFD2166	RCFD2168	RCFD3549	RCFD3550	RCFD3551	RCFDA519	RCFDA520	RCFDB556	RCFDC009	RCFDC010	RCFDC436	RCFDJ448	RCFDJ449	RCON1578	RCON1752	RCON2148	RCON2160	RCON2166	RCON2168	RCON3549	RCON3550	RCON3551	RCONA519	RCONA520	RCONB556	RCONC009	RCONC010	RCONC436	RCONJ448	RCONJ449	TEXT3549	TEXT3550	TEXT3551	
	REPOSSESSED PERSONAL PROPERTY	HISTCL COST OF ALL OTH AVL-FOR-SALE	NET DEFERRED TAX ASSETS	OTHER ASSETS	PREPAID EXPENSES	ALL OTHER ASSETS	1ST ITM AMT FOR OTH AS OV25% OF 2160	2ND ITM AMT FOR OTH AS OV25% OF 2160	3RD ITM AMT FOR OTH AS OV25% OF 2160	INT-ONLY STRIPS RCVBL ON:MORTG LOANS	INT-ONLY STRPS RCVBL ON:OT FIN ASSTS	ACCRUED INTEREST RECEIVABLE	CASH SURRENDER VAL OF LIFE INSURANCE	DERIVATIVES W/POSITIVE FAIR VALUE	RETAINED INT IN ACCURED INTEREST	FDIC LOSS-SHARING INDEMINIFICATION A	PREPAID DEPOSIT INSURANCE ASSESSMENT	REPOSSESSED PERSONAL PROPERTY	HISTCL COST OF ALL OTH AVL-FOR-SALE	NET DEFERRED TAX ASSETS	OTHER ASSETS	PREPAID EXPENSES	ALL OTHER ASSETS	1ST ITM AMT FOR OTH AS OV25% OF 2160	2ND ITM AMT FOR OTH AS OV25% OF 2160	3RD ITM AMT FOR OTH AS OV25% OF 2160	INT-ONLY STRIPS RCVBL ON:MORTG LOANS	INT-ONLY STRPS RCVBL ON:OT FIN ASSTS	ACCRUED INTEREST RECEIVABLE	CASH SURRENDER VAL OF LIFE INSURANCE	DERIVATIVES W/POSITIVE FAIR VALUE	RETAINED INT IN ACCURED INTEREST	FDIC LOSS-SHARING INDEMINIFICATION A	PREPAID DEPOSIT INSURANCE ASSESSMENT	1ST ITM AMT FOR OTH AS OV25% OF 2160	2ND ITM AMT FOR OTH AS OV25% OF 2160	3RD ITM AMT FOR OTH AS OV25% OF 2160	
37																	CONF	0	148	243	1587	27	398	109	55	0	0	0	798	0	0	0	0	CONF	Fed Inc Taxes Pay	DDA Non Post		
242																	CONF	0	212	0	526	16	114	0	0	0	0	0	200	0	0	0	0	CONF				
279																	CONF	21	1830	330	3442	117	399	0	0	0	0	0	810	73	0	0	0	CONF				
354																	CONF	0	4	80	198	0	31	0	0	0	0	0	83	0	0	0	0	CONF				
457																	CONF	0	244	0	1211	0	124	0	0	0	0	0	311	532	0	0	0	CONF				
505																	CONF	0	3780	0	10931	1644	5893	2153	0	0	0	0	1258	0	0	0	0	CONF	PREPAID PENSION			
1155																	CONF	0	1148	0	6973	42	785	0	0	0	0	0	1192	3848	0	0	0	CONF				
1351																	CONF	72	0	0	1885	66	459	9	0	0	0	0	1426	0	0	0	0	CONF	computer software			
1454																	CONF	0	1092	0	10401	834	2255	0	0	0	0	0	2536	4518	0	0	0	CONF				
1557																	CONF	0	147	0	1119	55	178	112	0	0	0	0	794	0	0	0	0	CONF	FDIC ASSESMENT			
1669																	CONF	21	1179	372	10488	70	708	0	0	0	0	0	1755	6474	0	0	0	CONF				
1829																	CONF	0	2738	1833	9375	0	3503	950	0	0	0	0	1301	0	0	0	0	CONF	Investment receivable			
1856																	CONF	0	2725	0	4205	516	516	0	0	0	0	0	964	0	0	0	0	CONF				
2040																	CONF	0	1546	405	7318	439	2123	72	432	36	0	0	789	2455	0	0	0	CONF	Computer Software Depreciation	Accrued Taxes	Generation Title	
2161																	CONF	0	786	0	4668	130	481	0	0	0	0	114	721	2566	0	0	0	CONF				
2376																	CONF	0	30756	27154	106707	359	8374	2040	0	0	0	0	9335	31088	0	0	0	CONF	Suspense and clearning			
2554																	CONF	0	0	0	179	12	77	36	0	0	0	0	102	0	0	0	0	CONF	software			
2732																	CONF	0	174	1122	5879	80	2259	313	52	0	0	0	1974	350	0	0	0	CONF	Fed Inc Tax - Current	Leaehold Purch		
2750																	CONF	0	541	0	2679	245	428	0	0	0	0	0	885	825	0	0	0	CONF				
3252																	CONF	0	322	0	3877	438	1311	0	0	0	0	0	2244	0	0	0	0	CONF				
3458																	CONF	0	182	0	537	53	155	0	0	0	0	0	200	0	0	0	0	CONF				
3720																	CONF	0	570	396	6401	281	751	0	0	0	0	0	1094	3590	0	0	0	CONF				
3953																	CONF	0	494	0	2995	137	660	0	0	0	0	0	950	891	0	0	0	CONF				
4138																	CONF	0	1058	555	3486	0	1216	0	0	0	0	0	657	0	0	0	0	CONF				
4156																	CONF	0	2541	0	7976	0	897	0	0	0	0	0	1176	3362	0	0	0	CONF				
4231																	CONF	0	0	500	2073	0	523	0	0	0	0	0	1050	0	0	0	0	CONF				
4437																	CONF	0	1124	975	8191	0	1106	0	0	0	0	0	1067	3919	0	0	0	CONF				
4839																	CONF	0	2075	0	4613	185	1169	0	0	0	0	0	1369	0	0	0	0	CONF				
5005																	CONF	0	4637	4399	19281	423	1282	407	372	0	0	0	1085	7878	0	0	0	CONF	SERP	ACCOUNTS RECEIVABLE		
5069																	CONF	0	0	768	8313	0	4414	2332	0	0	0	0	3131	0	0	0	0	CONF	Accounts Receivable			
5135																	CONF	14	1501	1023	10763	164	1292	0	0	0	0	0	3498	3449	0	0	0	CONF				
5210																	CONF	0	8420	1776	52992	0	11936	5841	0	0	0	0	3417	27443	0	0	0	CONF	Prepaid pension asset			
5331																	CONF	0	3814	4575	12327	0	3188	66	1565	0	0	0	441	309	0	0	0	CONF	receivables	accrued interest on securities purchased		
5461																	CONF	0	1968	0	12514	0	7973	3692	2000	0	0	0	1859	714	0	0	0	CONF	QZAB	PFRD-SR HOUSING CRIME PREVENTION FOUNDATION		
5751																	CONF	4	304	0	3967	41	260	0	0	0	0	0	876	2527	0	0	0	CONF				
6039																	CONF	0	161	161	2715	0	1493	305	788	0	0	0	619	281	0	0	0	CONF	DUE FROM USDA	DUE FROM HOLDING COMPANY		
6141																	CONF	0	0	20	578	63	213	0	0	0	0	0	345	0	0	0	0	CONF				
6329																	CONF	679	769	4094	15801	503	3287	0	0	0	0	0	3158	4493	0	0	0	CONF				
6972																	CONF	0	4933	0	21314	0	6210	0	0	0	0	0	3820	6351	0	0	0	CONF				
7009																	CONF	0	0	199	9670	0	5959	3414	0	0	0	0	3512	0	0	0	0	CONF	Receivable			
7045																	CONF	0	261	0	1988	166	815	0	0	0	0	0	912	0	0	0	0	CONF				
7157																	CONF	0	23	0	704	0	247	67	0	0	0	0	434	0	0	0	0	CONF	lease contracts receivable			
7456																	CONF	0	304	0	1023	0	327	129	0	0	0	0	392	0	0	0	0	CONF	Prepaid Health Insurance			
7634																	CONF	0	384	0	1034	199	284	78	0	0	0	0	366	0	0	0	0	CONF	LATE FEES RECEIVABLE			
8033																	CONF	0	1526	0	3991	60	542	132	0	0	0	0	1006	917	0	0	0	CONF	OTHER ASSETS			
8462																	CONF	0	21	0	1054	0	391	0	0	0	0	0	642	0	0	0	0	CONF				
8631																	CONF	0	152	145	2598	36	246	0	0	0	0	0	144	1911	0	0	0	CONF				
9357																	CONF	0	3229	0	5157	0	1002	0	0	0	0	0	926	0	0	0	0	CONF				
9553																	CONF	0	783	0	4410	273	999	500	0	0	0	0	1749	879	0	0	0	CONF	Nebraska Fund XV - Tax Credits			
9807																	CONF	0	20135	0	126415	926	16789	11410	1500	0	0	0	9448	80043	1212	0	0	CONF	SETTLEMENT CLAIM	PERFORMANCE BOND (MADISON CROSSING)		
9955																	CONF	0	830	0	2382	0	643	0	0	0	0	0	909	0	0	0	0	CONF				
10250																	CONF	80	1305	7134	12720	470	2431	313	0	0	0	0	1596	254	0	0	0	CONF	Computer Software			
10849																	CONF	0	1623	1116	7581	152	2833	0	0	0	0	0	1040	969	435	0	0	CONF				
10858																	CONF	0	1446	0	6285	0	2157	0	0	0	0	0	2682	0	0	0	0	CONF				
11145																	CONF	9	1561	333	6351	107	867	0	0	0	0	0	449	3141	0	0	0	CONF				
11640																	CONF	0	2963	854	14896	950	1433	0	0	0	0	0	2891	6755	0	0	0	CONF				
11837																	CONF	0	548	407	2596	0	946	332	0	0	0	0	695	0	0	0	0	CONF	Deferred Fed Taxes on Sec Valuation			
12030																	CONF	0	4250	1948	12258	1034	5583	0	0	0	0	0	35	442	0	0	0	CONF				
12142																	CONF	518	740	198	3703	264	1560	419	0	0	0	0	1205	0	0	0	0	CONF	prepaid FDIC assessment			
12245																	CONF	0	416	71	1716	215	798	0	0	0	0	0	431	0	0	0	0	CONF				
12311	0	308722	556009	3375260	0	888155	0	0	0	0	0	165962	1456412	0	0	0	CONF		308722															CONF				
12647																	CONF	0	310	0	1561	0	573	0	0	0	0	0	678	0	0	0	0	CONF				
12656																	CONF	0	29	31	321	37	138	46	0	0	0	0	123	0	0	0	0	CONF	PREPAID INCOME TAXES			
12937																	CONF	0	862	0	2217	151	650	0	0	0	0	0	705	0	0	0	0	CONF				
12946																	CONF	0	2543	0	19940	0	3163	0	0	0	0	0	3216	11018	0	0	0	CONF				
12955																	CONF	0	450	0	1503	101	647	0	0	0	0	0	406	0	0	0	0	CONF				
13037																	CONF	0	493	2129	3765	0	652	0	0	0	0	0	491	0	0	0	0	CONF				
13103																	CONF	0	12036	9089	35680	1592	6369	0	0	0	0	0	3678	4508	0	0	0	CONF				
13251																	CONF	0	144	0	888	0	134	0	0	0	0	0	303	307	0	0	0	CONF	year end market adjustment correction mad 1-3-11			
13457																	CONF	0	0	0	1751	0	1	0	0	0	0	0	448	1302	0	0	0	CONF				
14052																	CONF	0	247	209	2367	69	376	0	0	0	0	0	221	1314	0	0	0	CONF				
14155																	CONF	13	558	0	3920	158	668	0	0	0	0	0	1081	1613	4	0	0	CONF				
14454																	CONF	0	122	0	378	0	124	0	0	0	0	0	132	0	0	0	0	CONF				
14650																	CONF	0	68	100	1639	56	131	0	0	0	0	0	113	1227	0	0	0	CONF				
14753																	CONF	0	9	0	970	0	527	0	0	0	0	0	434	0	0	0	0	CONF				
14865																	CONF	0	560	1380	10248	0	1920	0	0	0	0	0	2406	3982	0	0	0	CONF				
14977																	CONF	9	208	0	901	37	160	0	0	0	0	0	412	121	0	0	0	CONF				
16458																	CONF	0	801	0	2926	0	769	0	0	0	0	0	1356	0	0	0	0	CONF				
16551																	CONF	0	2234	746	6543	57	710	0	0	0	0	0	828	2025	0	0	0	CONF				
16748																	CONF	0	293	0	2350	0	236	0	0	0	0	0	415	1406	0	0	0	CONF				
16944																	CONF	0	0	0	394	42	167	0	0	0	0	0	227	0	0	0	0	CONF				
16953																	CONF	0	0	0	413	10	92	0	0	0	0	0	321	0	0	0	0	CONF				
17110																	CONF	0	219	0	2900	0	2534	1273	0	0	0	0	147	0	0	0	0	CONF	INVESTMENT ADVISORY/TRUSTEE FEES RECEIVABLE			
17147																	CONF	140	33884	37327	210624	12062	24863	3696	0	0	0	0	18655	95895	3718	0	0	CONF	Tax refundable			
17259																	CONF	0	369	0	2504	105	224	0	0	0	0	0	409	1502	0	0	0	CONF				
17464																	CONF	0	10472	9201	69791	7052	12282	0	0	0	0	0	4537	33299	0	0	0	CONF				
17950																	CONF	0	1007	215	4653	96	814	0	0	0	0	0	2169	448	0	0	0	CONF				
18050																	CONF	0	716	0	3543	0	1294	0	0	0	0	0	1533	0	0	0	0	CONF				
