"IDRSSD"	RCFD0426	RCFD2150	RCFD2651	RCFD3164	RCFD3190	RCFD4088	RCFD5507	RCFD6164	RCFD6165	RCFDA590	RCFDB026	RCFDB569	RCFDB570	RCFDB571	RCFDF055	RCFDF056	RCFDF057	RCFDF058	RCFDF059	RCFDF060	RCFDF061	RCFDF062	RCFDF063	RCFDF065	RCFDJ452	RCFDJ453	RCFDJ461	RCFDJ462	RCFN5513	RCON0426	RCON2150	RCON2651	RCON3164	RCON3190	RCON4088	RCON5507	RCON5508	RCON5509	RCON5510	RCON5511	RCON5512	RCON6164	RCON6165	RCONA590	RCONB026	RCONB569	RCONB570	RCONB571	RCONC979	RCONF055	RCONF056	RCONF057	RCONF058	RCONF059	RCONF060	RCONF061	RCONF062	RCONF063	RCONF064	RCONF065	RCONG463	RCONG464	RCONJ452	RCONJ453	RCONJ461	RCONJ462	TEXT4087	
	OTHER IDENTIFIABLE INTANGIBLE ASSETS	OTHER REAL ESTATE OWNED	FHLB ADVANCES MATURING <= 1 YEAR	MORTGAGE SERVICING ASSETS	OTHER BORROWED MONEY	IS CU WEB SITE INTERACTIVE?	ALL OTHR IDENTIFIABLE INTANGBL ASSET	AGGREG AKT OF EXT OF CREDIT TO EXECS	NBR OF EXEC OFFCRSEPRIN SHAREHOLDERS	ESTMTD FAIR VAL OF MTG SERVNG ASSETS	PURCD CRD CD RLSHPS&NONMTG SRVG ASTS	DOES RPRTNG BANK SELL MUTUAL FUNDS?	ASSETS MANAGED: MUTUAL FUNDS&ANNUITY	OTHER BORR0WINGS MATURING <= 1 YEAR	FHLB ADVS:RMNG MAT/REPRNG DT 1 YR LE	FHLB ADVS:RMNG MAT/REPRNG DT 1-3 YRS	FHLB ADVS:RMNG MAT/REPRNG DT 3-5 YRS	FHLB ADVS:RMNG MAT/REPRNG DT OVR 5 Y	FHLB ADVANCES: STRUCTURED ADVANCES	OT BRWD MNY:WT RMNG MAT/REPR DT 1 YR	OT BRWD MNY:WT RMNG MAT/REPR DT 1-3 	OT BRWD MNY:WT RMNG MAT/REPR DT 3-5 	OT BRWD MNY:WT RMNG MAT/REPR DT OV 5	SECURED LIBLTIES:AMT OF	AMT FDIC LS SHARE AGREEMENT LN AND L	AMT FDIC LS SHARE AGREEMENT OTHR RE 	AMT FDIC LS SHARE AGREEMENT DEBT SCT	AMT FDIC LS SHARE AGREEMENT OTHR ASS	ALL OTHR RE OWNED IN FOREIGN OFFICES	OTHER IDENTIFIABLE INTANGIBLE ASSETS	OTHER REAL ESTATE OWNED	FHLB ADVANCES MATURING <= 1 YEAR	MORTGAGE SERVICING ASSETS	OTHER BORROWED MONEY	IS CU WEB SITE INTERACTIVE?	ALL OTHR IDENTIFIABLE INTANGBL ASSET	CONSTRCTN&LAND DEVLPMNT IN DOMS OFFC	FARMLAND IN DOMESTIC OFFICES	1-4 FMLY RESDTL PROPTS IN DOMS OFFCS	MULTIFMLY RESDTL PROPTS IN DOMS OFFC	NONFRM NONRESDTL PROPTS IN DOMS OFFC	AGGREG AKT OF EXT OF CREDIT TO EXECS	NBR OF EXEC OFFCRSEPRIN SHAREHOLDERS	ESTMTD FAIR VAL OF MTG SERVNG ASSETS	PURCD CRD CD RLSHPS&NONMTG SRVG ASTS	DOES RPRTNG BANK SELL MUTUAL FUNDS?	ASSETS MANAGED: MUTUAL FUNDS&ANNUITY	OTHER BORR0WINGS MATURING <= 1 YEAR	FORECLOSED PROPERTIES FROM	FHLB ADVS:RMNG MAT/REPRNG DT 1 YR LE	FHLB ADVS:RMNG MAT/REPRNG DT 1-3 YRS	FHLB ADVS:RMNG MAT/REPRNG DT 3-5 YRS	FHLB ADVS:RMNG MAT/REPRNG DT OVR 5 Y	FHLB ADVANCES: STRUCTURED ADVANCES	OT BRWD MNY:WT RMNG MAT/REPR DT 1 YR	OT BRWD MNY:WT RMNG MAT/REPR DT 1-3 	OT BRWD MNY:WT RMNG MAT/REPR DT 3-5 	OT BRWD MNY:WT RMNG MAT/REPR DT OV 5	SECURED LIBLTIES:AMT OF	SECURED LIBLTIES:AMT OF	BK ACT AS TR CUST IRA, HSA, & OTHR?	BK CUST OTHR SRVC SL PRCH SCTY?	AMT FDIC LS SHARE AGREEMENT LN AND L	AMT FDIC LS SHARE AGREEMENT OTHR RE 	AMT FDIC LS SHARE AGREEMENT DEBT SCT	AMT FDIC LS SHARE AGREEMENT OTHR ASS	URL	
37																														0	100	0	0	0	true	0	0	0	100	0	0	338	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false	0	0	0	0	http://www.bankofhancock.com	
242																														0	0	0	0	4847	true	0	0	0	0	0	0	278	0	0	0	true	0	0	0	200	1440	807	1650	0	750	0	0	0	0	750	true	false	0	0	0	0	http://www.fcbxeniaflora.com	
279																														41	0	12750	41	26792	true	0	0	0	0	0	0	925	0	41	0	true	0	0	0	13309	6037	0	7446	0	0	0	0	0	0	0	false	false	0	0	0	0	http://www.mineolacb.com	
354																														0	0	0	0	0	true	0	0	0	0	0	0	315	2	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	true	0	0	0	0	http://www.bisonstatebank.com	
457																														0	25	0	0	2500	true	0	0	0	0	0	25	1068	2	0	0	false	0	0	0	0	500	1600	400	0	0	0	0	0	0	0	true	false	0	0	0	0	www.lowrystate.com	
505																														118	736	0	118	45500	true	0	0	0	359	0	377	2531	2	118	0	true	0	0	0	0	14000	21000	10500	0	0	0	0	0	0	0	true	true	0	0	0	0	www.bsnb.com	
1155																														0	2956	0	0	0	true	0	2298	0	418	0	240	8297	5	0	0	true	0	0	0	0	0	0	0	0	0	0	0	0	0	0	true	false	0	0	0	0	www.firststatebankandtrust.com	
1351																														0	220	0	0	0	true	0	0	0	220	0	0	1334	1	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false	0	0	0	0	bankofgrandin.net	
1454																														0	0	0	0	0	true	0	0	0	0	0	0	50993	2	0	0	true	0	0	0	0	0	0	0	0	0	0	0	0	0	0	true	true	0	0	0	0	www.hilltopnationalbank.com	
1557																														0	0	0	0	1783	true	0	0	0	0	0	0	12	0	0	0	false	0	0	0	0	0	1620	0	0	163	0	0	0	0	163	true	false	0	0	0	0	www.fstbanc.com	
1669																														865	0	0	0	625	true	865	0	0	0	0	0	1643	1	0	0	false	0	625	0	0	0	0	0	0	625	0	0	0	0	0	false	false	0	0	0	0	www.lnbparis.com	
1829																														483	40	3000	0	27507	true	483	0	0	40	0	0	2006	2	0	0	false	0	0	0	3000	18573	5934	0	0	0	0	0	0	0	0	true	false	0	0	0	0	http://avbpgh.com	
1856																														0	0	0	0	54000	false	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	54000	0	0	0	0	0	0	0	false	false	0	0	0	0		
2040																														0	27	0	0	20000	true	0	0	0	27	0	0	1041	1	0	0	false	0	0	0	0	13000	1000	6000	5000	0	0	0	0	0	0	false	false	0	0	0	0	http://www.fmnetbank.com	
2161																														0	105	0	0	0	true	0	22	0	83	0	0	1055	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false	0	0	0	0	http://www.lamarnational.com	
2376																														0	7284	160995	0	652054	true	0	1935	0	319	1182	3848	40728	2	0	0	false	0	0	0	160995	87500	118185	255000	400000	0	0	30374	0	0	30374	true	false	0	0	0	0	http://oritani.com	
2554																														0	0	0	0	0	true	0	0	0	0	0	0	72	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	true	false	0	0	0	0	http://www.sbmarietta.com	
2732																														1112	714	0	0	358	true	1112	0	0	0	0	714	31336	6	0	0	true	0	0	0	0	0	0	0	0	358	0	0	0	0	358	true	true	0	0	0	0	www.albanybank.com	
2750																														0	175	1000	0	6200	true	0	175	0	0	0	0	2732	2	0	0	false	0	0	0	5500	700	0	0	0	0	0	0	0	0	0	true	false	0	0	0	0	www.genoanationalbank.com	
3252																														0	0	0	0	3502	true	0	0	0	0	0	0	935	0	0	0	false	0	0	0	0	1000	0	2500	0	2	0	0	0	0	0	false	false	0	0	0	0	http://www.fnbgordon.com	
3458																														0	175	0	0	0	true	0	175	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	true	false	0	0	0	0	www.fbgconline.com	
3720																														0	141	0	0	5524	true	0	0	0	0	0	141	1587	1	0	0	true	0	524	0	0	0	5000	0	0	524	0	0	0	0	524	false	false	0	0	0	0	BankOfClarendon.com	
3953																														0	2701	4300	0	4595	true	0	0	0	2701	0	0	4977	4	0	0	false	0	0	0	4300	0	0	295	0	0	0	0	0	0	0	false	false	0	0	0	0	www.fcbanker.com	
4138																														1098	2772	18	0	1183	true	1098	523	0	1314	0	935	1592	1	0	0	true	0	0	0	18	180	5	980	0	0	0	0	0	0	0	false	false	0	0	0	0	www,fnblafollette.com	
4156																														0	388	0	0	15000	true	0	279	0	109	0	0	132	0	0	0	true	0	0	0	0	7000	8000	0	0	0	0	0	0	0	0	false	false	0	0	0	0	http://www.kanzabank.com	
4231																														0	3784	0	0	0	false	0	0	0	0	0	3784	4274	2	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	true	false	0	0	0	0	http://www.fmbanksylvania.com	
4437																														0	2386	440	0	4158	true	0	0	0	2326	0	60	8198	4	0	0	false	0	0	0	440	900	725	2093	0	0	0	0	0	0	0	true	false	0	0	0	0	www.fnbwvva.com	
4839																														0	7276	0	0	19000	true	0	1481	0	516	1008	4271	18743	6	0	0	false	0	0	0	0	3000	16000	0	0	0	0	0	0	0	0	true	true	0	0	0	0	http://abcbank.net	
5005																														689	10301	13701	0	55760	true	689	8200	0	1166	0	935	218	0	0	0	true	0	0	0	13701	20077	5482	16500	25500	0	0	0	0	0	0	true	false	0	0	0	0	WWW.STONESAV.COM	
