"IDRSSD"	RCFDF236	RCFDF237	RCFDF238	RCFDF239	RCFNF234	RCFNF235	RCON5597	RCONA545	RCONF045	RCONF046	RCONF047	RCONF048	RCONF049	RCONF050	RCONF051	RCONF052	RCONF236	RCONF237	RCONF238	RCONF239	RCONG167	RCONG168	TEXTA545	
	TOTAL DEP LIABILITIES BEFORE EXCLUSI	TOTAL ALLOWABLE EXCLUSIONS INCLD FOR	TOTAL DAILY AVG FOR DEP LIABILITY EX	TOTAL DAILY AVG ALLOWABLE EXCLS	TOTAL FOR DEP INCLUDED IN B	TOTAL DAILY AVG FOR DEP INCLUDED IN 	ESTIMATE OF UNINSURED DEPOSITS	PB/PSA FDIC CERTIFICATE NUMBER	AMT RETIRE DEP ACCNT $250K OR LESS	NBR RETIRE DEP ACCNT $250K OR LESS	AMT RETIREMT DEP ACCTS MOR THAN $250	NBR RETIRE DEP ACCNT MOR THAN $250K	AMT OF DEP ACCNT $250K OR LESS	NBR OF DEP ACCNTS OF $250K OR LESS	AMT OF DEP ACCNT MORE THAN $250K	NBR OF DEP ACCNT GT $250K	TOTAL DEP LIABILITIES BEFORE EXCLUSI	TOTAL ALLOWABLE EXCLUSIONS INCLD FOR	TOTAL DAILY AVG FOR DEP LIABILITY EX	TOTAL DAILY AVG ALLOWABLE EXCLS	AMT NONINT ACTS GE 250K	NBR NONINT ACT GE 250K	PB/PSA FDIC CERTIFICATE NUMBER	
37								0	4065		0	0	45188		16506	90	65759	0						
242								0	1421		0	0	16530		6898	41	24849	0			266	1		
279								0	10904		409	1	61959		19483	139	92755	0			485	1		
354								0	0		0	0	5691		1647	7	7338	0			0	0		
457								0	982		0	0	18209		5522	39	24713	0			0	0		
505								0	6728		258	1	140089		113987	352	261062	0			17051	27		
1155								0	11217		334	1	87192		50797	166	149540	0	145008	0	11349	14		
1351								0	7038		606	1	37252		68501	297	113397	0						
1454								0	18730		536	2	205619		192490	583	417375	0			72984	68		
1557								0	1880		0	0	21583		11229	52	34692	0						
1632								0	31615		4448	13	358454		260276	1041	654793	0	663183	0	23443	31		
1669								0	11523		0	0	110907		73647	211	196077	0			8934	20		
1829								0	18854		4113	7	193493		79529	371	295989	0			0	0		
1856								0	20		0	0	120080		26973	23	147072	0			0	0		
2040								0	8907		0	0	110040		36659	145	155605	0	156500	0	7810	8		
2161								0	6789		335	1	47355		42697	186	97176	0						
2376							92800	0	58533		586	2	585177		251121	1590	895417	0	824969	0	12729	14		
2451								0	623		0	0	29089		4849	28	34561	0			0	0		
2554								0	86		0	0	3891		5059	23	9099	61			0	0		
2732								0	9972		551	2	142342		281941	676	434806	0			15532	32		
2750								0	1922		0	0	22209		16708	77	40839	0						
2938								0	7899		1381	4	169674		183796	608	362750	0	396237	0	15407	29		
3252								0	5516		0	0	36478		77936	134	119930	0			552	1		
3458								0	487		0	0	13018		9275	35	22780	0			0	0		
3720								0	5531		873	3	93112		43282	237	142798	0			1048	2		
3953								0	339		0	0	54455		52627	248	107421	0			6263	9		
4138								0	10422		1045	4	98792		73182	352	183724	282			2349	6		
4156								0	6008		260	1	80492		47942	158	135295	593			3000	6		
4231								0	11561		5256	14	46693		47179	207	110689	0			0	0		
4437								0	9130		628	2	116493		66259	353	192511	0			6399	13		
4839								0	12788		2796	3	124142		102250	405	242010	34			6218	11		
5005								0	22424		291	1	196226		122883	665	341824	0			5405	12		
5069								0	817		0	0	134672		257535	811	393024	0						
5135								0	11090		832	3	93185		147618	329	252725	0			34266	34		
5210								0	56471		1167	4	499308		137081	701	694027	0			13468	34		
5331								0	7805		0	0	137870		74638	367	220313	0			6139	6		
5461								0	4664		0	0	109783		243946	690	358393	0			46729	88		
5751								0	4895		0	0	31333		58998	144	95226	0			7547	11		
6039								0	7712		311	1	42438		22437	78	72898	0			2012	5		
6141								0	970		0	0	19260		21228	53	41458	0						
6329								0	12117		1870	5	226488		147980	768	388455	0						
6972								0	28658		260	1	363720		409209	966	801847	0			80569	95		
7009								0	427		21329	7	56615		541800	736	620171	0			29659	4		
7045								0	4288		868	2	50920		50800	123	106876	0						
7157								0	2867		0	0	20539		10345	36	33912	161			0	0		
7456								0	2295		0	0	27339		14687	51	44321	0			556	2		
7634								0	3269		687	2	36604		31681	88	72241	0			0	0		
8033								0	2580		0	0	47569		38169	128	88318	0						
8462								0	3527		0	0	31601		72258	203	107386	0			12407	17		
8631								0	3055		252	1	28470		15884	93	47661	0			2706	4		
9357								0	1204		317	1	41622		169727	402	212870	0			34242	61		
9553								0	7137		368	1	35958		23718	96	67181	0			4888	6		
9807							447785	0	78571		5256	15	1018824		834828	2783	1937479	0	1923731	0	131945	135		
9955								0	2182		0	0	44091		29700	107	75973	0			1610	4		
10157								0	1772		0	0	30475		16360	66	48607	0			2711	6		
10250								0	44980		3340	9	211747		124410	516	384477	0			8861	21		
10849								0	8741		0	0	130880		112553	496	252174	0			11001	11		
10858								0	9165		389	1	201571		141967	580	353092	0			9662	24		
11145								0	6569		1456	3	71957		49733	209	129715	0			3127	5		
11640								0	10537		1004	3	90965		115153	308	217658	0			13122	13		
11837								0	3808		0	0	38378		42756	104	84942	0			0	0		
12030								0	23292		900	3	186455		98686	471	309333	0			4812	13		
12142								0	7382		0	0	59597		59909	242	126888	0			6359	14		
12245								0	5241		424	1	55398		26662	137	87725	0			636	2	no	
12311	44666744	7455120	39580964	2911525	7455120	2911525	12817213	0	1544980		27341	82	21170884		14468419	38962					2496865	2649		
12647								0	4346		392	1	27297		39942	107	71977	0			6538	14		
12656								0	487		0	0	9225		2534	16	12246	0			0	0		
12937								0	3933		2136	3	47405		110531	225	164005	0			0	0		
12946								0	28346		2853	7	233017		249561	733	513777	0			25093	43		
12955								0	5690		0	0	45845		53267	125	104802	0			0	0		
13037								0	8662		298	1	98094		31506	211	138560	0			1700	6		
13103							203911	0	52263		3752	11	393979		332289	1264	782283	0	777751	0	40091	78		
13251								0	2047		564	1	15548		14531	69	32690	0						
13457								0	1042		0	0	9013		4736	27	14791	0						
14052								0	2717		792	2	36417		22569	106	62495	0			312	1		
14155								0	5155		0	0	57676		25764	108	88595	0			690	2		
14454								0	1376		0	0	14645		5093	28	21114	0			358	1		
14650								0	1208		0	0	15418		4834	18	21460	0						
14753								0	3590		0	0	19058		7848	30	30499	3			832	2		
14865								0	7059		303	1	105963		75928	269	189253	0			5317	7		
14977								0	3219		0	0	22712		12616	32	38547	0	38898	0				
15536							812824	0	205784		10049	32	1583186		1205015	6066	3004034	0	3020043	0	113112	155		
16337								0	28285		2204	7	264396		125087	434	419972	0			12858	22		
16458								0	8038		2071	6	105430		80995	287	196534	0			19589	24		
16551								0	12100		1880	6	64845		41553	152	120378	0			7539	16		
16748								0	3866		0	0	32291		9795	51	45952	0			0	0		
16944								0	713		0	0	20766		7282	42	28761	0			1430	4		
16953								0	586		0	0	19017		6626	39	26229	0			506	1		
17110								0	2820		0	0	13759		81265	233	97845	0						
17147							464945	0	72496		3763	11	893554		659156	1713	1629442	471	1563319	468	88667	83		
17259								0	5003		0	0	32413		15040	66	52456	0						
17464							697995	0	17806		320	1	734460		1046589	1674	1799175	0	1723717	0	128893	197		
17839								0	10327		299	1	86798		87657	331	185081	0	185262	0	5579	9		
17950								0	6582		0	0	91265		94226	306	192073	0			4212	10		
18050								0	10122		512	1	156087		91321	382	258065	23			19813	19		
18135								0	2553		0	0	77657		80414	281	160624	0			12706	20		
18377								0	3079		771	2	19560		3121	26	26531	0						
18827								0	11932		267	1	141690		159154	342	313043	0			3815	12		
18836								0	12355		1241	4	79953		30245	191	123794	0			691	2		
18854								0	1443		0	0	60806		34021	156	96270	0			4355	6		
18957								0	4397		256	1	24792		17906	87	47351	0			453	1		
19356								0	2742		0	0	44433		20325	88	67500	0						
19730							489067	0	63188		875	3	1172863		679821	2666	1916747	0	1827241	0	97756	140		
19936								0	7994		488	1	69559		113549	353	191906	316			4952	9		
19972								0	0		0	0	35333		8538	60	43873	0			0	0		
20053								0	9443		0	0	35596		16125	79	61338	174			0	0		
20147								0	2577		0	0	36974		18032	76	57584	1						
20370								0	5388		0	0	125770		51283	256	182441	0						
20512								0	5204		681	2	42139		31160	141	79184	0			0	0		
20633								0	15012		556	2	136513		70573	247	239321	16667			3957	5		
20857								0	752		0	0	21658		85743	72	108153	0			65052	10		
20866								0	0		0	0	100059		92957	513	194027	1011			0	0		
21256								0	1931		0	0	4072		1644	5	7648	0						
21359								0	1400		290	1	10798		6084	39	18572	0			0	0		
21630								0	2251		0	0	23350		39084	114	64685	0			2605	7		
21658								0	10152		640	2	86439		21916	128	119148	1						
22048								0	6335		458	1	76747		59621	320	143161	0			7508	11		
22356								0	6125		252	1	115263		123312	376	244950	0			12245	22		
22459								0	5639		0	0	60630		21965	119	88234	0			1816	5		
22543								0	3252		0	0	36086		22559	102	61999	102			2066	3		
22552								0	1267		0	0	31110		9055	47	41432	0						
22730								0	3821		0	0	55759		24132	133	83712	0			2436	5		
22936								0	13658		1465	5	180277		90288	459	285688	0			5303	9		
22954								0	2248		0	0	42428		18383	84	63059	0			2332	5		
23036								0	23989		325	1	322890		217895	836	565099	0	558335	0	14519	29		
23045								0	1056		0	0	10200		16009	42	27265	0			2575	4		
23241							1137471	0	107547		1751	6	1215781		1078277	2549	2403356	0	2491725	0	102054	115		
23456								0	6514		0	0	50006		18906	83	75427	0			833	2		
23504								0	4600		279	1	157651		502962	1032	665492	0			47660	84		
23540								0	13683		0	0	82449		37005	165	133137	0	135208	0	1339	3		
23643								0	8821		290	1	69598		57247	282	135956	0			3573	8		
23755								0	9403		0	0	60985		57913	196	128301	0	127620	0	0	0		
23812							221662	0	33847		2587	4	567454		413730	1153	1017618	0			27807	45		
24006								0	56245		328	1	471948		253833	1326	782354	0			9189	16		
24453								0	874		676	2	121397		128615	483	251562	0			12999	23		
24659								0	2362		481	1	13429		9681	55	25953	0						
24668								0	10831		1071	2	84483		62841	257	159226	0			6044	12		
24855								0	0		0	0	6388		3256	18	9644	0						
24949								0	29251		597	2	369907		203648	814	603403	0			31040	40		
25357								0	1178		510	1	42254		28218	127	72160	0			3119	6		
25647								0	6569		1273	3	24036		35637	169	67515	0			1839	4		
