"IDRSSD"	RCFD2930	RCFD2932	RCFD2938	RCFD3049	RCFD3066	RCFD3552	RCFD3553	RCFD3554	RCFD3646	RCFDB557	RCFDC011	RCFDC012	RCON2930	RCON2932	RCON2938	RCON3049	RCON3066	RCON3552	RCON3553	RCON3554	RCON3645	RCON3646	RCONB557	RCONC011	RCONC012	TEXT3552	TEXT3553	TEXT3554	
	OTHER LIABILITIES, TOTAL	DIVIDENDS DECLARED BUT NOT YET PAYAB	ALL OTHER LIABILITIES	NET DEFERRED TAX LIABILITIES	ACCOUNTS PAYABLE	1ST ITM AMT FOR OTH LB OV25% OF 2930	2ND ITM AMT FOR OTH LB OV25% OF 2930	3RD ITM AMT FOR OTH LB OV25% OF 2930	OTHER EXPENSES ACCRUED & UNPAID	ALL0WANCE FOR CREDIT LOSSES OFF B/S	DEFERRED COMPENSATION LIABILITIES	DERIVATATIVES W/NEGATIVE FAIR VALUE	OTHER LIABILITIES, TOTAL	DIVIDENDS DECLARED BUT NOT YET PAYAB	ALL OTHER LIABILITIES	NET DEFERRED TAX LIABILITIES	ACCOUNTS PAYABLE	1ST ITM AMT FOR OTH LB OV25% OF 2930	2ND ITM AMT FOR OTH LB OV25% OF 2930	3RD ITM AMT FOR OTH LB OV25% OF 2930	INTEREST ACCRUED & UNPAID ON DEPS	OTHER EXPENSES ACCRUED & UNPAID	ALL0WANCE FOR CREDIT LOSSES OFF B/S	DEFERRED COMPENSATION LIABILITIES	DERIVATATIVES W/NEGATIVE FAIR VALUE	1ST ITM AMT FOR OTH LB OV25% OF 2930	2ND ITM AMT FOR OTH LB OV25% OF 2930	3RD ITM AMT FOR OTH LB OV25% OF 2930	
37													291	0	12	0	2	0	0	0	219	60	0	0	0				
242													58	0	0	0	0	0	0	0	58	0	0	0	0				
279													431	0	248	0	9	25	0	0	176	7	0	74	0	ELAN TRANSFER BONUS			
354													46	5	20	0	15	0	0	0	26	0	0	0	0				
457													176	0	0	0	0	0	0	0	58	118	0	0	0				
505													4696	0	2486	0	0	851	1274	0	385	1744	81	0	0	DEFERRED SERVICE FEE-FCC	NYSBA PENSION PAYABLE		
1155													1870	0	1084	0	0	0	0	0	434	352	0	1053	0				
1351													640	0	0	0	0	0	0	0	582	58	0	0	0				
1454													1035	0	555	0	131	0	0	0	292	188	0	424	0				
1557													519	0	2	441	0	0	0	0	76	0	0	0	0	0	0	0	
1632													7600	0	600	0	0	168	0	0	5036	1646	318	311	0	Deferred L/C Fees			
1669													914	0	196	0	0	0	0	0	491	227	0	196	0				
1829													2065	0	365	0	238	0	0	0	1237	463	0	0	0				
1856													348	0	0	0	0	0	0	0	348	0	0	0	0				
2040													991	0	94	0	0	52	0	0	707	190	0	0	0	Debit Card Settlement			
2161													1287	0	713	197	0	0	0	0	142	235	0	713	0				
2376													20863	0	6876	0	273	1673	0	0	137	13850	0	4184	0	Unearned Revenue Joint Ventures			
2451													72	0	4	0	0	3	0	0	62	6	0	0	0	Credit Life			
2554													63	0	0	0	0	0	0	0	63	0	0	0	0				
2732													8056	1495	4297	0	0	2597	0	0	1982	1777	0	34	0	reverse stock div payable to shareholder			
2750													371	0	199	0	0	0	0	0	94	78	0	199	0				
2938													3163	0	78	0	0	0	0	0	1913	1165	7	47	0				
3252													421	0	0	0	0	0	0	0	271	150	0	0	0				
3458													206	0	0	127	0	0	0	0	46	33	0	0	0				
3720													1719	0	3	0	0	0	0	0	255	1461	0	0	0				
3953													849	0	776	0	0	0	0	0	61	12	0	776	0				
4138													404	0	108	0	0	0	0	0	284	0	12	0	0				
4156													17845	250	17341	54	391	0	0	0	374	76	0	0	0				
4231													669	0	0	0	0	0	0	0	604	65	0	0	0				
4437													1388	192	620	0	0	336	0	0	177	591	0	0	0	Accrued postretirement obligation			
4839													1470	0	0	0	0	0	0	0	781	689	0	0	0				
5005													4224	0	1339	0	944	0	0	0	0	2885	0	394	0				
5069													5483	0	2300	0	843	1300	0	0	2066	917	200	0	0	Deferred Income			
5135													1133	0	232	0	0	58	0	0	476	425	0	160	0	FHLB Interest Receivable			
5210													11321	0	7598	0	0	4263	0	0	2608	1115	0	0	0	Minimum Pension Liability			
5331													2359	0	129	0	0	129	0	0	278	1952	0	0	0	rental security deposits payable to subsidiaries			
5461													2306	0	1011	0	0	0	0	0	47	1198	50	876	0				
5751													457	0	328	23	0	269	0	0	106	0	0	56	0	Post Retirement Benefit Costs			
6039													532	0	0	0	0	0	0	0	429	103	0	0	0				
6141													197	0	0	0	0	0	0	0	173	24	0	0	0				
6329													3324	0	1205	0	0	0	0	0	1506	613	0	918	0				
6972													11640	0	7927	0	0	0	0	0	1541	1503	669	7088	0				
