"IDRSSD"	RIAD0497	RIAD4042	RIAD4136	RIAD4141	RIAD4146	RIAD4461	RIAD4462	RIAD4463	RIAD4464	RIAD4467	RIAD4468	RIAD4469	RIAD4486	RIAD4487	RIAD4488	RIAD4489	RIAD4491	RIAD4498	RIAD4499	RIAD4521	RIAD4522	RIAD4769	RIAD8403	RIADB526	RIADB527	RIADC013	RIADC014	RIADC015	RIADC016	RIADC017	RIADC018	TEXT4461	TEXT4462	TEXT4463	TEXT4464	TEXT4467	TEXT4468	TEXT4469	TEXT4487	TEXT4489	TEXT4498	TEXT4499	TEXT4521	TEXT4522	TEXT4769	TEXTB526	TEXTB527	
	ADVERTISING & MARKETING EXPENSES	RENT & OTHER INCOME FR OTHR REAL EST	DIRECTORS FEES	LEGAL FEES & EXPENSES	FDIC DEPOSIT INSURANCE ASSESSMENTS	1ST ITEMIZED AMT OV25% OF ITEM 4078	2ND ITEMIZED AMT OV25% OF ITEM 4078	3RD ITEMIZED AMT OV25% OF ITEM 4078	1ST ITEMIZED AMT OV25% OF ITEM 4092	2ND ITEMIZED AMT OV25% OF ITEM 4092	3RD ITEMIZED AMT OV25% OF ITEM 4092	1ST ITEMIZED AMT FOR ITEM 4310	1ST ITEMIZED AMT FOR ITEM 4315	2ND ITEMIZED AMT FOR ITEM 4310	2ND ITEMIZED AMT FOR ITEM 4315	3RD ITEMIZED AMT FOR ITEM 4310	3RD ITEMIZED AMT FOR ITEM 4315	1ST ITMZD TRANSACTIONS OF ITEM 4415	2ND ITMZD TRANSACTIONS OF ITEM 4415	1ST ITEMIZED ADJUSTMTS TO ITEM 4815	2ND ITEMIZED ADJUSTMTS TO ITEM 4815	OTHER EXPLANATIONS	POSTAGE EXPENSE	RESTATEMNTS DUE TO CORRECTIONS (1ST)	RESTATMENTS DUE TO CORRECTIONS (2ND)	INCM&FEES FROM PRNTNG&SALE OF CHECKS	EARNINGS ON CSV OF LIFE INSURANCE	SAFE DEPOSIT BOX RENT	INCM&FEES FRM AUTMTD TELL MACH(ATMS)	DATA PROCESSING EXPENSES	PRINTING, STATIONERY, AND SUPPLIES	1ST ITEMIZED AMT OV25% OF ITEM 4078	2ND ITEMIZED AMT OV25% OF ITEM 4078	3RD ITEMIZED AMT OV25% OF ITEM 4078	1ST ITEMIZED AMT OV25% OF ITEM 4092	2ND ITEMIZED AMT OV25% OF ITEM 4092	3RD ITEMIZED AMT OV25% OF ITEM 4092	1ST ITEMIZED AMT FOR ITEM 4310	2ND ITEMIZED AMT FOR ITEM 4310	3RD ITEMIZED AMT FOR ITEM 4310	1ST ITMZD TRANSACTIONS OF ITEM 4415	2ND ITMZD TRANSACTIONS OF ITEM 4415	1ST ITEMIZED ADJUSTMTS TO ITEM 4815	2ND ITEMIZED ADJUSTMTS TO ITEM 4815	OTHER EXPLANATIONS	RESTATEMNTS DUE TO CORRECTIONS (1ST)	RESTATMENTS DUE TO CORRECTIONS (2ND)	
37	16	0	44	26	9	7	8	35	50	28	19	0	0	0	0	0	0	0	0	0	0	false	34	0	0	9	0	14	12	134	68	exchange	penalty on early w/d cd	other income foreclosure fees	all other audit fees	clearing house fees	business license fees											
242	0	0	56	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	false	11	0	0	0	0	7	4	0	0				Auditing													
279	57	2	103	59	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	48	0	0	19	2	4	9	225	65																	
354	14	0	11	30	3	0	0	0	18	15	7	0	0	0	0	0	0	0	0	0	0	false	4	0	0	1	0	1	0	22	3				MISC	AUDITS	INSURANCE											
439	0	0	203	126	0	0	0	0	856	0	0	0	0	0	0	0	0	0	0	0	0	true	0	0	0	0	0	0	0	122	0				Other Professional Fees													
457	21	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	19	0	0	0	19																	
505	301	0	191	190	0	0	0	0	352	185	0	0	0	0	0	0	0	0	0	0	0	true	0	0	0	0	0	0	0	710	0				Loan servicing expense	Consulting fees												
1146	1545	0	0	750	0	2811	10727	15039	804	0	0	0	0	0	0	0	0	0	0	0	0	true	0	0	0	0	0	0	0	1268	852	CC interchg fee inc, CC inc, VISA/MC fee inc	Disc Gain Sale Serv, Misc Inc	Closing inc, Doc Prep inc, Search fee inc, Title Ins inc	Telephone													
1155	338	10	156	14	16	63	151	0	89	0	0	0	0	0	0	0	0	0	0	0	0	true	79	0	0	24	132	16	123	276	87	Exchange	Secondary Market Loan Origination Fees		Macha & Bank Service Charges													
