"IDRSSD"	RIAD0497	RIAD4042	RIAD4136	RIAD4141	RIAD4146	RIAD4461	RIAD4462	RIAD4463	RIAD4464	RIAD4467	RIAD4468	RIAD4486	RIAD4487	RIAD4488	RIAD4489	RIAD4491	RIAD4498	RIAD4499	RIAD4522	RIAD4769	RIAD5523	RIAD6373	RIAD8403	RIADB526	RIADB527	RIADC013	RIADC014	RIADC015	RIADC016	RIADC017	RIADC018	TEXT4461	TEXT4462	TEXT4463	TEXT4464	TEXT4467	TEXT4468	TEXT4487	TEXT4489	TEXT4498	TEXT4499	TEXT4522	TEXT4769	TEXTB526	TEXTB527	
	ADVERTISING & MARKETING EXPENSES	RENT & OTHER INCOME FR OTHR REAL EST	DIRECTORS FEES	LEGAL FEES & EXPENSES	FDIC DEPOSIT INSURANCE ASSESSMENTS	1ST ITEMIZED AMT OV25% OF ITEM 4078	2ND ITEMIZED AMT OV25% OF ITEM 4078	3RD ITEMIZED AMT OV25% OF ITEM 4078	1ST ITEMIZED AMT OV25% OF ITEM 4092	2ND ITEMIZED AMT OV25% OF ITEM 4092	3RD ITEMIZED AMT OV25% OF ITEM 4092	1ST ITEMIZED AMT FOR ITEM 4315	2ND ITEMIZED AMT FOR ITEM 4310	2ND ITEMIZED AMT FOR ITEM 4315	3RD ITEMIZED AMT FOR ITEM 4310	3RD ITEMIZED AMT FOR ITEM 4315	1ST ITMZD TRANSACTIONS OF ITEM 4415	2ND ITMZD TRANSACTIONS OF ITEM 4415	2ND ITEMIZED ADJUSTMTS TO ITEM 4815	OTHER EXPLANATIONS	WRITE DOWN ARISING FRM TRNSFR TO HFS	EFFECT OF ADOPTING FAS 133, ETC	POSTAGE EXPENSE	RESTATEMNTS DUE TO CORRECTIONS (1ST)	RESTATMENTS DUE TO CORRECTIONS (2ND)	INCM&FEES FROM PRNTNG&SALE OF CHECKS	EARNINGS ON CSV OF LIFE INSURANCE	SAFE DEPOSIT BOX RENT	INCM&FEES FRM AUTMTD TELL MACH(ATMS)	DATA PROCESSING EXPENSES	PRINTING, STATIONERY, AND SUPPLIES	1ST ITEMIZED AMT OV25% OF ITEM 4078	2ND ITEMIZED AMT OV25% OF ITEM 4078	3RD ITEMIZED AMT OV25% OF ITEM 4078	1ST ITEMIZED AMT OV25% OF ITEM 4092	2ND ITEMIZED AMT OV25% OF ITEM 4092	3RD ITEMIZED AMT OV25% OF ITEM 4092	2ND ITEMIZED AMT FOR ITEM 4310	3RD ITEMIZED AMT FOR ITEM 4310	1ST ITMZD TRANSACTIONS OF ITEM 4415	2ND ITMZD TRANSACTIONS OF ITEM 4415	2ND ITEMIZED ADJUSTMTS TO ITEM 4815	OTHER EXPLANATIONS	RESTATEMNTS DUE TO CORRECTIONS (1ST)	RESTATMENTS DUE TO CORRECTIONS (2ND)	
37	0	0	21	6	5	8	2	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	24	0	0	4	0	5	0	52	37	FHLB STOCK & INT                                                                                                                                                                                 	PENALTY FOR EARLY W/D                                                                                                                                                                            													
242	6	0	21	0	3	7	0	0	7	0	0	0	0	0	0	0	0	0	0	false	0	0	5	0	0	0	0	5	0	10	6	other                                                                                                                                                                                            			4                                                                                                                                                                                                											
279	16	0	35	0	7	0	0	0	32	0	0	0	0	0	0	0	0	0	0	false	0	0	23	0	0	0	0	0	4	81	15				OUTSIDE SERVICES                                                                                                                                                                                 											
354	10	0	5	3	0	0	0	0	5	7	3	0	0	0	0	0	0	0	0	false	0	0	3	0	0	0	0	0	0	7	0				Audits                                                                                                                                                                                           	Insurance                                                                                                                                                                                        	OREO expense                                                                                                                                                                                     									
439	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	97	0															
457	0	0	9	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	10	0	0	0	0				Examination, Accounting and Legal Fees                                                                                                                                                           											
505	106	0	0	0	0	0	0	0	137	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	363	0				Loan servicing expense                                                                                                                                                                           											
1146	0	0	0	0	0	4914	773	617	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	391	0	LTC-SEARCH FEE, DOCUMENT PREPS,  CLOSING FEES, AND TITLE                                                                                                                                         	CC INCOME & INTERCHANGE FEES                                                                                                                                                                     	PMC- MISC INCOME                                                                                                                                                                                 												
1155	96	0	84	4	9	17	0	0	30	0	0	0	0	0	0	0	0	0	0	false	0	0	39	0	0	10	0	9	32	150	35	Exchange                                                                                                                                                                                         			ATM expense                                                                                                                                                                                      											
