"IDRSSD"	RCFD0426	RCFD2150	RCFD2651	RCFD3164	RCFD3190	RCFD4088	RCFD5507	RCFD6164	RCFD6165	RCFDA590	RCFDB026	RCFDB569	RCFDB570	RCFDB571	RCFDF055	RCFDF056	RCFDF057	RCFDF058	RCFDF059	RCFDF060	RCFDF061	RCFDF062	RCFDF063	RCFDF065	RCFDJ452	RCFDJ453	RCFDJ461	RCFDJ462	RCFN5513	RCON0426	RCON2150	RCON2651	RCON3164	RCON3190	RCON4088	RCON5507	RCON5508	RCON5509	RCON5510	RCON5511	RCON5512	RCON6164	RCON6165	RCONA590	RCONB026	RCONB569	RCONB570	RCONB571	RCONC979	RCONF055	RCONF056	RCONF057	RCONF058	RCONF059	RCONF060	RCONF061	RCONF062	RCONF063	RCONF064	RCONF065	RCONG463	RCONG464	RCONJ452	RCONJ453	RCONJ461	RCONJ462	TEXT4087	
	OTHER IDENTIFIABLE INTANGIBLE ASSETS	OTHER REAL ESTATE OWNED	FHLB ADVANCES MATURING <= 1 YEAR	MORTGAGE SERVICING ASSETS	OTHER BORROWED MONEY	IS CU WEB SITE INTERACTIVE?	ALL OTHR IDENTIFIABLE INTANGBL ASSET	AGGREG AKT OF EXT OF CREDIT TO EXECS	NBR OF EXEC OFFCRSEPRIN SHAREHOLDERS	ESTMTD FAIR VAL OF MTG SERVNG ASSETS	PURCD CRD CD RLSHPS&NONMTG SRVG ASTS	DOES RPRTNG BANK SELL MUTUAL FUNDS?	ASSETS MANAGED: MUTUAL FUNDS&ANNUITY	OTHER BORR0WINGS MATURING <= 1 YEAR	FHLB ADVS:RMNG MAT/REPRNG DT 1 YR LE	FHLB ADVS:RMNG MAT/REPRNG DT 1-3 YRS	FHLB ADVS:RMNG MAT/REPRNG DT 3-5 YRS	FHLB ADVS:RMNG MAT/REPRNG DT OVR 5 Y	FHLB ADVANCES: STRUCTURED ADVANCES	OT BRWD MNY:WT RMNG MAT/REPR DT 1 YR	OT BRWD MNY:WT RMNG MAT/REPR DT 1-3 	OT BRWD MNY:WT RMNG MAT/REPR DT 3-5 	OT BRWD MNY:WT RMNG MAT/REPR DT OV 5	SECURED LIBLTIES:AMT OF	AMT FDIC LS SHARE AGREEMENT LN AND L	AMT FDIC LS SHARE AGREEMENT OTHR RE 	AMT FDIC LS SHARE AGREEMENT DEBT SCT	AMT FDIC LS SHARE AGREEMENT OTHR ASS	ALL OTHR RE OWNED IN FOREIGN OFFICES	OTHER IDENTIFIABLE INTANGIBLE ASSETS	OTHER REAL ESTATE OWNED	FHLB ADVANCES MATURING <= 1 YEAR	MORTGAGE SERVICING ASSETS	OTHER BORROWED MONEY	IS CU WEB SITE INTERACTIVE?	ALL OTHR IDENTIFIABLE INTANGBL ASSET	CONSTRCTN&LAND DEVLPMNT IN DOMS OFFC	FARMLAND IN DOMESTIC OFFICES	1-4 FMLY RESDTL PROPTS IN DOMS OFFCS	MULTIFMLY RESDTL PROPTS IN DOMS OFFC	NONFRM NONRESDTL PROPTS IN DOMS OFFC	AGGREG AKT OF EXT OF CREDIT TO EXECS	NBR OF EXEC OFFCRSEPRIN SHAREHOLDERS	ESTMTD FAIR VAL OF MTG SERVNG ASSETS	PURCD CRD CD RLSHPS&NONMTG SRVG ASTS	DOES RPRTNG BANK SELL MUTUAL FUNDS?	ASSETS MANAGED: MUTUAL FUNDS&ANNUITY	OTHER BORR0WINGS MATURING <= 1 YEAR	FORECLOSED PROPERTIES FROM	FHLB ADVS:RMNG MAT/REPRNG DT 1 YR LE	FHLB ADVS:RMNG MAT/REPRNG DT 1-3 YRS	FHLB ADVS:RMNG MAT/REPRNG DT 3-5 YRS	FHLB ADVS:RMNG MAT/REPRNG DT OVR 5 Y	FHLB ADVANCES: STRUCTURED ADVANCES	OT BRWD MNY:WT RMNG MAT/REPR DT 1 YR	OT BRWD MNY:WT RMNG MAT/REPR DT 1-3 	OT BRWD MNY:WT RMNG MAT/REPR DT 3-5 	OT BRWD MNY:WT RMNG MAT/REPR DT OV 5	SECURED LIBLTIES:AMT OF	SECURED LIBLTIES:AMT OF	BK ACT AS TR CUST IRA, HSA, & OTHR?	BK CUST OTHR SRVC SL PRCH SCTY?	AMT FDIC LS SHARE AGREEMENT LN AND L	AMT FDIC LS SHARE AGREEMENT OTHR RE 	AMT FDIC LS SHARE AGREEMENT DEBT SCT	AMT FDIC LS SHARE AGREEMENT OTHR ASS	URL	
37																														0	50	0	0	0	true	0	0	0	50	0	0	253	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false	0	0	0	0	http://www.bankofhancock.com	
242																														0	0	1100	0	3550	true	0	0	0	0	0	0	235	0	0	0	true	0	0	0	1100	650	0	1800	0	0	0	0	0	0	0	true	false	0	0	0	0	http://www.fcbxeniaflora.com	
279																														54	94	14150	54	34495	true	0	0	0	94	0	0	607	0	54	0	true	0	0	0	14150	11430	0	8915	0	0	0	0	0	0	0	false	false	0	0	0	0	http://www.mineolacb.com	
354																														0	0	0	0	0	true	0	0	0	0	0	0	272	1	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false	0	0	0	0	http://www.bisonstatebank.com	
457																														0	800	0	0	3500	true	0	0	0	48	0	752	1081	2	0	0	false	0	0	0	0	2000	1000	500	0	0	0	0	0	0	0	true	false	0	0	0	0	www.lowrystate.com	
505																														34	0	9000	22	45500	true	12	0	0	0	0	0	2545	2	22	0	true	0	0	0	9000	32500	4000	0	21500	0	0	0	0	0	0	true	true	0	0	0	0	www.bsnb.com	
1155																														0	1481	0	0	0	true	0	0	1155	86	0	240	7591	4	0	0	true	0	0	0	0	0	0	0	0	0	0	0	0	0	0	true	false	0	0	0	0	www.firststatebankandtrust.com	
1351																														0	283	0	0	0	true	0	0	0	283	0	0	1613	1	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false	0	0	0	0	bankofgrandin.net	
1454																														0	0	0	0	0	true	0	0	0	0	0	0	46648	3	0	0	true	0	0	0	0	0	0	0	0	0	0	0	0	0	0	true	true	0	0	0	0	www.hilltopnationalbank.com	
1557																														0	0	0	0	2302	true	0	0	0	0	0	0	5	0	0	0	false	0	0	0	0	0	2299	0	0	3	0	0	0	0	3	true	false	0	0	0	0	www.fstbanc.com	
1632																														0	5154	60000	0	67023	true	0	3460	0	1514	0	180	25258	7	0	0	true	0	0	0	60000	0	0	0	0	7023	0	0	0	0	0	false	false	0	0	0	0	www.seaislandbank.com	
1669																														997	14	0	0	177	true	997	0	0	10	0	4	2814	2	0	0	false	0	177	0	0	0	0	0	0	177	0	0	0	0	0	false	false	0	0	0	0	www.lnbparis.com	
1829																														588	92	3000	0	28250	true	588	0	0	92	0	0	2231	2	0	0	false	0	0	0	3000	19327	0	5923	0	0	0	0	0	0	0	true	false	0	0	0	0	http://avbpgh.com	
1856																														0	0	0	0	54000	false	0	0	0	0	0	0	76	0	0	0	false	0	0	0	0	0	0	54000	0	0	0	0	0	0	0	false	false	0	0	0	0		
2040																														0	177	3300	0	23300	true	0	0	0	0	0	177	1166	1	0	0	false	0	0	0	3300	15000	5000	0	15000	0	0	0	0	0	0	false	false	0	0	0	0	http://www.fmnetbank.com	
2161																														0	0	0	0	0	true	0	0	0	0	0	0	736	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false	0	0	0	0	http://www.lamarnational.com	
2376																														0	1648	3143	0	510780	true	0	434	0	0	1214	0	39808	2	0	0	false	0	0	0	3143	82500	135685	275000	400000	14452	0	0	0	0	14452	true	false	0	0	0	0	http://oritani.com	
2451																														406	627	1000	406	1999	true	0	0	0	460	0	167	1221	4	406	0	false	0	0	0	1000	61	259	679	0	0	0	0	0	0	0	false	false	0	0	0	0	http://thunderbank.com	
2554																														0	0	0	0	0	false	0	0	0	0	0	0	51	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	true	false	0	0	0	0		
2732																														1112	2208	0	0	133	true	1112	2208	0	0	0	0	31567	7	0	0	true	0	0	0	0	0	0	0	0	133	0	0	0	0	133	true	true	0	0	0	0	www.albanybank.com	
2750																														0	255	0	0	8289	true	0	175	0	80	0	0	2826	2	0	0	false	0	0	0	4500	200	500	0	0	3089	0	0	0	0	3089	true	false	0	0	0	0	www.genoanationalbank.com	
