"IDRSSD"	RIAD3123	RIAD4230	RIAD4605	RIAD5523	RIADB522	RIADC079	RIADC233	
	ALLL_AMT	PROVISION FOR CREDIT LOSSES	RECOVERIES CREDITED TO RESERVES	WRITE DOWN ARISING FRM TRNSFR TO HFS	BEGIN BALANCE (MOST RECENT) IN ALLL	CHRG-OFFS ON ALLWNCE FOR L&L LOSSES	ADJUSTMENTS	
37	1074	90	32	0	987	35	0	
242	129	0	0	0	130	1	0	
279	343	17	3	0	323	0	0	
354	127	0	19	0	133	25	0	
439	1066	300	116	0	931	281	0	
457	156	1	5	0	152	2	0	
505	2491	525	74	0	2118	226	0	
1146	2727	0	32	0	3009	314	0	
1155	1275	90	5	0	1239	59	0	
1351	373	40	9	0	374	50	0	
1454	846	20	34	0	862	70	0	
1557	363	17	48	0	358	60	0	
1632	2292	130	186	0	2088	112	0	
1669	916	90	25	0	915	114	0	
1829	1795	137	36	5	1695	68	0	
1856	108	0	0	0	111	3	0	
2040	1177	90	61	0	1381	355	0	
2161	507	29	43	0	492	57	0	
2376	5146	100	0	0	5046	0	0	
2451	128	15	2	0	111	0	0	
2554	41	10	0	0	33	2	0	
2732	2354	285	17	0	2296	244	0	
2750	735	99	8	0	899	271	0	
2938	3353	1301	5	0	2433	386	0	
2956	858	102	6	0	852	102	0	
3252	903	80	69	0	886	132	0	
3458	340	0	5	0	353	18	0	
3506	6430	480	46	0	6569	665	0	
3579	1791	255	19	0	1563	46	0	
3720	1054	62	3	0	1004	15	0	
3953	679	100	24	0	665	110	0	
4138	989	120	25	0	943	99	0	
4147	512	18	5	0	497	8	0	
4156	733	77	37	0	636	17	0	
4231	691	30	37	0	660	36	0	
4437	1003	209	11	0	837	54	0	
4745	59	2	2	0	55	0	0	
4839	1650	300	34	0	1516	200	0	
5005	1791	45	0	0	1747	1	0	
5050	567	80	29	0	540	82	0	
5069	5314	180	0	0	5139	5	0	
5135	1052	0	3	0	1069	20	0	
5210	3778	120	50	0	3723	115	0	
5247	2252	90	20	0	2222	80	0	
5274	642	42	16	0	646	62	0	
5331	716	0	1	0	735	2	-18	
5461	1691	0	20	0	1671	0	0	
5751	764	45	5	0	714	0	0	
5939	30617	3100	899	0	31997	5379	0	
6039	968	145	17	0	924	118	0	
6057	185	131	3	0	140	89	0	
6141	334	30	18	0	411	125	0	
6329	2055	525	84	0	1697	251	0	
6842	144	15	0	0	147	18	0	
6972	4204	450	4	0	3858	108	0	
7009	0	0	0	0	0	0	0	
7045	719	90	24	0	676	71	0	
7157	211	0	5	0	215	9	0	
7166	4414	640	11	0	3776	13	0	
7456	360	0	0	0	360	0	0	
7634	465	90	3	0	440	68	0	
8033	624	0	31	0	615	22	0	
8154	446	-105	107	0	537	93	0	
8417	455	163	0	0	292	0	0	
8462	298	15	9	0	344	70	0	
8547	3824	135	132	0	4217	660	0	
8631	303	50	6	0	271	24	0	
9115	8066	650	80	0	7631	295	0	
9160	1182	30	1	0	1153	2	0	
