"IDRSSD"	RIAD3123	RIAD4230	RIAD4605	RIAD5523	RIADB522	RIADC079	RIADC233	RIADC389	RIADC390	RIADC435	
	ALLL_AMT	PROVISION FOR CREDIT LOSSES	RECOVERIES CREDITED TO RESERVES	WRITE DOWN ARISING FRM TRNSFR TO HFS	BEGIN BALANCE (MOST RECENT) IN ALLL	CHRG-OFFS ON ALLWNCE FOR L&L LOSSES	ADJUSTMENTS	SEPARATE VAL ALLOW CRED/FIN CHGS	AMT ALLOW LN&LSE LOSS CC/FIN CHGS	ALLOCATED TRANSFER RISK RESERVE	
37	1061	45	15	0	1019	18	0	0	0	0	
242	158	0	0	0	158	0	0	0	0	0	
279	436	2	3	0	433	2	0	0	0	0	
354	168	0	6	0	182	20	0	0	0	0	
439	1609	105	19	0	1696	211	0	0	0	0	
457	329	6	3	0	322	2	0	0	0	0	
505	2184	0	3	0	2214	33	0	0	0	0	
1146	3464	240	27	0	3359	162	0			0	
1155	1723	75	2	0	1646	0	0	0	0	0	
1351	706	75	8	0	720	97	0	0	0	0	
1454	885	90	16	0	800	21	0	0	0	0	
1557	378	0	9	0	369	0	0	0	0	0	
1632	4468	540	11	0	3961	44	0	0	0	0	
1669	1210	60	17	0	1200	67	0	0	0	0	
1829	3087	180	1	0	2940	34	0	0	0	0	
1856	112	4	6	0	104	2	0	0	0	0	
2040	1693	90	8	0	1684	89	0	0	0	0	
2161	518	3	2	0	520	7	0	0	0	0	
2376	6172	0	0	0	6172	0	0	0	0	0	
2451	186	0	0	0	187	1	0	0	0	0	
2554	50	6	0	0	44	0	0	0	0	0	
2732	3251	75	13	0	3163	0	0	0	0	0	
2750	571	-32	19	0	615	31	0	0	0	0	
2938	4796	625	23	0	4997	849	0	0	0	0	
2956	704	0	1	0	704	1	0	0	0	0	
3252	905	155	72	0	960	282	0	0	0	0	
3458	373	0	1	0	372	0	0	0	0	0	
3506	9876	175	78	0	9797	174	0			0	
3579	2165	200	5	0	2261	301	0	0	0	0	
3720	1188	43	1	0	1169	25	0	0	0	0	
3953	1075	0	38	0	1042	5	0	0	0	0	
4138	1204	120	2	0	1300	218	0	0	0	0	
4147	399	30	0	0	411	42	0	0	0	0	
4156	1412	60	16	0	1366	24	-6	0	0	0	
4231	656	21	12	0	647	24	0	0	0	0	
4437	1549	140	4	0	1427	22	0	0	0	0	
4839	1568	80	22	0	1506	40	0	0	0	0	
5005	1801	100	0	0	1714	13	0	0	0	0	
5050	677	-97	18	0	761	5	0	0	0	0	
5069	6684	0	0	0	6684	0	0	0	0	0	
5135	1894	125	9	0	1862	102	0	0	0	0	
5210	3989	90	9	0	3938	48	0	0	0	0	
5247	5065	825	101	0	4368	229	0	0	0	0	
5274	744	0	11	0	733	0	0	0	0	0	
5331	724	0	0	0	781	35	-22	0	0	0	
5461	2137	0	2	0	2143	8	0	0	0	0	
5751	772	0	0	0	772	0	0	0	0	0	
6039	1163	67	37	0	1060	1	0	0	0	0	
6057	174	5	2	0	169	2	0	0	0	0	
6141	311	15	18	0	285	7	0	0	0	0	
6329	2648	225	85	0	2469	131	0	0	0	0	
6972	5473	200	18	0	5268	13	0	0	0	0	
7009	0	0	0	0	0	0	0	0	0	0	
7045	666	30	6	0	655	25	0	0	0	0	
7157	241	0	1	0	258	18	0	0	0	0	
7166	6596	175	100	0	6367	46	0	0	0	0	
7456	352	0	0	0	352	0	0	0	0	0	
7634	637	35	7	0	621	26	0	0	0	0	
8033	677	0	15	0	683	21	0	0	0	0	
8417	602	-175	10	0	767	0	0	0	0	0	
8462	312	0	8	0	320	16	0	0	0	0	
8631	303	15	4	0	297	13	0			0	
9357	3623	0	4	0	3623	4	0	0	0	0	
9553	567	0	0	0	567	0	0	0	0	0	
9807	44042	875	407	0	42762	2	0	0	0	0	
9955	417	0	5	0	414	2	0	0	0	0	
10157	968	15	3	0	1030	80	0	0	0	0	
10250	2644	120	11	0	2549	36	0	0	0	0	
10849	2125	124	0	0	2001	0	0	0	0	0	
10858	3510	1209	56	0	4241	1965	-31	0	0	0	
11145	1582	45	4	0	1546	13	0	0	0	0	
11640	1292	119	151	0	1245	223	0	0	0	0	
11837	1042	0	4	0	1044	6	0	0	0	0	
12030	5529	375	1273	0	4602	721	0	0	0	0	
12058	729	7	95	0	720	93	0	0	0	0	
12142	1393	45	35	0	1365	52	0	0	0	0	
12245	728	15	0	0	720	7	0	0	0	0	
12311	258417	20368	8773	0	266489	37213	0	0	0	0	
12647	502	13	1	0	493	5	0	0	0	0	
12656	207	0	13	0	200	6	0	0	0	0	
12937	957	18	1	24	962	0	0	0	0	0	
