"IDRSSD"	RIAD0497	RIAD4042	RIAD4136	RIAD4141	RIAD4146	RIAD4461	RIAD4462	RIAD4463	RIAD4464	RIAD4467	RIAD4468	RIAD4469	RIAD4486	RIAD4487	RIAD4488	RIAD4489	RIAD4491	RIAD4498	RIAD4499	RIAD4521	RIAD4522	RIAD4769	RIAD8403	RIADB526	RIADB527	RIADC013	RIADC014	RIADC015	RIADC016	RIADC017	RIADC018	TEXT4461	TEXT4462	TEXT4463	TEXT4464	TEXT4467	TEXT4468	TEXT4469	TEXT4487	TEXT4489	TEXT4498	TEXT4499	TEXT4521	TEXT4522	TEXT4769	TEXTB526	TEXTB527	
	ADVERTISING & MARKETING EXPENSES	RENT & OTHER INCOME FR OTHR REAL EST	DIRECTORS FEES	LEGAL FEES & EXPENSES	FDIC DEPOSIT INSURANCE ASSESSMENTS	1ST ITEMIZED AMT OV25% OF ITEM 4078	2ND ITEMIZED AMT OV25% OF ITEM 4078	3RD ITEMIZED AMT OV25% OF ITEM 4078	1ST ITEMIZED AMT OV25% OF ITEM 4092	2ND ITEMIZED AMT OV25% OF ITEM 4092	3RD ITEMIZED AMT OV25% OF ITEM 4092	1ST ITEMIZED AMT FOR ITEM 4310	1ST ITEMIZED AMT FOR ITEM 4315	2ND ITEMIZED AMT FOR ITEM 4310	2ND ITEMIZED AMT FOR ITEM 4315	3RD ITEMIZED AMT FOR ITEM 4310	3RD ITEMIZED AMT FOR ITEM 4315	1ST ITMZD TRANSACTIONS OF ITEM 4415	2ND ITMZD TRANSACTIONS OF ITEM 4415	1ST ITEMIZED ADJUSTMTS TO ITEM 4815	2ND ITEMIZED ADJUSTMTS TO ITEM 4815	OTHER EXPLANATIONS	POSTAGE EXPENSE	RESTATEMNTS DUE TO CORRECTIONS (1ST)	RESTATMENTS DUE TO CORRECTIONS (2ND)	INCM&FEES FROM PRNTNG&SALE OF CHECKS	EARNINGS ON CSV OF LIFE INSURANCE	SAFE DEPOSIT BOX RENT	INCM&FEES FRM AUTMTD TELL MACH(ATMS)	DATA PROCESSING EXPENSES	PRINTING, STATIONERY, AND SUPPLIES	1ST ITEMIZED AMT OV25% OF ITEM 4078	2ND ITEMIZED AMT OV25% OF ITEM 4078	3RD ITEMIZED AMT OV25% OF ITEM 4078	1ST ITEMIZED AMT OV25% OF ITEM 4092	2ND ITEMIZED AMT OV25% OF ITEM 4092	3RD ITEMIZED AMT OV25% OF ITEM 4092	1ST ITEMIZED AMT FOR ITEM 4310	2ND ITEMIZED AMT FOR ITEM 4310	3RD ITEMIZED AMT FOR ITEM 4310	1ST ITMZD TRANSACTIONS OF ITEM 4415	2ND ITMZD TRANSACTIONS OF ITEM 4415	1ST ITEMIZED ADJUSTMTS TO ITEM 4815	2ND ITEMIZED ADJUSTMTS TO ITEM 4815	OTHER EXPLANATIONS	RESTATEMNTS DUE TO CORRECTIONS (1ST)	RESTATMENTS DUE TO CORRECTIONS (2ND)	
37	2	0	11	3	2	5	0	0	17	6	2	0	0	0	0	0	0	0	0	0	0	false	6	0	0	2	0	4	0	36	20	exchange                                                                                                                                                                                         			all other audit fees                                                                                                                                                                             	clearing house fees                                                                                                                                                                              	business license                                                                                                                                                                                 								CONF			
242	0	0	14	0	0				6				0		0		0					false	4			0	0	7	0	0	0				AUDITING                                                                                                                                                                                         										CONF			
279	11	1	24	14	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	13	0	0	5	0	1	1	55	13														CONF			
354	3	0	3	16	1	0	0	0	6	3	1	0	0	0	0	0	0	0	0	0	0	false	1	0	0	0	0	0	0	3	0				Audits                                                                                                                                                                                           	Misc.                                                                                                                                                                                            	Telephone                                                                                                                                                                                        								CONF			
439	0	0	47	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	30	0				ATM Processing                                                                                                                                                                                   										CONF			
457	5	0	5	0	0	0	0	0	5	20	0	0	0	0	0	0	0	0	0	0	0	false	4	0	0	0	5	0	0	0	5				EXAMINATION/ACCOUNTING/LEGAL FEES                                                                                                                                                                	REIMBURSEABLE/REPOSSESSION/FORECLOSURE                                                                                                                                                           									CONF			
505	0	0	48	0	0	0	0	0	62	40	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	180	0				LOAN SERVICING EXPENSE                                                                                                                                                                           	CONSULTING FEES                                                                                                                                                                                  									CONF			
1146	376	0	0	0	0	476	2245	3428	202	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	345	199	CC income & interchange fee                                                                                                                                                                      	PMC-Disc Gain Sale Serv & Ret Serv, Misc Inc                                                                                                                                                     	LTC-Closing fee, Docum Prep Inc,Title Ins Inc,Serach Inc                                                                                                                                         	Telephone -                                                                                                                                                                                      										CONF			
1155	87	4	39	4	4	17	28	0	21	0	0	0	0	0	0	0	0	0	0	0	0	false	21	0	0	6	32	5	28	78	29	Exchange                                                                                                                                                                                         	Secondary Market Loan Origination Fees                                                                                                                                                           		Macha & Bank Service Charges                                                                                                                                                                     										CONF			
1351	6	0	6	4	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	11	0	0	0	0	5	6	0	8														CONF			
1454	153	0	0	0	0	76	0	0	91	0	0	0	0	0	0	0	0	0	0	0	0	false	77	0	0	0	0	0	0	79	103	VISA DEBIT CARD INCOME                                                                                                                                                                           			VISA DEBIT CARD EXPENSE                                                                                                                                                                          										CONF			
1557	6	0	0	0	0	0	0	0	14	12	7	0	0	0	0	0	0	0	0	0	0	false	6	0	0	0	0	0	0	0	5				CONSULTING FEES                                                                                                                                                                                  	INSURANCE & SURETY                                                                                                                                                                               	MAINTENANCE CONTRACT                                                                                                                                                                             								CONF			
1632	63	0	33	47	9	9	0	0	0	0	0	0	0	0	0	0	0	105	1500	0	0	false	21	0	0	14	0	29	17	275	19	Travelers/ AME Express net revenue                                                                                                                                                               									Market value stock option appreciation                                                                                                                                                           	Capital infusion from holding co                                                                                                                                                                 			CONF			
1669	12	0	10	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	25	0	0	0	61	17	15	120	28														CONF			
1829	0	0	0	0	0	0	0	0	70	98	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	162	0				ATM/Debit Card Network Expenses                                                                                                                                                                  	PA Shares Tax                                                                                                                                                                                    									CONF			
1856	16	0	4	0	0	0	0	0	22	11	14	0	0	0	0	0	0	0	0	0	0	false	4	0	0	0	0	0	1	16	10				Brokered CD fees                                                                                                                                                                                 	State Bank Assessment                                                                                                                                                                            	Accounting fees                                                                                                                                                                                  								CONF			
2040	26	0	19	3	4	9	18	25	13	16	8	0	0	0	0	0	0	0	0	0	0	false	9	0	0	2	12	5	9	29	22	Debit card fees                                                                                                                                                                                  	Pulse ATM network sale                                                                                                                                                                           	Miscellanous fees                                                                                                                                                                                	Advisory & Auditing                                                                                                                                                                              	ATM & Debit card expense                                                                                                                                                                         	Correspondent bank service charges                                                                                                                                                               								CONF			
2161	0	0	18	0	0	0	0	0	29	182	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	222	0	0	57	23				Deferred Compensation Plan Expense                                                                                                                                                               	Employee Death Benefit Expense                                                                                                                                                                   									CONF			
2376	113	109	115	10	27	612	27	0	64	63	41	0	0	0	0	0	0	0	0	0	0	false	33	0	0	0	87	5	47	260	56	Income from RE joint ventures                                                                                                                                                                    	Debit card interchange                                                                                                                                                                           		Insurance                                                                                                                                                                                        	Audit & Exams                                                                                                                                                                                    	Correspondent Bank Charges                                                                                                                                                                       								CONF			
2451	6	0	1	0	0	4	1	1	3	3	2		0		0		0					false	2			1	0	1	0	23	2	Mortgage Activities                                                                                                                                                                              	Debit Card - Income                                                                                                                                                                              	Teller Services                                                                                                                                                                                  	Correspondent Bank Expense                                                                                                                                                                       	SBA Guarantee Loan Fees                                                                                                                                                                          	Bond and D&O Insurance                                                                                                                                                                           								CONF			
2554	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	1	0	2	1														CONF			
2732	7	0	67	33	29	7	0	0	61	0	0	0	0	0	0	0	0	0	0	0	0	false	44	0	0	0	0	19	0	200	35	Master Charge                                                                                                                                                                                    			OCC Assessment                                                                                                                                                                                   										CONF			
