"IDRSSD"	RIAD0497	RIAD4042	RIAD4136	RIAD4141	RIAD4146	RIAD4461	RIAD4462	RIAD4463	RIAD4464	RIAD4467	RIAD4468	RIAD4486	RIAD4487	RIAD4488	RIAD4489	RIAD4491	RIAD4498	RIAD4499	RIAD4521	RIAD4522	RIAD4769	RIAD5523	RIAD8403	RIADB526	RIADB527	RIADC013	RIADC014	RIADC015	RIADC016	RIADC017	RIADC018	RIADC231	TEXT4461	TEXT4462	TEXT4463	TEXT4464	TEXT4467	TEXT4468	TEXT4487	TEXT4489	TEXT4498	TEXT4499	TEXT4521	TEXT4522	TEXT4769	TEXTB526	TEXTB527	
	ADVERTISING & MARKETING EXPENSES	RENT & OTHER INCOME FR OTHR REAL EST	DIRECTORS FEES	LEGAL FEES & EXPENSES	FDIC DEPOSIT INSURANCE ASSESSMENTS	1ST ITEMIZED AMT OV25% OF ITEM 4078	2ND ITEMIZED AMT OV25% OF ITEM 4078	3RD ITEMIZED AMT OV25% OF ITEM 4078	1ST ITEMIZED AMT OV25% OF ITEM 4092	2ND ITEMIZED AMT OV25% OF ITEM 4092	3RD ITEMIZED AMT OV25% OF ITEM 4092	1ST ITEMIZED AMT FOR ITEM 4315	2ND ITEMIZED AMT FOR ITEM 4310	2ND ITEMIZED AMT FOR ITEM 4315	3RD ITEMIZED AMT FOR ITEM 4310	3RD ITEMIZED AMT FOR ITEM 4315	1ST ITMZD TRANSACTIONS OF ITEM 4415	2ND ITMZD TRANSACTIONS OF ITEM 4415	1ST ITEMIZED ADJUSTMTS TO ITEM 4815	2ND ITEMIZED ADJUSTMTS TO ITEM 4815	OTHER EXPLANATIONS	WRITE DOWN ARISING FRM TRNSFR TO HFS	POSTAGE EXPENSE	RESTATEMNTS DUE TO CORRECTIONS (1ST)	RESTATMENTS DUE TO CORRECTIONS (2ND)	INCM&FEES FROM PRNTNG&SALE OF CHECKS	EARNINGS ON CSV OF LIFE INSURANCE	SAFE DEPOSIT BOX RENT	INCM&FEES FRM AUTMTD TELL MACH(ATMS)	DATA PROCESSING EXPENSES	PRINTING, STATIONERY, AND SUPPLIES	EFFECT OF ADPTNG FAS GOODWILL,ETC	1ST ITEMIZED AMT OV25% OF ITEM 4078	2ND ITEMIZED AMT OV25% OF ITEM 4078	3RD ITEMIZED AMT OV25% OF ITEM 4078	1ST ITEMIZED AMT OV25% OF ITEM 4092	2ND ITEMIZED AMT OV25% OF ITEM 4092	3RD ITEMIZED AMT OV25% OF ITEM 4092	2ND ITEMIZED AMT FOR ITEM 4310	3RD ITEMIZED AMT FOR ITEM 4310	1ST ITMZD TRANSACTIONS OF ITEM 4415	2ND ITMZD TRANSACTIONS OF ITEM 4415	1ST ITEMIZED ADJUSTMTS TO ITEM 4815	2ND ITEMIZED ADJUSTMTS TO ITEM 4815	OTHER EXPLANATIONS	RESTATEMNTS DUE TO CORRECTIONS (1ST)	RESTATMENTS DUE TO CORRECTIONS (2ND)	
37	9	0	32	13	7	5	3	7	32	19	20	0	0	0	0	0	0	0	0	0	false	0	27	0	0	6	0	8	0	105	50	0	FHLB stock dividends & interest                                                                                                                                                                  	Penalty Early WD CD s                                                                                                                                                                            	Exchange                                                                                                                                                                                         	Internal Audit Expense                                                                                                                                                                           	Clearing House Fees                                                                                                                                                                              	Other loan fee expense                                                                                                                                                                           										
242	0	0	36	0	0							0		0		0					false	0	0			0	0	6	4	0	0	0																
279	24	2	53	4	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	31	0	0	0	0	2	0	133	28	0																
354	10	0	11	6	1	0	0	0	9	6	5	0	0	0	0	0	0	0	0	0	false	0	4	0	0	0	0	1	0	18	4	0				INSURANCE                                                                                                                                                                                        	MISC                                                                                                                                                                                             	AUDITS                                                                                                                                                                                           										
439	0	0	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	131	0	0																
457	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	17	0	0	0	11	0																
505	165	0	0	0	160	0	0	0	270	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	498	0	0				LOAN SERVICING EXPENSE                                                                                                                                                                           												
1146	708	0	0	0	0	930	6810	9065	540	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	760	522	0	PBT-CC INTERCHANGE FEE INC & CC INC                                                                                                                                                              	PMC-DISC GAIN SALE SERV & MISC INC                                                                                                                                                               	LTC-CLOSING FEES,DOCUMENT PREP, SERACH FEE, TITLE INS                                                                                                                                            	TELEPHONE                                                                                                                                                                                        												
1155	197	0	126	6	14	40	0	0	60	23	54	0	0	0	0	0	0	0	0	0	false	0	61	0	0	16	0	13	56	190	60	0	Exchange Fees                                                                                                                                                                                    			Bank Service Charge                                                                                                                                                                              	Telephone                                                                                                                                                                                        	ATM Expense                                                                                                                                                                                      										
