"IDRSSD"	RIAD3582	RIAD3583	RIAD3584	RIAD3585	RIAD3588	RIAD3589	RIAD3590	RIAD3591	RIAD4266	RIAD4267	RIAD4481	RIAD4482	RIAD4605	RIAD4608	RIAD4617	RIAD4618	RIAD4627	RIAD4628	RIAD4635	RIAD4638	RIAD4643	RIAD4644	RIAD4645	RIAD4646	RIAD4652	RIAD4653	RIAD4654	RIAD4655	RIAD4658	RIAD4659	RIAD4662	RIAD4663	RIAD4664	RIAD4665	RIAD4668	RIAD4669	RIAD5409	RIAD5410	RIAD5411	RIAD5412	RIAD5413	RIAD5414	RIADB512	RIADB513	RIADB514	RIADB515	RIADB516	RIADB517	
	CHG-OFFS ON CONSTRCTN&LAND DEVLPMT	RECVRS ON CONSTRCTN&LAND DEVLPMT LNS	CHG-OFFS ON LNS SECURED BY FARMLAND	RECVRS ON LNS SECURED BY FARMLAND	CHG-OFFS ON LNS SECD BY MULTI-FAMILY	RECVRS ON LNS SECD BY MULTI-FMLY RES	CHG-OFFS ON LNS SECD BY NONFARM NONR	RECVRS ON LNS SECD BY NONFARM NONRES	CHG-OFF ON LS FINANCING RECEIVABLES	RECOV ON LEASE FINANCING RECEIVABLES	CHG-OFF ON LOANS TO DEPOSITORY INST	RECOV ON LOANS TO DEPOSITORY INST	RECOVERIES CREDITED TO RESERVES	RECOVERIES ON C&I LOANS	RECOV ON C & I LNS-U.S. ADDRESSES	RECOV ON C & I LNS-NON-U.S. ADDRES	RECOV ON LNS TO FGN GOVTS & INST	RECOV ON ALL OTHER LOANS	LOSSES CHARGED TO RESERVE	CHARGE-OFFS ON C&I LOANS	CHG-OFFS ON LNS TO FGN GOVTS & INST	CHG-OFFS ON ALL OTHER LOANS	CHG-OFFS ON C&I LNS-U.S. ADDRESSES	CHG-OFFS ON C&I LNS-NON-U.S. ADDRES	CHRGE-OFFS ON R.E. LNS-NON U.S. ADDR	CHRGE-OFFS ON LNS TO U.S. DEP INST	CHRGE-OFFS ON INS TO FOREIGN BANKS	CHARGE-OFFS ON LOANS TO FARMERS	CHRG-OFF LEASE FNC RCVBL US ADDR	CHRG-OFF LEASE FNC RCVBL NON US ADDR	RECOV ON R.E. LOANS-NON U.S. ADDRESS	RECOV ON LOANS TO U.S. DEPOSITORY IN	RECOVERIES ON LOANS TO FOREIGN BANKS	RECOVERIES ON LOANS TO FARMERS	RECOV ON LEASE FIN RECEIVABLE-US ADD	RCVRY LEASE FNC RCVBL NON US ADD	CHG-OFFS OF LNS TO FINC COMMCL RE,CO	RECOVERS OF LNS TO FINC COMMCL RE,CO	CHG-OFFS OF RVLVG,OPEN-END LNS SECD	RECOVERS OF RVLVG,OPEN-END LNS SECD	CHG-OFFS OF ALL OTHR LNS SECD BY 1-4	RECOVERS OF ALL OTHR LNS SECD BY 1-4	CHRG-OFF ON LOANS IN FOREIGN OFFICES	RECVRS ON LOANS IN FOREIGN OFFICES	CHARGE-OFFS ON: CREDIT CARDS LOANS	RECOVERIES ON CREDIT CARDS LOANS	CHARGE-OFFS ON: OTHER INDIV LOANS	RECOVERIES ON: OTHER INDIV LOANS	
37	0	0	0	0	0	0	20	0	0	0	0	0	81	0			0	0	216	5	0	0						0						0			0	0	0	0	15	9			0	0	176	72	
242	0	0	0	0	0	0	0	0	0	0	0	0	13	3			0	7	8	0	0	7						0						0			0	0	0	0	0	0			0	0	1	3	
279	0	0	0	0	0	0	0	0	0	0	0	0	9	1			0	0	15	0	0	0						0						0			0	0	0	0	0	0			0	0	15	8	
354	0	0	0	0	0	0	2	4	0	0	0	0	21	6			0	0	17	0	0	0						0						0			0	0	0	0	0	6			0	0	15	5	
439	0	0	0	0	0	0	4	0	0	0	0	0	38	0			0	0	740	466	0	0						0						0			0	0	0	0	175	1			0	0	95	37	
457	0	0	0	0	0	0	0	0	0	0	0	0	2	0			0	2	24	0	0	3						0						2			0	0	0	0	0	0			0	0	21	0	
505	0	0	0	0	0	0	0	0	0	0	0	0	144	102			0	0	942	592	0	0						0						0			0	0	0	0	126	0			9	2	215	40	
1146	276	36	0	0	0	0	0	0	0	0	0	0	105	6			0	0	802	42	0	0															0	0	23	17	0	0			448	30	13	16	
1155	4	0	0	0	0	0	0	0	0	0	0	0	22	15			0	7	96	60	0	27						0						0			0	0	0	0	0	0			5	0	0	0	
1351	0	0	0	0	0	0	0	0	0	0	0	0	17	3			0	0	127	69	0	0						0						0			0	0	0	0	0	0			0	0	58	14	
1454	0	0	0	0	0	0	0	0	0	0	0	0	39	3			0	5	154	0	0	12						0						0			0	0	0	0	0	0			23	4	119	27	
1557	0	0	0	0	0	0	0	0	0	0	0	0	10	0			0	7	2	0	0	0						0						7			0	0	0	0	0	0			0	0	2	3	
1632	0	0	0	0	0	0	0	1	0	0	0	0	78	18			0	18	322	123	0	47						0						0			0	0	0	0	32	8			0	0	120	33	
1669	0	0	0	0	0	0	0	0	0	0	0	0	81	13			0	1	231	47	0	20						0						0			0	0	0	0	5	0			0	0	159	67	
1829	0	0	0	0	0	0	0	0	64	0	0	0	41	29			0	0	368	89	0	0						0						0			0	0	0	0	11	0			22	2	182	10	
1856	0	0	0	0	0	0	0	0	0	0	0	0	18	0			0	18	32	32	0	0						0						15			0	0	0	0	0	0			0	0	0	0	
1959	0	0	114	0	0	0	0	0	0	0	0	0	8	0			0	5	403	127	0	158						158						5			0	0	0	0	3	1			0	0	1	2	
2040	0	0	0	0	0	0	0	0	0	0	0	0	78	53			0	0	235	15	0	0						0						0			0	0	0	0	85	10			2	0	133	15	
2161	0	0	0	0	0	0	0	0	0	0	0	0	14	0			0	0	64	0	0	0						0						0			0	0	0	0	0	0			14	2	50	12	
2376	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0		0	0		0	0		0	0		0	0		0	0	0	0	0	0	0			0	0	0	0	
2451	0	0	0	0	0	0	0	0	0	0	0	0	2	0			0	2	30	30	0	0						0						2			0	0	0	0	0	0			0	0	0	0	
2554	0	0	0	0	0	0	0	0	0	0	0	0	0	0			0	0	9	9	0	0						0						0			0	0	0	0	0	0			0	0	0	0	
2732	0	0	0	0	0	0	0	0	0	0	0	0	107	83		0	0	0	113	72	0	0		0	0		0	0		0	0		0	0		0	0	0	0	0	0	0			0	0	41	24	
2750	0	0	0	3	0	0	0	0	0	0	0	0	102	19			0	78	212	0	0	212						212						78			0	0	0	0	0	0			0	0	0	2	
2938	0	0	0	0	0	0	0	0	0	0	0	0	15	3			0	0	737	473	0	0						0						0			0	0	0	0	0	0			0	0	264	12	
2956	0	0	0	0	8	0	0	0	0	0	0	0	24	16			0	0	85	3	0	0						0						0			0	0	0	0	0	0			0	0	74	8	
3252	0	0	0	0	0	0	14	13	0	0	0	0	171	51			0	0	409	61	0	0						0						0			0	0	0	0	0	0			0	0	334	107	
3458	0	0	0	2	0	0	0	0	0	0	0	0	30	5			0	2	9	5	0	0						0						2			0	0	0	0	0	15			0	0	4	6	
3506	0	0	0	0	0	0	0	0	949	8	0	0	304	264		0	0	0	964	0	0	0		0	0		0	0		0	0		0	0		0	0	0	11	18	0	4			0	6	4	4	
3579	4	0	0	0	0	2	0	0	0	0	0	0	50	0			0	0	168	39	0	0						0						0			0	0	0	0	37	9			0	0	88	39	
3720	0	0	0	0	0	0	3	0	0	0	0	0	28	22			0	0	76	1	0	0						0						0			0	0	0	0	7	0			0	0	65	6	
3953	0	0	23	4	0	0	0	0	0	0	0	0	83	24			0	41	344	247	0	23						23						41			0	0	0	0	0	2			0	0	51	12	
4138	0	0	0	0	0	0	0	0	0	0	0	0	54	20			0	0	335	160	0	0						0						0			0	0	0	0	23	0			0	0	152	34	
