"IDRSSD"	RIAD3123	RIAD4230	RIAD4605	RIAD4815	RIADB522	RIADC079	
	ALLL_AMT	PROVISION FOR CREDIT LOSSES	RECOVERIES CREDITED TO RESERVES	CHG IN ALLOW FOR LN&LS LOSS/ADJUSTMT	BEGIN BALANCE (MOST RECENT) IN ALLL	CHRG-OFFS ON ALLWNCE FOR L&L LOSSES	
37	987	180	81	0	942	216	
242	130	0	13	0	125	8	
279	323	59	9	0	270	15	
354	133	0	21	0	129	17	
439	931	400	38	0	1233	740	
457	152	10	2	0	164	24	
505	2118	1635	144	0	1281	942	
1146	3009	1310	105	0	2396	802	
1155	1239	180	22	0	1133	96	
1351	374	155	17	0	329	127	
1454	862	134	39	0	843	154	
1557	358	0	10	0	350	2	
1632	2088	371	78	0	1961	322	
1669	915	350	81	0	715	231	
1829	1695	415	41	0	1607	368	
1856	111	0	18	0	125	32	
1959	179	250	8	0	324	403	
2040	1381	434	78	0	1104	235	
2161	492	26	14	0	516	64	
2376	5046	270	0	0	4776	0	
2451	111	50	2	0	89	30	
2554	33	0	0	0	42	9	
2732	2296	400	107	0	1902	113	
2750	899	206	102	0	803	212	
2938	2433	462	15	0	2693	737	
2956	852	122	24	0	791	85	
3252	886	250	171	0	874	409	
3458	353	0	30	0	332	9	
3506	6569	1075	304	0	6154	964	
3579	1563	325	50	552	804	168	
3720	1004	92	28	0	960	76	
3953	665	150	83	0	776	344	
4138	943	289	54	0	935	335	
4147	497	36	2	0	483	24	
4156	636	53	40	0	629	86	
4231	660	60	29	0	629	58	
4437	837	257	17	0	619	56	
4745	55	4	0	0	53	2	
4839	1516	390	67	0	1399	340	
5005	1747	180	2	0	1568	3	
5050	540	175	74	0	549	258	
5069	5139	120	0	0	5019	0	
5135	1069	0	123	0	1125	179	
5210	3723	240	97	0	3695	309	
5247	2222	1880	18	0	2112	1788	
5274	646	88	64	0	625	131	
5331	735	0	37	-177	883	8	
5461	1671	0	561	0	1197	87	
5751	714	135	1	0	605	27	
5939	31997	16150	2182	-613	33462	19184	
6039	924	375	43	0	853	347	
6057	140	107	8	0	131	106	
6141	411	60	6	0	493	148	
6329	1697	1000	164	0	1798	1265	
6842	147	133	1	0	115	102	
6972	3858	1210	43	0	2784	179	
7009	0	0	0	0	0	0	
7045	676	165	22	0	617	128	
7157	215	413	20	0	152	370	
7166	3776	785	38	0	3120	167	
7456	360	185	150	0	403	378	
7634	440	115	11	0	463	149	
8033	615	4	79	0	695	163	
8154	537	68	3	0	501	35	
8417	292	-80	0	0	372	0	
8462	344	0	22	0	362	40	
8547	4217	538	76	2845	1135	377	
8631	271	130	6	0	272	137	
9115	7631	1631	166	0	6378	544	
9160	1153	140	1	0	1027	15	
9339	2998	322	12	0	2951	287	
9357	2285	990	149	0	2134	988	
9553	430	15	3	0	412	0	
9807	32154	2500	153	0	30056	555	
9955	480	0	16	0	488	24	
10157	596	150	54	0	498	106	
10250	1479	390	57	0	1349	317	
10849	1447	134	5	0	1325	17	
10858	3973	6677	44	8	3988	6744	
11145	854	252	24	0	741	163	
11350	388	30	10	0	362	14	
11640	1014	435	111	0	1048	580	
11837	1145	-50	73	0	1159	37	
12030	3690	2000	908	0	3587	2805	
12058	726	735	72	0	518	599	
12142	1149	230	173	0	1058	312	
12245	701	40	16	0	669	24	
12311	367588	256285	28272	-6653	264224	174540	
12357	81	0	0	0	81	0	
12647	407	48	0	0	390	31	
12656	321	264	5	0	95	43	
12937	768	72	0	0	703	7	
12946	3530	550	410	0	3787	1217	
12955	797	150	198	0	770	321	
13037	1163	640	22	0	1095	594	
13103	3814	313	62	0	3495	56	
13251	275	48	35	0	277	85	
13309	58829	18224	4945	0	59291	23631	
13457	339	0	9	0	341	11	
14052	582	142	1	0	474	35	
14155	842	394	53	0	620	225	
14258	4450	900	67	0	4224	741	
14409	208892	89946	12359	-1743	158927	50597	
14454	737	95	15	0	681	54	
14650	288	215	30	0	285	242	
14753	525	0	34	0	493	2	
14865	685	51	12	0	667	45	
14931	131	37	8	0	207	121	
14940	893	211	1	0	723	42	
15536	7813	2675	281	0	9443	4586	
15732	2906	585	3	0	2409	91	
16337	1343	450	51	0	1052	210	
16355	521	14	5	0	503	1	
16458	1458	51	23	0	1767	383	
16551	1001	335	3	0	759	96	
16748	388	249	7	0	271	139	
16766	6295	4419	23	0	4869	3016	
16944	287	157	24	0	473	367	
16953	107	12	2	0	111	18	
17110	572	202	0	0	370	0	
17147	5745	1902	215	0	4817	1189	
17259	91	27	6	0	134	76	
17464	6555	3690	333	0	5020	2488	
17549	2041	1275	154	0	1242	630	
17642	241	282	34	0	222	297	
17839	2059	30	605	0	1684	260	
17950	304	60	0	0	253	9	
18050	1404	300	52	0	1254	202	
18126	7992	1050	94	1938	5393	483	
18135	644	180	75	0	607	218	
18368	5403	1600	227	0	5042	1466	
18377	42	0	0	0	42	0	
18827	1165	59	20	0	1154	68	
18836	688	255	75	0	686	328	
18854	170	148	6	0	201	185	
18863	2121	225	209	0	1843	156	
18957	311	45	92	0	264	90	
19356	1010	300	53	0	1082	425	
19730	11570	0	5	0	11592	27	
19936	1061	1045	76	0	1024	1084	
19972	76	5	2	0	69	0	
20053	162	24	1	0	170	33	
20147	638	0	190	0	588	140	
20259	211	39	22	0	189	39	
20370	1157	510	654	0	1029	1036	
20512	601	0	28	0	635	62	
20633	1880	338	177	0	1500	135	
20754	71	0	1	0	70	0	
20839	715	144	12	0	578	19	
20857	223	98	0	0	188	63	
20866	369	105	35	0	342	113	
21256	55	0	2	0	66	13	
21359	121	0	0	0	122	1	
21630	300	41	8	0	270	19	
21658	601	24	5	0	605	33	
22048	1008	625	22	0	892	531	
22235	2124	729	99	0	1848	552	
22356	1551	360	252	0	1197	258	
22459	836	97	30	0	807	98	
22543	333	15	1	0	320	3	
22552	451	203	9	0	554	315	
22730	858	101	390	0	784	417	
22860	50712	67179	4445	-28415	23511	16008	
22936	1073	425	97	0	793	242	
22954	540	78	24	-19	531	74	
23036	2370	697	76	0	2145	548	
23045	224	0	3	0	221	0	
23241	23868	31077	1512	-18830	22065	11956	
23344	909	65	4	0	857	17	
23456	398	30	2	0	392	26	
23504	2348	323	92	0	2100	167	
23540	404	12	10	0	397	15	
23643	855	425	24	0	628	222	
23755	494	248	3	0	371	128	
23812	6344	2929	198	0	6609	3392	
24006	1521	240	38	0	1287	44	
24266	20659	4100	729	5464	13280	2914	
24453	284	0	11	0	286	13	
24659	222	154	0	0	222	154	
24668	622	98	39	0	545	60	
24855	35	26	7	0	27	25	
24949	2965	995	75	0	2342	447	
25357	190	6	0	0	185	1	
25450	58650	35405	6286	9992	35542	28575	
25647	466	53	3	0	417	7	
25852	4209	448	7	2040	1782	68	
26149	721	643	84	0	418	424	
26233	2891	1045	352	0	2127	633	
26242	1156	390	130	0	1084	448	
26457	202	0	27	0	193	18	
26756	324	119	14	0	284	93	
26765	96	15	2	0	109	30	
26859	3308	1225	211	0	3083	1211	
26916	2836	660	199	861	1606	490	
27548	2404	1222	73	1900	1994	2785	
27614	1584	62	12	0	1588	78	
27838	1469	122	4	0	1351	8	
27847	930	440	26	7	871	414	
28013	2105	-100	0	0	2205	0	
28152	237	15	0	0	222	0	
28255	452	-130	66	0	633	117	
28349	382	118	18	0	278	32	
28406	1467	151	9	0	1315	8	
28572	305	214	0	0	147	56	
28732	306	36	9	0	282	21	
29104	2191	656	7	0	1655	127	
29159	239	-46	68	0	220	3	
29252	960	208	17	0	742	7	
29636	3375	1123	250	0	3325	1323	
29850	235	36	7	0	232	40	
29944	205	123	12	0	160	90	
29953	784	327	68	0	703	314	
30025	4411	420	53	0	4003	65	
30052	330	151	89	0	313	223	
30146	282	26	11	0	253	8	
30155	1081	240	29	0	1155	343	
30258	1627	394	6	0	1275	48	
30418	0	0	0	0	0	0	
30502	3133	600	74	-50	2925	416	
30650	786	265	7	0	695	181	
30810	814900	1035954	95403	4123	761538	1082118	
30856	928	80	15	0	867	34	
31134	500	355	94	0	378	327	
31152	654	122	4	0	548	20	
31255	1542	375	147	80	1028	88	
31303	9749	2200	1467	0	8517	2435	
31657	289	75	95	-1	247	127	
31826	1302	175	301	0	1175	349	
31835	2912	250	209	0	2781	328	
32159	739	1975	103	0	644	1983	
32234	135	0	4	0	270	139	
32766	142	70	175	0	153	256	
33147	1784	294	3	0	1624	137	
33259	2112	314	8	0	1829	39	
33268	515	395	33	0	338	251	
33549	249	7	1	0	243	2	
33727	1702	-220	946	0	1988	1012	
33754	55	-5	0	0	60	0	
33772	8158	1470	237	2597	4825	971	
33839	193	0	9	0	198	14	
33857	1193	6882	153	0	785	6627	
34032	780	265	52	0	512	49	
34153	1236	290	50	0	929	33	
34359	323	160	31	0	337	205	
34425	1493	325	19	0	1370	221	
34434	892	105	37	0	813	63	
34452	395	-40	74	0	369	8	
34537	7034	0	271	0	7218	455	
34555	796	60	32	0	803	99	
34742	1204	230	23	0	1032	81	
34836	83	31	2	0	95	45	
34863	170	32	11	0	182	55	
35057	538	133	85	0	376	57	
35244	6893	6554	61	0	3165	2888	
35301	58361	10000	23	-286	57068	8444	
35570	3925	300	26	387	3309	97	
35646	222	0	0	0	222	0	
35842	376	15	4	0	388	31	
35851	294	170	13	24	156	69	
35936	29	0	0	0	31	2	
36054	5910	3667	192	0	5072	3021	
36344	2089	60	110	26	2189	296	
36456	456	20	16	0	472	52	
36830	377	32	53	0	317	25	
36858	2016	551	5	0	1740	280	
36933	659	149	113	0	560	163	
37051	255	0	65	0	322	132	
37341	301	2	4	0	309	14	
37350	272	294	157	0	272	451	
37378	569	158	1	0	482	72	
37435	5752	1287	275	0	5411	1221	
37640	2909	0	181	0	3439	711	
37659	461	244	15	0	458	256	
37743	473	60	4	0	633	224	
37949	1208	180	15	0	1068	55	
38441	275	3	10	0	295	33	
38478	1658	2428	486	0	1581	2837	
38526	1763	385	49	0	1702	373	
38535	3212	0	459	0	2837	84	
38740	1071	230	111	0	1209	479	
39327	2130	13	5	0	2137	25	
39420	5890	2200	178	0	5250	1738	
39475	6624	2855	150	3950	998	1329	
39756	736	836	47	0	728	875	
39934	1320	205	55	0	1316	256	
40033	1029	56	802	0	1028	857	
40051	3351	509	19	0	3286	463	
40305	29704	5700	2929	0	30180	9105	
40350	253	23	0	0	253	23	
40707	1502	240	89	0	1517	344	
40855	431	55	18	0	358	0	
41245	163	43	8	0	141	29	
41553	615	270	112	0	668	435	
41629	1154	865	675	0	992	1378	
41647	4367	500	75	0	3927	135	
41759	318	137	0	0	297	116	
41825	2332	25	12	0	2307	12	
41937	411	50	0	0	365	4	
41955	320	0	4	0	330	14	
42037	165	0	28	0	172	35	
42055	239	8	24	0	295	88	
42354	565	147	12	0	564	158	
42420	26778	9811	817	0	25835	9685	
42448	2021	1039	60	0	1555	633	
42457	637	120	46	0	532	61	
42541	149736	37736	25984	0	159736	73720	
43052	444	390	2	0	539	487	
43155	1704	700	108	475	848	427	
43173	34550	5620	150	0	28901	121	
43324	844	15	333	0	756	260	
43351	40	0	0	0	45	5	
43454	286	81	4	0	280	79	
43511	1893	576	70	0	1787	540	
43641	449	35	12	0	492	90	
43669	10668	10675	305	0	6706	7018	
43744	425	60	3	0	415	53	
43856	280	15	33	0	242	10	
