"IDRSSD"	RIAD0497	RIAD4042	RIAD4136	RIAD4141	RIAD4146	RIAD4461	RIAD4462	RIAD4463	RIAD4464	RIAD4467	RIAD4468	RIAD4469	RIAD4486	RIAD4487	RIAD4488	RIAD4489	RIAD4491	RIAD4498	RIAD4499	RIAD4521	RIAD4522	RIAD4769	RIAD8403	RIADB527	RIADC013	RIADC014	RIADC015	RIADC016	RIADC017	RIADC018	RIADF229	RIADF465	TEXT4461	TEXT4462	TEXT4463	TEXT4464	TEXT4467	TEXT4468	TEXT4469	TEXT4487	TEXT4489	TEXT4498	TEXT4499	TEXT4521	TEXT4522	TEXT4769	TEXTB527	
	ADVERTISING & MARKETING EXPENSES	RENT & OTHER INCOME FR OTHR REAL EST	DIRECTORS FEES	LEGAL FEES & EXPENSES	FDIC DEPOSIT INSURANCE ASSESSMENTS	1ST ITEMIZED AMT OV25% OF ITEM 4078	2ND ITEMIZED AMT OV25% OF ITEM 4078	3RD ITEMIZED AMT OV25% OF ITEM 4078	1ST ITEMIZED AMT OV25% OF ITEM 4092	2ND ITEMIZED AMT OV25% OF ITEM 4092	3RD ITEMIZED AMT OV25% OF ITEM 4092	1ST ITEMIZED AMT FOR ITEM 4310	1ST ITEMIZED AMT FOR ITEM 4315	2ND ITEMIZED AMT FOR ITEM 4310	2ND ITEMIZED AMT FOR ITEM 4315	3RD ITEMIZED AMT FOR ITEM 4310	3RD ITEMIZED AMT FOR ITEM 4315	1ST ITMZD TRANSACTIONS OF ITEM 4415	2ND ITMZD TRANSACTIONS OF ITEM 4415	1ST ITEMIZED ADJUSTMTS TO ITEM 4815	2ND ITEMIZED ADJUSTMTS TO ITEM 4815	OTHER EXPLANATIONS	POSTAGE EXPENSE	RESTATMENTS DUE TO CORRECTIONS (2ND)	INCM&FEES FROM PRNTNG&SALE OF CHECKS	EARNINGS ON CSV OF LIFE INSURANCE	SAFE DEPOSIT BOX RENT	INCM&FEES FRM AUTMTD TELL MACH(ATMS)	DATA PROCESSING EXPENSES	PRINTING, STATIONERY, AND SUPPLIES	NET CHANGE FAIR VAL UNDR FAIR VAL OP	RESTATMENTS DUE TO CORRECTIONS 1ST	1ST ITEMIZED AMT OV25% OF ITEM 4078	2ND ITEMIZED AMT OV25% OF ITEM 4078	3RD ITEMIZED AMT OV25% OF ITEM 4078	1ST ITEMIZED AMT OV25% OF ITEM 4092	2ND ITEMIZED AMT OV25% OF ITEM 4092	3RD ITEMIZED AMT OV25% OF ITEM 4092	1ST ITEMIZED AMT FOR ITEM 4310	2ND ITEMIZED AMT FOR ITEM 4310	3RD ITEMIZED AMT FOR ITEM 4310	1ST ITMZD TRANSACTIONS OF ITEM 4415	2ND ITMZD TRANSACTIONS OF ITEM 4415	1ST ITEMIZED ADJUSTMTS TO ITEM 4815	2ND ITEMIZED ADJUSTMTS TO ITEM 4815	OTHER EXPLANATIONS	RESTATMENTS DUE TO CORRECTIONS (2ND)	
37	15	0	70	27	8	15	14	9	80	147	25	0	0	0	0	0	0	0	0	0	0	false	33	0	8	0	14	0	147	82	0	0	BOX RENT	NETWORK FEES	CD PENALTY E/W	AUDITORS EXPENSE	CLEARING HSE FEES	TELEPHONE										
242	0	0	61	0	0	0	0	0	12	20	14	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	7	5	0	0	0	0				AUDITING	CORRESPONDENT BANK CHARGES	OBRE ASSESSMENTS										
279	52	2	115	124	22	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	false	63	0	27	3	6	99	243	58	0	0				AUDITING												
354	10	0	10	17	1	0	0	0	11	10	9	0	0	0	0	0	0	0	0	0	0	false	4	0	1	0	1	3	49	5	0	0				Misc	Debit Card Exp	Insurance										
457	25	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	21	0	0	0	22	0	0																
505	255	0	0	0	0	226	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	667	0	0	0	DEBIT CARD INTERCHANGE INCOME															
1155	369	0	145	16	16	57	0	0	88	0	0	0	0	0	0	0	0	1000	0	0	0	false	80	0	24	151	16	159	221	113	0	0	Exchange			Macha & Bank Service Charges						Capital Injection from Parent Holding Company to Paid in Surplus						
1351	19	0	35	13	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	44	0	0	0	12	53	0	24	0	0																
1454	698	0	0	0	0	678	0	0	469	0	0	0	0	0	0	0	0	0	0	0	0	false	312	0	0	0	0	0	303	408	0	0	VISA DEBIT CARD INCOME			VISA DEBIT CARD EXPENSE												
1557	0	0	29	0	0	0	0	0	47	30	22	0	0	0	0	0	0	0	0	0	0	false	22	0	0	0	0	0	0	35	0	0				MAINTENANCE CONTRACT	DEPRECIATION - FURNITURE	CONSULTING FEES										
1632	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2127	0	0	0	false	0	0	0	0	0	0	1887	0	0	0										Capital Infusions						
1669	52	0	34	3	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	87	0	7	255	38	86	492	128	0	0																
1829	0	0	0	0	0	0	0	0	325	456	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	671	0	0	0				ATM/Debit Card Network Expenses	PA Shares Tax											
1856	25	0	40	0	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	11	0	0	0	2	22	0	21	0	0																
2040	194	0	76	62	17	81	83	31	235	84	0	0	0	0	0	0	0	500	0	0	0	true	57	0	12	86	17	18	221	67	0	0	Debit Card Fees	Sale of Bank Owned Real Estate	Commercial Internet & Wire Fees	Advisory / Audit	ATM / Debit Card Expenses					Downstream from Holding Co.				Other income includes the sale of property the bank has written down over several years with no value on our financial statement.		
2161	0	0	0	0	0	0	0	0	140	88	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	100	0	0	264	76	0	0				Deferred Compensation Plan Expense	Stock Plan Expense											
2376	460	1316	596	105	96	1488	121	0	202	476	172	0	0	0	0	0	0	59728	-14711	0	0	false	132	900	0	1025	25	206	997	221	0	0	Joint Venture Income	Debit Card Interchange		Insurance Premiums	Audit	Bank Service Charges				Additional Capital Contribution	ESOP Transactions				Adoption of FIN 48	
2451	14	1	12	11	12	5	5	2	18	12	12	0	0	0	0	0	0	600	0	0	0	false	6	0	2	0	3	1	130	15	0	0	Debit card-Income	Credit Life Premium	Letter of Credit	Bond and D&O Insurance	Audit/Accounting Fees	Education/Meetings				Capital injected through common & perferred stock						
2554	1	0	12	22	1	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	false	2	0	0	0	3	0	12	3	0	0				Accounting												
