"IDRSSD"	RIAD0497	RIAD4042	RIAD4136	RIAD4141	RIAD4146	RIAD4461	RIAD4462	RIAD4463	RIAD4464	RIAD4467	RIAD4468	RIAD4469	RIAD4486	RIAD4487	RIAD4488	RIAD4489	RIAD4491	RIAD4498	RIAD4499	RIAD4521	RIAD4522	RIAD4769	RIAD8403	RIADB526	RIADB527	RIADC013	RIADC014	RIADC015	RIADC016	RIADC017	RIADC018	TEXT4461	TEXT4462	TEXT4463	TEXT4464	TEXT4467	TEXT4468	TEXT4469	TEXT4487	TEXT4489	TEXT4498	TEXT4499	TEXT4521	TEXT4522	TEXT4769	TEXTB526	TEXTB527	
	ADVERTISING & MARKETING EXPENSES	RENT & OTHER INCOME FR OTHR REAL EST	DIRECTORS FEES	LEGAL FEES & EXPENSES	FDIC DEPOSIT INSURANCE ASSESSMENTS	1ST ITEMIZED AMT OV25% OF ITEM 4078	2ND ITEMIZED AMT OV25% OF ITEM 4078	3RD ITEMIZED AMT OV25% OF ITEM 4078	1ST ITEMIZED AMT OV25% OF ITEM 4092	2ND ITEMIZED AMT OV25% OF ITEM 4092	3RD ITEMIZED AMT OV25% OF ITEM 4092	1ST ITEMIZED AMT FOR ITEM 4310	1ST ITEMIZED AMT FOR ITEM 4315	2ND ITEMIZED AMT FOR ITEM 4310	2ND ITEMIZED AMT FOR ITEM 4315	3RD ITEMIZED AMT FOR ITEM 4310	3RD ITEMIZED AMT FOR ITEM 4315	1ST ITMZD TRANSACTIONS OF ITEM 4415	2ND ITMZD TRANSACTIONS OF ITEM 4415	1ST ITEMIZED ADJUSTMTS TO ITEM 4815	2ND ITEMIZED ADJUSTMTS TO ITEM 4815	OTHER EXPLANATIONS	POSTAGE EXPENSE	RESTATEMNTS DUE TO CORRECTIONS (1ST)	RESTATMENTS DUE TO CORRECTIONS (2ND)	INCM&FEES FROM PRNTNG&SALE OF CHECKS	EARNINGS ON CSV OF LIFE INSURANCE	SAFE DEPOSIT BOX RENT	INCM&FEES FRM AUTMTD TELL MACH(ATMS)	DATA PROCESSING EXPENSES	PRINTING, STATIONERY, AND SUPPLIES	1ST ITEMIZED AMT OV25% OF ITEM 4078	2ND ITEMIZED AMT OV25% OF ITEM 4078	3RD ITEMIZED AMT OV25% OF ITEM 4078	1ST ITEMIZED AMT OV25% OF ITEM 4092	2ND ITEMIZED AMT OV25% OF ITEM 4092	3RD ITEMIZED AMT OV25% OF ITEM 4092	1ST ITEMIZED AMT FOR ITEM 4310	2ND ITEMIZED AMT FOR ITEM 4310	3RD ITEMIZED AMT FOR ITEM 4310	1ST ITMZD TRANSACTIONS OF ITEM 4415	2ND ITMZD TRANSACTIONS OF ITEM 4415	1ST ITEMIZED ADJUSTMTS TO ITEM 4815	2ND ITEMIZED ADJUSTMTS TO ITEM 4815	OTHER EXPLANATIONS	RESTATEMNTS DUE TO CORRECTIONS (1ST)	RESTATMENTS DUE TO CORRECTIONS (2ND)	
37	3	0	21	5	5	6	0	0	25	13	8	0	0	0	0	0	0	0	0	0	0	false	15	0	0	4	0	7	0	66	32	exchange                                                                                                                                                                                         			all other audit fees                                                                                                                                                                             	clearing house fees                                                                                                                                                                              	business license                                                                                                                                                                                 								CONF			
242	0	0	28	0	0	2			10				0		0		0					false	9			0	0	7	0	0	0	OTHER                                                                                                                                                                                            			AUDITING                                                                                                                                                                                         										CONF			
279	23	1	49	68	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	27	0	0	10	0	1	2	112	28														CONF			
354	7	0	5	17	2	0	0	0	8	7	7	0	0	0	0	0	0	0	0	0	0	false	2	0	0	0	0	1	0	9	3				Insurance                                                                                                                                                                                        	Audits                                                                                                                                                                                           	Misc                                                                                                                                                                                             								CONF			
439	0	0	96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	61	0														CONF			
457	9	0	11	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	false	8	0	0	0	9	0	0	0	9				REIMBURSEABLE/REPOSSESSION/FORECLOSURE                                                                                                                                                           										CONF			
505	130	0	99	0	0	0	0	0	153	88	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	356	0				LOAN SERVICING EXPENSE	CONSULTING FEES									CONF			
1146	763	0	0	0	0	1049	4969	7384	390	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	683	379	cc income & Interchange fees                                                                                                                                                                     	PMC Dise Gain Sale Serv & Ret Serv, Misc Income                                                                                                                                                  	LTC-Closing fees,Docu Pre Inc,Search fee Inc, Title ins                                                                                                                                          	Telephone                                                                                                                                                                                        										CONF			
1155	177	6	78	9	8	32	67	0	44	0	0	0	0	0	0	0	0	0	0	0	0	false	40	0	0	12	65	8	61	146	46	Exchange                                                                                                                                                                                         	Secondary Market Loan Origination Fees                                                                                                                                                           		Macha & Bank Service Charges                                                                                                                                                                     										CONF			
