"IDRSSD"	RIAD0497	RIAD4042	RIAD4136	RIAD4141	RIAD4146	RIAD4461	RIAD4462	RIAD4463	RIAD4464	RIAD4467	RIAD4468	RIAD4486	RIAD4487	RIAD4488	RIAD4489	RIAD4491	RIAD4498	RIAD4499	RIAD4521	RIAD4522	RIAD4769	RIAD5523	RIAD8403	RIADB526	RIADB527	RIADC013	RIADC014	RIADC015	RIADC016	RIADC017	RIADC018	RIADC231	TEXT4461	TEXT4462	TEXT4463	TEXT4464	TEXT4467	TEXT4468	TEXT4487	TEXT4489	TEXT4498	TEXT4499	TEXT4521	TEXT4522	TEXT4769	TEXTB526	TEXTB527	
	ADVERTISING & MARKETING EXPENSES	RENT & OTHER INCOME FR OTHR REAL EST	DIRECTORS FEES	LEGAL FEES & EXPENSES	FDIC DEPOSIT INSURANCE ASSESSMENTS	1ST ITEMIZED AMT OV25% OF ITEM 4078	2ND ITEMIZED AMT OV25% OF ITEM 4078	3RD ITEMIZED AMT OV25% OF ITEM 4078	1ST ITEMIZED AMT OV25% OF ITEM 4092	2ND ITEMIZED AMT OV25% OF ITEM 4092	3RD ITEMIZED AMT OV25% OF ITEM 4092	1ST ITEMIZED AMT FOR ITEM 4315	2ND ITEMIZED AMT FOR ITEM 4310	2ND ITEMIZED AMT FOR ITEM 4315	3RD ITEMIZED AMT FOR ITEM 4310	3RD ITEMIZED AMT FOR ITEM 4315	1ST ITMZD TRANSACTIONS OF ITEM 4415	2ND ITMZD TRANSACTIONS OF ITEM 4415	1ST ITEMIZED ADJUSTMTS TO ITEM 4815	2ND ITEMIZED ADJUSTMTS TO ITEM 4815	OTHER EXPLANATIONS	WRITE DOWN ARISING FRM TRNSFR TO HFS	POSTAGE EXPENSE	RESTATEMNTS DUE TO CORRECTIONS (1ST)	RESTATMENTS DUE TO CORRECTIONS (2ND)	INCM&FEES FROM PRNTNG&SALE OF CHECKS	EARNINGS ON CSV OF LIFE INSURANCE	SAFE DEPOSIT BOX RENT	INCM&FEES FRM AUTMTD TELL MACH(ATMS)	DATA PROCESSING EXPENSES	PRINTING, STATIONERY, AND SUPPLIES	EFFECT OF ADPTNG FAS GOODWILL,ETC	1ST ITEMIZED AMT OV25% OF ITEM 4078	2ND ITEMIZED AMT OV25% OF ITEM 4078	3RD ITEMIZED AMT OV25% OF ITEM 4078	1ST ITEMIZED AMT OV25% OF ITEM 4092	2ND ITEMIZED AMT OV25% OF ITEM 4092	3RD ITEMIZED AMT OV25% OF ITEM 4092	2ND ITEMIZED AMT FOR ITEM 4310	3RD ITEMIZED AMT FOR ITEM 4310	1ST ITMZD TRANSACTIONS OF ITEM 4415	2ND ITMZD TRANSACTIONS OF ITEM 4415	1ST ITEMIZED ADJUSTMTS TO ITEM 4815	2ND ITEMIZED ADJUSTMTS TO ITEM 4815	OTHER EXPLANATIONS	RESTATEMNTS DUE TO CORRECTIONS (1ST)	RESTATMENTS DUE TO CORRECTIONS (2ND)	
37	1	0	11	5	2	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	9	0	0	2	0	3	0	34	21	0	FHLB STOCK & INTEREST                                                                                                                                                                            	PENALTY EARLY W/D CD S                                                                                                                                                                           														
242	0	0	12	16	0							0		0		0					false	0	0			0	0	6	1	6	0	0																
279	9	0	18	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	11	0	0	0	0	0	0	44	10	0																
354	3	0	6	5	1	0	0	0	5	2	1	0	0	0	0	0	0	0	0	0	false	0	2	0	0	0	0	0	0	2	1	0				AUDITS                                                                                                                                                                                           	DUES                                                                                                                                                                                             	EXAMS                                                                                                                                                                                            										
439	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	44	0	0																
457	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	6	0	0	0	5	0																
505	58	0	0	0	54	0	0	0	92	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	170	53	0				LOAN SERVICING EXPENSE                                                                                                                                                                           												
1146	0	0	0	0	0	436	1993	2658	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	259	0	0	PBT-CC INTERCHANGE FEE INC & CC INCOME                                                                                                                                                           	 PMC-DISC GAIN SALE OF SERV,MISC INCOME                                                                                                                                                          	LTC-CLOSING FEE,DOCUMENT PREP,SEARCH FEE,TITLE INS INCOM                                                                                                                                         													
1155	58	0	42	0	9	11	0	0	7	15	15	0	0	0	0	0	0	0	0	0	false	0	21	0	0	3	0	5	17	73	21	0	Exhange Fees                                                                                                                                                                                     			Exam fees                                                                                                                                                                                        	ATM Expense                                                                                                                                                                                      	Contributions                                                                                                                                                                                    										
1351	2	0	4	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	13	0	0	0	0	5	3	0	5	0																
1454	114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	63	0	0	0	0	0	0	83	117	0																
1557	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	false	0	6	0	0	0	0	0	0	0	7	0				Insurance & Surety                                                                                                                                                                               												
1632	33	0	22	20	7	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	20	0	0	16	0	8	11	256	18	0	travekers/american express net rev                                                                                                                                                               															
1669	9	0	9	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	25	0	0	0	0	18	12	27	24	0																
1829	0	0	0	0	0	0	0	0	55	79	0	0	0	0	0	0	0	0	0	0	false	5	47	0	0	0	0	0	0	95	44	0				ATM/Debit Card Network Expenses                                                                                                                                                                  	PA Shares Tax                                                                                                                                                                                    											
1856	0	0	0	4	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	3	0				fees                                                                                                                                                                                             												
2040	21	0	16	2	5	4	7	0	6	10	0	0	0	0	0	0	0	0	0	0	false	0	8	0	0	3	0	4	3	9	22	0	Debit card fees                                                                                                                                                                                  	Miscellanous fees                                                                                                                                                                                		Auditing expense                                                                                                                                                                                 	ATM/Debit card expense                                                                                                                                                                           											
2161	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	16	0	0	0	0	0	0	44	17	0																
2376	0	172	0	0	0	337	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	183	0	0	Joint Venture income                                                                                                                                                                             															
2451	0	0	3	4	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	false	0	3	0	0	0	0	0	0	0	4	0				Subs Dues Fees                                                                                                                                                                                   												
2554	0	0	2	0	0	0	0	0	1	1	6	0	0	0	0	0	0	0	0	0	false	0	1	0	0	0	0	1	0	2	1	0				SOFTWARE MAINTENANCE                                                                                                                                                                             	INSURANCE & BONDS                                                                                                                                                                                	ACCOUNTING                                                                                                                                                                                       										
2732	14	0	49	11	31	12	10	0	51	0	0	0	0	0	0	0	0	0	0	0	false	0	46	0	0	0	0	25	8	164	36	0	wire transfer fee                                                                                                                                                                                	master charge                                                                                                                                                                                    		OCC assessment                                                                                                                                                                                   												
